대분류,파일명,컬럼명,유일값 수,최빈값_범주(mode),범주 집합,null 수,값 중복도 평균,종합 유사도 수,종합 평균 유사도
보건의료,5-5_진료정보_눈병_시군구.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,232.875,7,0.846999543948438
보건의료,5-3_진료정보_감기_시군구.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,232.875,7,0.846999543948438
보건의료,5-7_진료정보_천식_시군구.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,232.875,7,0.8469995439484378
보건의료,5-6_진료정보_눈병_시도.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,16.88157894736842,7,0.8469995439484378
보건의료,5-10_진료정보_피부염_시도.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,16.88157894736842,7,0.8469995439484378
보건의료,5-8_진료정보_천식_시도.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,16.88157894736842,7,0.8469995439484378
보건의료,5-4_진료정보_감기_시도.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,16.88157894736842,7,0.8469995439484378
보건의료,5-9_진료정보_피부염_시군구.csv,날짜,152,,"['2023-11-08', '2024-02-20', '2024-02-13', '2024-01-26', '2024-02-15', '2023-12-27', '2023-12-11', '2023-11-10', '2024-02-02', '2023-12-28']",0,232.875,7,0.8469995439484378
,122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,시도,17,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,29.88235294117647,7,0.8044673155398503
보건의료,117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,시도,17,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,45.88235294117647,7,0.8031295678283293
보건의료,112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,시도,17,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,14.764705882352942,7,0.8009809878509228
재난안전,64_한국전기안전공사_전기화재통계_20231231.csv,행정구역별,17,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,1.0,7,0.7996938572178467
재난안전,53_도로교통공단_사망 교통사고 정보_20231231.csv,발생지시도,17,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,145.1764705882353,7,0.7964731654829029
,122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,시도,17,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,328.7058823529412,7,0.7911215789704095
보건의료,109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,지역,16,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,4.875,7,0.768058835988285
보건의료,5-2_시도지역코드.csv,지역명,17,,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0,1.0,7,0.7362017937257833
보건의료,4_건강보험심사평가원_의료기관별 감염병 및 중증환자 치료시설 현황 2022.6.csv,시군구명,228,,"['광주시', '송파구', '청주시 청원구', '미추홀구', '강릉시', '성동구', '정선군', '중랑구', '노원구', '남해군']",0,182.00438596491227,8,0.7267167957218926
