대분류,파일명,컬럼명,유일값 수,범주 집합,같은 대분류 평균 유사도,다른 대분류 평균 유사도,유사도 차이
농업농촌,3_전국배수펌프장표준데이터.csv,제공기관명,38,"['경기도 의정부시', '대전광역시 유성구', '충청북도 충주시', '전라남도 영광군', '경상북도 청도군', '부산광역시 연제구', '서울특별시 영등포구', '전북특별자치도 군산시', '경상북도 영천시', '경상남도 김해시']",0.037782887500283614,0.021063326391242688,0.016719561109040926
농업농촌,3_전국배수펌프장표준데이터.csv,시군구명,38,"['김해시', '달성군', '미추홀구', '수영구', '군산시', '함평군', '파주시', '연제구', '가평군', '북구']",0.03596882854336752,0.02348968809200995,0.012479140451357569
농업농촌,3_전국배수펌프장표준데이터.csv,설치목적,26,"['지하차도 침수방지', '도시침수방지', '하수처리', '도로 침수예방', '침수방지', '침수피해 예방', '재난대응+침수방지', '논경지 침수피해 방지', '도시침수방지용', '침수예방']",0.03314778928604725,0.019890461544913023,0.01325732774113423
농업농촌,3_전국배수펌프장표준데이터.csv,소재지지번주소,285,"['부산광역시 남구 문현동 810-2', '부산광역시 강서구 식만동 770-6', '서울특별시 영등포구 대림동 995-1', '경기도 의정부시 의정부동 89-5', '전라남도 영광군 영광읍 덕호리 1286-1', '전라남도 영광군 법성면 신장리 895-10', '충청남도 금산군 제원면 저곡리 378-2', '경상남도 김해시 진영읍 전리 144-9', '인천광역시 서구 오류동 1608', '경상남도 김해시 주촌면 천곡리 56-1']",0.02948249440496868,0.03927547884999043,-0.009792984445021746
농업농촌,3_전국배수펌프장표준데이터.csv,소재지도로명주소,160,"['경기도 의정부시 장곡로 346', '부산광역시 연제구 중앙대로 1164', '경기도 파주시 새꽃로 243', '대구광역시 북구 노원로 57길 31', '부산광역시 남구 동명로 185-17', '경기도 연천군 연천읍 연천로 146', '경상남도 합천군 용주면 해곡길 52', '경기도 파주시 평화로 86', '인천광역시 미추홀구 아암대로 43', '대구광역시 북구 연암로 209']",0.029465247769638228,0.039303459721751546,-0.009838211952113318
농업농촌,3_전국배수펌프장표준데이터.csv,시설명,322,"['본녹산', '봉무 빗물펌프장', '문산4-3간이배수펌프장', '문래 빗물펌프장', '서재1 빗물펌프장', '무등배수펌프장', '경포배수펌프장', '율하 빗물펌프장', '동천변 침수지 배수시설 1', '연풍1간이배수펌프장']",0.029085150337876557,0.0391769013274569,-0.010091750989580345
농업농촌,3_전국배수펌프장표준데이터.csv,데이터기준일자,15,"['2024-07-25', '2024-07-29', '2024-08-13', '2024-07-01', '2024-08-05', '2024-07-30', '2024-08-07', '2024-08-02', '2024-08-14', '2024-08-01']",0.027766065153521678,0.019480122028569205,0.008285943124952472
농업농촌,3_전국배수펌프장표준데이터.csv,전화번호,40,"['055-330-4667', '041-746-6446', '053-664-2882', '041-746-6449', '051-309-4675', '051-309-4677', '051-605-4671', '063-539-5675', '042-611-2329', '032-770-6886']",0.026482436867526833,0.023352595173647638,0.003129841693879195
농업농촌,3_전국배수펌프장표준데이터.csv,시도명,12,"['충청남도', '경상남도', '전북특별자치도', '경상북도', '경기도', '대구광역시', '인천광역시', '전라남도', '대전광역시', '충청북도']",0.025804688857511218,0.026969157539123472,-0.0011644686816122546
문화관광,2_전국관광지정보표준데이터.csv,휴양및문화시설정보,286,"['임란유물전시관', '기획전시실(갤러리)+자미정+세심정+토산품전시장+전통찻집', '국악박물관+예악당+우면당+연희풍류극장+국악연수관+야외체험관', '실내정원+한국차박물관+야외공연장+청소년수련원+천문과학관', '출렁다리', '생태체험관', '조경휴게소+바비큐장+전망대', '생태체험프로그램 운영', '천체투영관+ 관측실2', '행궁+만해기념관 등']",0.06467432219847769,0.03570548765201926,0.028968834546458426
