파일명,컬럼명,공통 특성 그룹,대표 특성
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,년월,1,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(건강보험),1,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(의료급여),1,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(기타-산재및자동차보험),1,대표
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(기타-산재및자동차보험),1,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(기타-산재및자동차보험),1,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(건강보험),2,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(건강보험),2,대표
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(의료급여),2,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(의료급여),2,
101_국립암센터_24개종 암발생률_20231228.csv,발생연도,3,대표
101_국립암센터_24개종 암발생률_20231228.csv,성별,3,
101_국립암센터_24개종 암발생률_20231228.csv,국제질병분류,3,
101_국립암센터_24개종 암발생률_20231228.csv,암종,3,
101_국립암센터_24개종 암발생률_20231228.csv,발생자수,3,
101_국립암센터_24개종 암발생률_20231228.csv,조발생률,3,
101_국립암센터_24개종 암발생률_20231228.csv,연령표준화발생률,3,
95_국립암센터_암발생 통계 정보_20231228.csv,발생연도,3,
102_질병관리청_인체유래물은행현황_20240901.csv,연번,4,
102_질병관리청_인체유래물은행현황_20240901.csv,허가번호,4,대표
102_질병관리청_인체유래물은행현황_20240901.csv,기 관 명,4,
102_질병관리청_인체유래물은행현황_20240901.csv,소 재 지,4,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,NO,4,
96_대구광역시 북구_의료기관 수술실 현황_20240531.csv,순번,4,
103_전라남도_장애인센터현황_20240909.csv,구분,5,
103_전라남도_장애인센터현황_20240909.csv,기관명,5,
103_전라남도_장애인센터현황_20240909.csv,주소,5,
103_전라남도_장애인센터현황_20240909.csv,우편번호,5,대표
103_전라남도_장애인센터현황_20240909.csv,전화번호,5,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,년도,6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,병원,6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,구분,6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,6월미만(명),6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,1년미만,6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,2년미만,6,대표
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,3년미만,6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,5년미만,6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,10년미만,6,
104_근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231.csv,10년이상,6,
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,진료년월,7,
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,서식,7,
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,인원(청구건수),7,
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,요양급여총액,7,
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,본인부담(B),7,대표
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,지원금,7,
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,장애인(C),7,
105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,청구금액(D),7,
106_국립암센터_24개종 암 유병률_20231228.csv,기준연도,8,
106_국립암센터_24개종 암 유병률_20231228.csv,성별,8,
106_국립암센터_24개종 암 유병률_20231228.csv,국제질병분류,8,
106_국립암센터_24개종 암 유병률_20231228.csv,암종,8,
106_국립암센터_24개종 암 유병률_20231228.csv,유병자수,8,
106_국립암센터_24개종 암 유병률_20231228.csv,조유병률,8,
106_국립암센터_24개종 암 유병률_20231228.csv,연령표준화유병률,8,대표
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,기준연도,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,현재흡연율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,남자현재흡연율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,월간음주율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,고위험음주율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,중등도 이상 신체활동 실천율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,걷기 실천율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,건강생활신청율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,비만율(자가보고),9,
