대분류,소분류,파일명
환경기상,환경일반,한국환경공단_석면조사대상건축물현황(공공건축물)_20240411
문화관광,관광,전국관광지정보표준데이터
농업농촌,농업·농촌,전국배수펌프장표준데이터
보건의료,건강보험,건강보험심사평가원_의료기관별 감염병 및 중증환자 치료시설 현황
보건의료,건강보험,국민건강보험공단_진료건수 정보
보건의료,건강보험,시군구지역코드
보건의료,건강보험,시도지역코드
보건의료,건강보험,진료정보_감기_시군구
보건의료,건강보험,진료정보_감기_시도
보건의료,건강보험,진료정보_눈병_시군구
보건의료,건강보험,진료정보_눈병_시도
보건의료,건강보험,진료정보_천식_시군구
보건의료,건강보험,진료정보_천식_시도
보건의료,건강보험,진료정보_피부염_시군구
보건의료,건강보험,진료정보_피부염_시도
보건의료,보건의료,국민건강보험공단_건강검진정보
환경기상,폐기물,서울특별시_양천구_폐건전지폐형광등분리수거함
교육,교육일반,경기도 광명시_학생의 체력 증진에 관한 사항 현황
,,
환경기상,상하수도·수질,한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718
보건의료,보건의료,서울특별시_서울의료원 주간 진료 시간표 현황
보건의료,보건의료,한국보건의료인국가시험원_응시자 현황_의사
보건의료,건강보험,국민건강보험공단_건강검진검사항목코드_20240731
환경기상,해양환경,해양환경공단_해양쓰레기 조사_지역별
환경기상,해양환경,해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황
환경기상,대기,환경부 국립환경과학원_대기오염도 확정자료
환경기상,환경일반,환경부 국립환경과학원_토양오염실태조사 결과
환경기상,환경일반,환경부 국립환경과학원_환경측정기기 형식승인 현황
재난안전,안전관리,행정안전부_지진재해대응시스템_행정구역정보
환경기상,대기,환경부_온실가스종합정보센터_온실가스 배출량 산정방법 정보
환경기상,환경일반,대구광역시_북구_지하수시설
보건의료,보건의료,보건복지부_시군구별 치매현황
환경기상,폐기물,서울특별시 동작구_의류수거함 위치 데이터
환경기상,환경일반,서울특별시 서대문구_의류수거함 현황
환경기상,폐기물,인천환경공단_청라사업소_소각시설_운영데이터
환경기상,대기,전북특별자치도_대기오염측정망 운영결과
환경기상,대기,충청북도_분기별날씨현황
환경기상,대기,한국환경공단_도로 재비산먼지 측정 정보
환경기상,폐기물,한국환경공단_재활용가능자원 가격조사
환경기상,해양환경,해양환경공단_해양부유쓰레기 수거처리 정보
보건의료,건강보험,건강보험심사평가원_요양기관 개설 현황
보건의료,건강보험,건강보험심사평가원_의료장비 상세 현황
환경기상,상하수도·수질,광주광역시 광주보건환경연구원 수질측정망 실태조사
산업고용,고용노동,근로복지공단_직영병원 진료수가
환경기상,폐기물,대구광역시 북구_사업장폐기물배출자정보
환경기상,상하수도·수질,대구광역시 북구_수경시설
환경기상,폐기물,대구광역시 북구_음식물쓰레기수거용기판매소
환경기상,환경일반,대구광역시 북구_특정토양오염관리대상시설
재난안전,경찰,경찰청 서울특별시경찰청_경찰서별 5대범죄 발생 검거 현황
재난안전,경찰,경찰청 인천광역시경찰청_관서별 5대범죄 112신고건수 현황
재난안전,경찰,경찰청_경찰관서 위치 주소 현황
재난안전,경찰,경찰청_범죄 발생 시간대 및 요일
재난안전,경찰,경찰청_범죄 발생 장소별 통계
재난안전,경찰,경찰청_연도별 사이버 범죄 통계 현황
재난안전,경찰,경찰청_전국 경찰서별 강력범죄 발생 현황
재난안전,경찰,경찰청_졸음운전 교통사고 현황
재난안전,안전관리,고용노동부_안전관리전문기관 지정 현황
재난안전,안전관리,광주광역시_CCTV
재난안전,안전관리,국토안전관리원_건설안전사고 발생현황
재난안전,안전관리,대구광역시 북구_간선도로 적사함(제설함)
재난안전,안전관리,대구광역시 북구_고압가스제조업
재난안전,안전관리,대구광역시 북구_기계설비 성능점검 대상 건축물
재난안전,안전관리,도로교통공단_사망 교통사고 정보
재난안전,안전관리,부산광역시_수영구_민방위급수시설 현황
재난안전,안전관리,세종특별자치시_CCTV
재난안전,안전관리,소방청_다중이용업소 영업장별 고유 일련번호
재난안전,안전관리,소방청_시도 소방서 현황
재난안전,안전관리,소방청_화재발생 정보
재난안전,안전관리,충청북도_재난대응용 배수펌프장 현황
재난안전,안전관리,한국가스안전공사_전국 LPG 충전소 현황
재난안전,안전관리,한국가스안전공사_전국 도시가스충전소 현황
재난안전,안전관리,한국산업안전보건공단_건설업 공종별 세부공정 목록
재난안전,안전관리,한국소비자원 소비자 위해 정보
재난안전,안전관리,한국전기안전공사_전기화재통계
재난안전,해경,해양경찰청_해상조난사고 상세데이터 현황
재난안전,안전관리,행정안전부_사고발생 현황
재난안전,안전관리,행정안전부_상습 결빙구간
