파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis)
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,년월,0,고정,6,6,2024-01,1.0,,,,,,,,,,,,
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(건강보험),0,,6,6,1151,1.0,1362.0,1151.0,1244.6666666666667,1253.5,1185.0,1277.75,92.75,6087.066666666667,78.01965564309207,211.0,0.2556186448279908,-0.5237809559530842
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(건강보험),0,,6,6,180003140,1.0,237510190.0,180003140.0,210743451.66666666,212680950.0,188059015.0,234470570.0,46411555.0,700326950253136.6,26463691.168337356,57507050.0,-0.10643596088165708,-2.8158702344665385
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(건강보험),0,,6,6,176973550,1.0,235659970.0,176973550.0,209094043.33333334,211781375.0,186763447.5,232903232.5,46139785.0,715508445846306.6,26748989.622905508,58686420.0,-0.14949751474424525,-2.7657523595637366
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(의료급여),0,,6,6,761,1.0,864.0,761.0,797.5,782.5,776.75,810.75,34.0,1443.5,37.993420483025744,103.0,1.305605892744754,1.122481162945248
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(의료급여),0,,6,6,135342210,1.0,238955990.0,135342210.0,161636170.0,147782195.0,146275012.5,152581907.5,6306895.0,1471640797348600.0,38361970.71773816,103613780.0,2.3085355685882347,5.501149910913137
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(의료급여),0,,6,6,134747740,1.0,187207440.0,134747740.0,152722696.66666666,147797660.0,145894752.5,152093337.5,6198585.0,322988260795306.6,17971874.159232993,52459700.0,1.7865041244887379,3.967141452322725
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(기타-산재및자동차보험),0,,1,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(기타-산재및자동차보험),0,,1,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(기타-산재및자동차보험),0,,1,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_국립암센터_24개종 암발생률_20231228.csv,발생연도,0,,23,23,1999,75.0,2021.0,1999.0,2010.0,2010.0,2004.0,2016.0,12.0,44.02552204176334,6.635173098101009,22.0,0.0,-1.2045578484291448
101_국립암센터_24개종 암발생률_20231228.csv,성별,0,가변,3,3,남녀전체,575.0,,,,,,,,,,,,
101_국립암센터_24개종 암발생률_20231228.csv,국제질병분류,0,가변,25,25,C00-C14,69.0,,,,,,,,,,,,
101_국립암센터_24개종 암발생률_20231228.csv,암종,0,가변,25,25,간,69.0,,,,,,,,,,,,
101_국립암센터_24개종 암발생률_20231228.csv,발생자수,0,,1369,1369,0,1.2600438276113952,277523.0,0.0,10161.699710144927,2463.0,906.0,7992.0,7086.0,759631909.7195189,27561.420676727077,277523.0,5.738796633640742,38.225033052778834
101_국립암센터_24개종 암발생률_20231228.csv,조발생률,0,,551,551,0.3,2.9219600725952812,561.7,0.1,32.622173913043476,8.2,3.7,29.275,25.575,6292.6268604047855,79.32607932076806,561.6,4.497327852387194,20.692893347905443
101_국립암센터_24개종 암발생률_20231228.csv,연령표준화발생률,0,,619,619,0.5,2.6009693053311795,686.9,0.2,43.623043478260875,11.7,4.5,36.525,32.025,10888.9783313157,104.35026751913816,686.6999999999999,4.312533840064542,18.69730216809589
102_질병관리청_인체유래물은행현황_20240901.csv,연번,0,,86,86,1,1.0,86.0,1.0,43.5,43.5,22.25,64.75,42.5,623.5,24.969981978367546,85.0,0.0,-1.2000000000000002
102_질병관리청_인체유래물은행현황_20240901.csv,허가번호,0,,86,86,1,1.0,97.0,1.0,51.7906976744186,52.5,30.25,75.5,45.25,752.5674418604654,27.432962688351132,96.0,-0.10777602091743223,-1.0865439573379048
102_질병관리청_인체유래물은행현황_20240901.csv,기 관 명,0,가변,84,84,서울대학교병원,1.0238095238095237,,,,,,,,,,,,
