파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,년월,0,고정,6,6,Jan-24,1,,,,,,,,,,,,,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(건강보험),0,,6,6,1151,1,1362,1151,1244.6666666666667,1253.5,1185,1277.75,92.75,6087.066666666667,78.01965564309207,211,0.2556186448279908,-0.523780956,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(건강보험),0,,6,6,180003140,1,237510190,180003140,210743451.66666663,212680950,188059015,234470570,46411555,700326950253136.6,26463691.16833736,57507050,-0.106435961,-2.815870234,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(건강보험),0,,6,6,176973550,1,235659970,176973550,209094043.3333333,211781375,186763447.5,232903232.5,46139785,715508445846306.6,26748989.622905508,58686420,-0.149497515,-2.76575236,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(의료급여),0,,6,6,761,1,864,761,797.5,782.5,776.75,810.75,34,1443.5,37.993420483025744,103,1.305605892744754,1.122481162945248,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(의료급여),0,,6,6,135342210,1,238955990,135342210,161636170,147782195,146275012.5,152581907.5,6306895,1471640797348600.0,38361970.71773816,103613780,2.3085355685882347,5.501149910913137,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(의료급여),0,,6,6,134747740,1,187207440,134747740,152722696.66666666,147797660,145894752.5,152093337.5,6198585,322988260795306.6,17971874.159232993,52459700,1.786504124488738,3.967141452322725,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,건수(기타-산재및자동차보험),0,,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,청구액(기타-산재및자동차보험),0,,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,보건의료,보건의료
100_보건복지부 국립나주병원_진료비 청구 현황_20240630.csv,실지급액(기타-산재및자동차보험),0,,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,보건의료,보건의료
