컬럼명,count(컬럼명)
데이터기준일자,16
위도,14
연번,14
경도,14
주소,13
전화번호,13
시도,13
구분,13
성별,10
연도,9
업소명,8
시군구,8
발생건수(건),8
날짜,8
소재지도로명주소,7
환자수,6
진료년도,6
의료기관명,6
우편번호,6
시도지역코드,6
시군구명,6
순번,6
입내원일수,5
요양급여비용총액,5
시설명,5
시도명,5
시군구지역코드,5
소재지,5
업체명,4
소재지지번주소,4
비고,4
명세서청구건수,4
기관명,4
관리기관명,4
행정동,3
지역,3
제품명,3
암종,3
보험자부담금,3
데이터 기준일자,3
년도,3
국제질병분류,3
행정구역,2
표시과목,2
카메라대수,2
진료과목,2
지표연도,2
지표명,2
지표값(퍼센트),2
지정일자,2
지역명,2
지사,2
종별,2
조발생률,2
제공기관코드,2
제공기관명,2
일련번호,2
의료기관종별,2
의료기관기호,2
요양기관명,2
영업소 주소(도로명),2
연령대,2
연령군,2
연락처,2
여자 암발생자수(명),2
업종명,2
업종,2
업소지번주소,2
업소도로명주소,2
신청,2
승인율(퍼센트),2
승인,2
소재지주소,2
상세주소,2
사망,2
분자(명),2
분모(명),2
부상,2
범죄중분류,2
범죄대분류,2
번호,2
발생자수,2
발생연도,2
미상,2
도로명주소,2
데이터기준일,2
년월,2
남자 암발생자수(명),2
기준연도,2
기준년도,2
관리기관전화번호,2
경찰서,2
흡연상태,1
휴양및문화시설정보,1
회차,1
확보기관,1
화학적산소요구량 표층,1
화학적산소요구량 저층,1
화학적산소요구량,1
화재유형,1
화재발생년원일,1
"화요일 오후 스케줄 (유 : Y, 무 : N)",1
"화요일 오전 스케줄 (유 : Y, 무 : N)",1
화,1
혈청크레아티닌,1
혈청지피티(ALT),1
혈청지오티(AST),1
혈압수치 인지율,1
혈색소,1
혈당수치 인지율,1
현재흡연율,1
허리둘레,1
허가번호,1
행정동명,1
행정구역최소Y좌표,1
행정구역최소X좌표,1
행정구역최대Y좌표,1
행정구역최대X좌표,1
행정구역별,1
행위코드,1
해킹(자료훼손),1
해킹(자료유출),1
해킹(단순침입),1
해킹(계정도용),1
해역,1
해안,1
해당수가입력일자,1
합격여부,1
한글수가명,1
학원,1
학년명,1
학교소재지,1
학교명,1
학교급명,1
학교,1
하순(6월),1
하순(5월),1
하순(4월),1
피해자_당사자종별,1
품목코드,1
품목중분류,1
품목소분류,1
품목대분류,1
표시과목명,1
폴리클로리네이티드비페닐(PCBs)(mg_kg),1
폭력,1
폐수처리관리_재이용량,1
폐수처리관리_일산화탄소D,1
폐수처리관리_산성농도,1
폐수처리관리_방류량,1
폐기물종류,1
폐기물구분,1
폐가_공터,1
평면직각좌표계_Y좌표,1
평면직각좌표계_X좌표,1
편의점,1
페놀류(mg_kg),1
펌프(HP_기),1
특수검진(명),1
트리클로로에틸렌(TCE)(mg_kg),1
트리글리세라이드,1
투명도 표층,1
통행로_보도_골목길,1
톨루엔(mg_kg),1
톤수,1
토,1
테트라클로로에틸렌(PCE)(mg_kg),1
택시,1
키워드,1
클로로필 표층,1
클로로필 저층,1
크실렌(mg_kg),1
카페,1
카메라화소,1
카드뮴(mg_kg),1
침출수소각_2호기,1
침출수소각_1호기,1
치아우식증유무,1
치석,1
치매환자유병률,1
치매환자수,1
치료기간,1
측정지역,1
측정일자,1
측정시간,1
측정기준일,1
취소,1
충북,1
충남,1
최종수정일,1
최경도 환자,1
촬영방면,1
총콜레스테롤,1
총질소 표층,1
