구분,기관명,주소,우편번호,전화번호
장애인복지관,도장애인복지관,전라남도 나주시 내영산1길 67,58263,061-332-4104
장애인복지관,목포시장애인종합복지관,전라남도 목포시 하당로 205번길 12,58660,061-285-2811
장애인복지관,명도복지관,전라남도 목포시 산정로 199번길 25,58653,061-279-4879
장애인복지관,여수시장애인종합복지관,전라남도 여수시 만성로 173 (미평동),59624,061-652-5005
장애인복지관,순천시장애인종합복지관,전라남도 순천시 서면 청소년수련원길 2,57906,061-755-4450
장애인복지관,광양시장애인종합복지관,전라남도 광양시 광양읍 대림오성로 117,57762,061-761-4438
장애인복지관,중마장애인복지관,전라남도 광양시 중마로 525(마동),57797,061-795-0420
장애인복지관,혜림종합복지관,전라남도 담양군 금성면 새덕굴길 317,57352,061-380-4548
장애인복지관,구례군장애인복지관,전라남도 구례군 구례읍 동편제길 30,57647,061-783-7605
장애인복지관,고흥군장애인복지관,전라남도 고흥군 고흥읍 신계학림길 41,59535,061-901-6701
장애인복지관,보성군장애인복지관,전라남도 보성군 보성읍 현충로 186,59454,061-852-3091
장애인복지관,강진군장애인종합복지관,전라남도 강진군 강진읍 탐진로 37-7,59227,061-433-8861
장애인복지관,해남군장애인종합복지관,전라남도 해남군 해남읍 신안길 2-20,59044,061-536-6311
장애인복지관,영암군장애인복지관,전라남도 영암군 영암읍 오리정길 37,58421,061-470-6750
장애인복지관,무안군장애인종합복지관,전라남도 무안군 무안읍 공항로 148-18,58520,061-454-4560
장애인복지관,장성군장애인종합복지관,전라남도 장성군 장성읍 강변안길 90,57221,061-393-6336
장애인복지관,완도군장애인종합복지관,전라남도 완도군 완도읍 노두목길 30,59112,061-555-5115
장애인복지관,진도군장애인종합복지관,전라남도 진도군 진도읍 남산로 50-4,58928,061-543-8005
장애인주간보호시설,명도복지관주간보호시설,전라남도 목포시 산정로 199번길 25,58653,061-279-4879
장애인주간보호시설,성산그레이스장애인주간보호센터,전라남도 목포시 번화로 41-7(대의동1가),58753,061-245-9520
장애인주간보호시설,성골롬반하우스,전라남도 목포시 백년대로 266번길 13,58696,061-284-2879
장애인주간보호시설,작은나루주간보호시설,전라남도 여수시 문수7길 26-12 (문수동),59703,070-4733-5582
