진료년월,서식,인원(청구건수),요양급여총액,본인부담(B),지원금,장애인(C),청구금액(D)
2014-01,건강보험 외래,260,16766020,2627900,664250,0,14138120
2014-01,건강보험 입원,177,229439520,39539180,251520,172700,189727640
2014-01,의료급여 외래,37,1929460,73780,0,0,1855680
2014-01,의료급여 입원,81,118172210,206430,0,0,117965780
2014-02,건강보험 외래,248,14845890,2307600,584500,0,12538290
2014-02,건강보험 입원,162,204558620,35082300,214720,250080,169226240
2014-02,의료급여 외래,54,2878380,102010,0,10440,2765930
2014-02,의료급여 입원,75,97133660,0,0,0,97133660
2014-03,건강보험 외래,293,19557310,3849100,650300,0,15708210
2014-03,건강보험 입원,177,237044780,39899850,490440,283690,196861240
2014-03,의료급여 외래,55,2430530,74990,0,0,2355540
2014-03,의료급여 입원,75,98498360,81990,0,51060,98416370
2014-04,건강보험 외래,307,18710530,3041700,681450,3000,15665830
2014-04,건강보험 입원,171,226058380,37632870,460970,132720,188292790
2014-04,의료급여 외래,64,3492440,67670,0,5220,3419550
2014-04,의료급여 입원,74,91538580,0,0,0,91538580
2014-05,건강보험 외래,277,17376430,2545800,679050,2000,14828630
2014-05,건강보험 입원,176,39699720,39699720,452070,0,0
2014-05,의료급여 외래,74,4145050,79380,0,5220,4060450
2014-05,의료급여 입원,72,90343440,7850,0,0,90335590
2014-06,건강보험 외래,287,19226110,3334300,668000,3000,15891810
2014-06,건강보험 입원,176,244130670,39699720,452070,0,204430950
2014-06,의료급여 외래,73,4076810,77450,0,0,3999360
2014-06,의료급여 입원,66,87350680,0,0,0,87350680
2014-07,건강보험 외래,273,16788210,2381000,637800,1000,14406210
2014-07,건강보험 입원,167,237480000,39770620,549200,0,197709380
2014-07,의료급여 외래,65,4333520,57390,0,2860,4273270
2014-07,의료급여 입원,69,89803680,0,0,0,89803680
2014-08,건강보험 외래,265,17798120,3214300,595400,2000,14581820
2014-08,건강보험 입원,190,240747700,39944060,778840,0,200781280
2014-08,의료급여 외래,61,4103000,74850,0,0,4028150
2014-08,의료급여 입원,68,91085390,0,0,0,91085390
2014-09,건강보험 외래,255,17135090,2668700,649350,5100,14461290
2014-09,건강보험 입원,165,243124300,38591330,4480,0,204385790
2014-09,의료급여 외래,66,3723060,33720,0,2150,3687190
2014-09,의료급여 입원,68,97883420,0,0,0,97883420
2014-10,건강보험 외래,250,14293250,1985000,577650,2000,12306250
2014-10,건강보험 입원,142,207502480,32619030,415470,0,174527430
2014-10,의료급여 외래,63,3703120,51730,0,5220,3645170
2014-10,의료급여 입원,69,107365700,0,0,0,107365700
2014-11,건강보험 외래,246,16117020,2146600,684000,1000,13969420
2014-11,건강보험 입원,122,185649040,29335040,439410,0,156314000
2014-11,의료급여 외래,53,2707010,30720,0,0,2676290
2014-11,의료급여 입원,62,101327440,0,0,0,101327440
2014-12,건강보험 외래,273,16677250,2218000,711900,7900,14451350
2014-12,건강보험 입원,122,209919800,32722070,405420,16640,177148390
2014-12,의료급여 외래,70,4264700,69340,0,24720,4170640
2014-12,의료급여 입원,61,107117300,0,0,0,107117300
2015-01,건강보험 외래,251,15446680,2293600,631800,0,13153080
2015-01,건강보험 입원,138,215279630,33335490,423100,0,181720740
2015-01,의료급여 외래,55,3515890,22500,0,0,3493390
2015-01,의료급여 입원,62,91526570,169420,0,0,91357150
2015-02,건강보험 외래,225,15280270,2238700,639300,0,13041570
2015-02,건강보험 입원,130,192505190,29989920,358730,0,162484490
2015-02,의료급여 외래,60,3458710,39960,0,0,3418750
2015-02,의료급여 입원,57,78866120,195410,0,0,78670710
2015-03,건강보험 외래,278,16812860,2423300,710950,0,14389560
2015-03,건강보험 입원,128,200665470,31853420,396790,0,168775580
2015-03,의료급여 외래,73,4088160,75640,0,790,4011730
2015-03,의료급여 입원,62,86421080,0,0,0,86421080
2015-04,건강보험 외래,262,19865130,3211400,772250,0,16653730
2015-04,건강보험 입원,121,174000860,27220850,370120,0,146752900
2015-04,의료급여 외래,71,4483500,49380,0,5310,4428810
2015-04,의료급여 입원,60,86363710,0,0,0,86363710
2015-05,건강보험 외래,274,17951160,3126500,664850,0,14824660
2015-05,건강보험 입원,117,183999730,29266820,388420,0,154697410
2015-05,의료급여 외래,48,2422480,35380,0,0,2387100
2015-05,의료급여 입원,64,97317900,0,0,0,97317900
2015-06,건강보험 외래,256,17903720,3101300,646450,0,14802420
2015-06,건강보험 입원,136,199184180,31532220,403950,0,167583360
2015-06,의료급여 외래,52,3639980,48260,0,0,3591720
2015-06,의료급여 입원,58,87024220,0,0,0,87024220
2015-07,건강보험 외래,282,20224790,3167500,843550,1000,17056290
2015-07,건강보험 입원,142,205216560,31932910,397120,0,173205770
2015-07,의료급여 외래,59,3195530,36000,0,8400,3151130
2015-07,의료급여 입원,54,89201740,0,0,0,89201740
2015-08,건강보험 외래,239,17062620,3138600,642100,0,13924020
2015-08,건강보험 입원,133,209029640,32872710,675350,0,176137480
2015-08,의료급여 외래,59,3447060,49480,0,5310,3392270
2015-08,의료급여 입원,58,86424530,0,0,0,86424530
2015-09,건강보험 외래,189,13710520,2041400,594400,1000,11668120
2015-09,건강보험 입원,134,201902680,31405120,651120,0,170478980
2015-09,의료급여 외래,45,2800540,49300,0,5310,2745930
2015-09,의료급여 입원,57,90365730,0,0,0,90365730
2015-10,건강보험 외래,240,18427450,2883600,764500,1000,15542850
2015-10,건강보험 입원,124,200173900,34280220,581310,0,165781420
2015-10,의료급여 외래,57,3736220,37450,0,0,3698770
2015-10,의료급여 입원,64,97296120,0,0,0,97296120
2015-11,건강보험 외래,202,13668150,2056100,546650,12200,11599850
2015-11,건강보험 입원,118,191775150,33352980,432630,0,158413260
2015-11,의료급여 외래,39,2235430,21900,0,0,2213530
2015-11,의료급여 입원,56,84309800,0,0,0,84309800
2015-12,건강보험 외래,224,16064480,2597400,733750,0,13467080
2015-12,건강보험 입원,120,187259950,32515610,424970,0,154739240
2015-12,의료급여 외래,52,3102610,34690,0,0,3067920
2015-12,의료급여 입원,52,77832660,0,0,0,77832660
