년도,일반검진(명),특수검진(명),채용신검(명),보건관리대행(명),작업환경측정(개소)
1977,3399,8640,1817,,
1978,3495,10275,4381,,12
1979,10708,10935,5049,,34
1980,23014,24995,15134,,79
1981,23836,18924,9911,,86
1982,35311,25568,9067,,58
1983,56509,51762,11057,,348
1984,54861,63092,18454,,448
1985,51979,74832,13907,,304
1986,60150,76004,20874,,395
1987,51377,87623,20916,,511
1988,69586,102248,18736,321,990
1989,48257,115826,18456,22185,1532
1990,59287,128637,20190,30738,2309
1991,84362,124068,23547,65045,3173
1992,88751,126517,22978,68408,3195
1993,83536,110643,27339,68350,3547
1994,92170,115185,28171,70305,3712
1995,100106,107938,37341,62556,3764
1996,130747,99220,32313,68050,3847
1997,127194,114670,32779,70290,3992
1998,171074,103743,31367,58169,3517
1999,147796,85485,35635,60722,3691
2000,163651,70702,35319,65051,3838
2001,153870,56429,33314,58519,3849
2002,135715,64672,37759,57965,4072
2003,167575,65490,48701,58745,4062
2004,168124,72152,55130,63578,4228
2005,178763,70184,56012,64978,3798
2006,225156,80024,42199,68459,3642
2007,215220,81745,44345,68817,3756
2008,247829,91101,50492,68792,3774
2009,211787,79644,47349,65686,3677
2010,195129,81392,60375,67772,3754
2011,208841,86342,60316,67244,3900
2012,186004,80676,58523,68681,3809
2013,201189,81416,78630,66197,3925
2014,209373,91773,74852,64716,3692
2015,208780,103689,74190,67508,3707
2016,209205,112505,68037,58365,3589
2017,200457,104832,59289,56936,3426
2018,163512,104601,75412,55824,3072
2019,165643,98325,71210,55337,2638
2020,145260,88100,54050,53911,2487
2021,154048,98299,67912,50316,2427
2022,151960,97294,65505,49726,2447
2023,142669,101126,63052,49163,2355
