의료기관기호,의료기관명,우편번호,주소,전화번호
1000001,연세대학교의과대학강남세브란스병원,6273,서울 강남구 언주로 211 (도곡동),02-2019-2163
1000050,의료법인 제일병원,6664,서울 서초구 서초대로 116 (방배동),02-586-5557
1000072,예루살렘정형외과,6737,서울 서초구 남부순환로350길 33 (양재동),02-575-0122
1000116,가톨릭정형외과의원,6109,"서울 강남구 언주로 601 3층 (논현동, 파크랜드빌딩)",02-554-7575
1000147,광동한방병원,6170,서울 강남구 봉은사로 612 (삼성동),02-2222-4883
1000158,한양대학교병원,4763,"서울 성동구 왕십리로 222-1 (사근동, 한양대학부속병원)",02-2290-9096
1000159,강동성심병원,5355,서울 강동구 성안로 150 (길동),02-2224-2127
1000161,국립경찰병원,5715,서울 송파구 송이로 123 (가락동),02-3400-1160
1000168,건국대학교병원,5030,"서울특별시 광진구 능동로 120-1 (화양동, 건국대학교병원)",02-2030-7158
1000172,한국보훈복지의료공단 중앙보훈병원,5368,서울 강동구 진황도로61길 53 (둔촌동),02-2225-1206
1000277,노명복정형외과,4914,서울 광진구 긴고랑로 32 (중곡동),02-464-8111
1000326,연세정형외과,5254,서울 강동구 고덕로 86 (암사동),02-441-2111
1000328,이레정형외과,5217,"서울 강동구 고덕로 433 4-5층 (강일동, 이레빌딩)",02-481-5404
1000337,박영우정형외과의원,5320,서울 강동구 구천면로 287 (천호동),02-484-5754
1000341,만택루쎄의원,5117,서울 광진구 광나루로 614 (구의동),02-456-5333
1000343,박상화정형외과의원,5408,서울 강동구 양재대로 1319 (성내동),02-488-7750
1000359,여봉구정형외과의원,4714,서울 성동구 행당로17길 1-3 (행당동),02-2281-3875
1000379,금호정형외과의원,4728,서울특별시 성동구  금호로 147 (금호동2가) 2층,02-2291-7674
1000381,송파고려신경외과의원,5769,서울 송파구 오금로 410 2층 (가락동),02-400-2286
1000383,동서울정형외과의원,4953,서울 광진구 용마산로 2 (중곡동),02-453-1177
1000384,현대정형외과의원,4936,서울 광진구 용마산로 67 (중곡동),02-458-1070
1000410,연세제일정형외과의원,5351,서울 강동구 양재대로 1486 (길동),02-471-7582
1000411,송파인애가의원,5797,서울 송파구 문정로 65 (문정동),02-443-7575
1000417,파티마의원,4748,서울 성동구 고산자로 342 (마장동),02-2292-3377
1000420,한솔정형외과의원,5251,서울 강동구 올림픽로 804 (암사동),02-3426-8575
1000430,상일정형외과의원,5112,서울 광진구 자양로 42 1층 (자양동),02-444-3330
1000431,김종영재활의학과의원,5269,"서울 강동구 동남로75길 19 2층 (명일동, 명일빌딩)",02-426-8275
1000433,노경민정형외과의원,5264,서울 강동구 올림픽로 782 4층 (암사동),02-428-2333
1000469,인애가송파한방병원,5797,서울 송파구 문정로 65 (문정동),02-443-7575
1000492,경희대학교의과대학부속병원,2447,"서울 동대문구 경희대로 23 (회기동, 경희의료원)",02-958-8114
1000493,인제대학교부속상계백병원,1757,서울 노원구 동일로 1342 (상계동),02-950-1402
1000496,삼육서울병원,2500,"서울 동대문구 망우로 82 (휘경동, 삼육서울병원)",02-2210-3655
1000501,서울성심병원,2488,서울 동대문구 왕산로 259 (청량리동),02-966-1616
1000503,의료법인한전의료재단한일병원,1450,서울 도봉구 우이천로 308 (쌍문동),02-901-3858
1000505,의료법인동부제일병원,2063,서울 중랑구 망우로 511 (망우동),02-490-8702
1000508,노원을지대학교병원,1830,서울 노원구 한글비석로 68 (하계동),02-970-8426
1000514,대한병원,1081,서울특별시 강북구  도봉로 301 (수유동),02-903-3231
1000540,동서울정형외과의원,2580,"서울 동대문구 왕산로 21 (신설동, 민족통일대통령빌딩)",02-926-9171
1000563,이영수의원,1443,서울 도봉구 도봉로 477 (쌍문동),02-992-6353
1000587,박용신경외과,2122,"서울 중랑구 망우로 238 (상봉동, 박용신경외과)",02-433-0881
1000601,오명환정형외과,2135,서울 중랑구 동일로 637 (면목동),02-494-6155
1000638,동부외과의원,2250,서울 중랑구 사가정로 402 (면목동),02-494-1004
1000667,성모정형외과,2594,"서울 동대문구 답십리로 64 (전농동, 2층 및 3층)",02-2247-3451
1000726,현대중앙의원,2539,서울 동대문구 사가정로 110 (전농동),02-2244-9600
1000729,제일정형외과의원,1803,서울 노원구 화랑로 463 (공릉동),02-976-4506
1000730,아주정형외과의원,2566,서울 동대문구 고산자로 399 3층 (용두동),02-968-5545
1000743,하나정형외과,2140,서울 중랑구 동일로 634 (면목동),02-495-0119
1000744,신내성모정형외과,2067,서울 중랑구 신내로 82 금강메디컬빌딩 2층 (신내동),02-3423-0129
1000747,창동제일의원,1405,서울 도봉구 노해로65길 17-13 (창동),02-900-5011
1000773,호경정형외과,2604,서울 동대문구 천호대로 291 (답십리동),02-2243-4892
1000775,다사랑신경외과의원,1340,"서울 도봉구 도봉로 677 2층,3층 (방학동)",02-930-1961
1000778,상계바론 정형외과의원,1783,"서울 노원구 한글비석로 383 (중계동, 삼창타워프라자 2층)",02-951-9966
1000791,중앙정형외과의원,2583,서울 동대문구 왕산로 42 (용두동),02-953-2282
1000792,현대정형외과의원,1110,서울 강북구 삼양로 255 (미아동),02-989-3119
1000796,선정형외과의원,2560,서울 동대문구 고산자로 410 (용두동),02-964-5782
1000815,동국치과의원,1063,서울 강북구 한천로131길 36 (번동),02-902-2297
1000828,좋은치과의원,1858,서울 노원구 동일로 1021 4층 (공릉동),02-974-6647
1000848,(학교법인)가톨릭대학교여의도성모병원,7345,서울 영등포구 63로 10 (여의도동),02-3779-1177
1000849,(학)일송학원한강성심병원,7247,서울 영등포구 버드나루로7길 12 (영등포동7가),02-2639-5023
1000850,이대부속 목동병원,7985,서울 양천구 안양천로 1071 (목동),02-2650-2958
1000857,대림성모병원,7442,서울 영등포구 시흥대로 657 (대림동),02-829-9218
1000858,(의료법인)성애병원,7354,서울 영등포구 여의대방로53길 22 (신길동),02-840-7138
1000859,한림대학교강남성심병원,7441,서울 영등포구 신길로 1 (대림동),02-829-5057
1000861,홍익병원,7937,서울 양천구 목동로 225 (신정동),02-2600-0650
1000862,명지성모병원,7417,서울 영등포구 도림로 156 (대림동),02-829-7853
1000866,의료법인건양의료재단김안과병원,7301,서울 영등포구 영신로 136 (영등포동4가),02-2639-7843
1000879,의료법인 인봉의료재단 영등포병원,7256,서울 영등포구 당산로31길 10 (당산동3가),02-2635-2808
1000892,강서연세병원,7556,"서울 강서구 양천로 712 (염창동, 강서연세병원)",02-2658-5114
1000901,(의료법인)의료법인 필 의료재단,7769,"서울 강서구 강서로17길 24 의료법인 필 의료재단 (화곡동, 강서필병원)",02-2608-8855
1000919,황외과의원,7772,서울 강서구 월정로 140 (화곡동),02-2695-6300
1000979,장외과의원,8022,"서울 양천구 오목로 224 (신정동, 제연빌딩 3층 장외과)",02-2605-5230
1000980,원일정형외과의원,7348,"서울 영등포구 도신로 204 지하1층,3층,4층 (신길동)",02-849-5055
1000989,방화병원,7604,"서울 강서구 양천로 92 (방화동,방화정형외과) 예목빌딩",02-2666-7582
1001005,김완호정형외과,7702,서울 강서구 화곡로 173 (화곡동),02-2606-1760
