진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2023,남,외래,10100,4053835,5746498,6303257,88350558120
2023,남,외래,10101,215460,238299,238353,3832110050
2023,남,외래,10102,25684,28301,28335,465756180
2023,남,외래,10103,9772,10469,10473,181246900
2023,남,외래,10140,1,1,1,26710
2023,남,외래,10180,1,1,1,502380
2023,남,외래,10200,3124726,27017505,29246091,259544393798
2023,남,외래,10201,125189,738406,738591,7640434820
2023,남,외래,10202,19510,154578,154758,1693939510
2023,남,외래,10203,5348,38644,38653,458370110
2023,남,외래,11214,2077,13659,13659,7102680
2023,남,외래,11215,396,3731,3516.5,585900
2023,남,외래,11232,505,3426,3426,11477100
2023,남,외래,11233,1537,7858,7858,18309140
2023,남,외래,11274,135,789,789,118350
2023,남,외래,11311,111,744,744,491040
2023,남,외래,11312,1744,9615,9615,2884500
2023,남,외래,11313,2223,13778,13778,964460
2023,남,외래,11411,111,744,744,424080
2023,남,외래,11412,1465,7518,7518,2405760
2023,남,외래,11413,2223,15299,15299,1223920
2023,남,외래,11600,10,52,52,564720
2023,남,외래,11700,977,2870,2870,33546440
2023,남,외래,11800,21,334,334,1786900
2023,남,외래,11900,179,256,256,1640960
2023,남,외래,12060,12,12,12,102750
2023,남,외래,12062,3,3,3,30000
2023,남,외래,12063,10,10,10,100000
2023,남,외래,13951,1419,8594,8594,15039500
2023,남,외래,13952,11974,75845,75845,117559750
2023,남,외래,13953,3222,19158,19158,25671720
2023,남,외래,20010,5682,6545,6545,27824920
2023,남,외래,20020,26921,31002,31002,150640377
2023,남,외래,20023,4956,6202,6202,58184903
2023,남,외래,20030,4075,4316,4316,23903237
2023,남,외래,20031,9655,10706,10706,49247434
2023,남,외래,20032,146297,166402,166415.4,720113508
2023,남,외래,20242,5,5,5,215500
2023,남,외래,20330,8,8,8,127000
2023,남,외래,29003,376,542,543,2904887
2023,남,외래,29004,3008,3176,3176,59647712
2023,남,외래,29005,37,37,37,1263522
2023,남,외래,29012,1,1,1,0
2023,남,외래,30010,1012538,8453153,8453563,9436071420
2023,남,외래,30020,200492,477227,477391.33,617688286
2023,남,외래,30030,180849,341671,341904,499170998
2023,남,외래,30040,29872,52796,52833,86917411
2023,남,외래,30050,57242,102074,102186,183763264
2023,남,외래,30060,10135,19265,19274,38672881
2023,남,외래,30070,46018,101279,101405,215599284
2023,남,외래,30080,2141,3311,3312,7887268
2023,남,외래,30090,748,1206,1206,2976460
2023,남,외래,30100,16519,27391,27408,73771576
2023,남,외래,30110,217,259,259,722080
2023,남,외래,30120,963,1636,1636,4868291
2023,남,외래,30130,316,487,487,1534706
2023,남,외래,30140,4803,9256,9273,30743385
2023,남,외래,30150,4243,7763,7791,27020605
2023,남,외래,30160,6718,12621,12639,52576981
2023,남,외래,30180,878,1632,1632,8009433
2023,남,외래,30190,32,45,45,285911
2023,남,외래,30671,1,1,1,5200
2023,남,외래,40011,1498137,8179509,8179517,33474012837
2023,남,외래,40012,3843282,24381824,24382528,140472070950
2023,남,외래,40030,9200,70973,70973,315751795
2023,남,외래,40040,26347,115257,115257,469685995
2023,남,외래,40050,181403,803542,803545.5,3230171304
2023,남,외래,40060,1604608,8424238,8424297,36721615291
2023,남,외래,40070,1381911,6351971,6352012.1,28413739875
2023,남,외래,40080,2732928,16873308,16873771.01,75692465200
2023,남,외래,40091,2687567,15058517,15058537,57650779798
2023,남,외래,40092,6370,27296,27299,116928009
2023,남,외래,40100,8103,38992,39007,153138385
2023,남,외래,40120,6,6,6,19734
2023,남,외래,40121,12109,27663,27663,111447826
2023,남,외래,40122,147,793,793,3165957
2023,남,외래,40123,196,581,581,2242305
2023,남,외래,40124,2153,4911,4911,19718495
2023,남,외래,40125,1717,10981,10981,42502149
2023,남,외래,40126,220,498,498,1976836
2023,남,외래,40127,474,1358,1358,5698190
2023,남,외래,40128,125,233,233,918120
2023,남,외래,40129,1465,3536,3536,14085887
2023,남,외래,40131,15907,52789,52796,216803507
2023,남,외래,40132,12788,34186,34186,139705086
2023,남,외래,40133,18847,53446,53457,230706154
2023,남,외래,40134,2403,7543,7544,30900462
2023,남,외래,40302,52,75,75,97500
2023,남,외래,40304,215353,1051253,1051259,11823406057
2023,남,외래,40305,7621,38130,38130,429093414
2023,남,외래,40306,559390,2827294,2827349,13192165687
2023,남,외래,40307,1287126,6601940,6602126,26618231490
2023,남,외래,40311,8,169,169,141960
2023,남,외래,40312,1885315,6381006,6381180,57477374556
2023,남,외래,40313,984859,4336753,4336898,58695510621
2023,남,외래,40321,1563049,8605726,8605872,44128880031
2023,남,외래,40322,129820,597224,597261,3694691319
2023,남,외래,40323,51284,228647,228650,1411166145
2023,남,외래,40400,2529036,4751402,4751483.04,20193194066
2023,남,외래,40700,1230321,5556724,5557225.5,12790992689
2023,남,외래,40701,2698971,13788485,13789367,24491991101
2023,남,외래,40702,44906,114928,114934,249946215
2023,남,외래,40710,382976,1378857,1378859,33310446689
2023,남,외래,40720,47167,233394,233397,9609673044
2023,남,외래,40721,140479,542386,542386,22110181764
2023,남,외래,40730,392,1147,1147,71485311
2023,남,외래,45501,23,59,59,415681
