지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2022,전국,전체,고혈압의료이용률,51893314,11032578,21.26
2022,서울특별시,전체,고혈압의료이용률,9640552,1899958,19.71
2022,서울특별시,종로구,고혈압의료이용률,150120,29207,19.46
2022,서울특별시,중구,고혈압의료이용률,128974,26714,20.71
2022,서울특별시,용산구,고혈압의료이용률,223190,41640,18.66
2022,서울특별시,성동구,고혈압의료이용률,290546,56797,19.55
2022,서울특별시,광진구,고혈압의료이용률,352886,65744,18.63
2022,서울특별시,동대문구,고혈압의료이용률,350362,73466,20.97
2022,서울특별시,중랑구,고혈압의료이용률,387278,91623,23.66
2022,서울특별시,성북구,고혈압의료이용률,435278,89023,20.45
2022,서울특별시,강북구,고혈압의료이용률,298360,76370,25.6
2022,서울특별시,도봉구,고혈압의료이용률,314635,75875,24.12
2022,서울특별시,노원구,고혈압의료이용률,505365,108081,21.39
2022,서울특별시,은평구,고혈압의료이용률,469047,103644,22.1
2022,서울특별시,서대문구,고혈압의료이용률,313413,62458,19.93
2022,서울특별시,마포구,고혈압의료이용률,374167,64410,17.21
2022,서울특별시,양천구,고혈압의료이용률,443484,85181,19.21
2022,서울특별시,강서구,고혈압의료이용률,573261,111976,19.53
2022,서울특별시,구로구,고혈압의료이용률,431706,93821,21.73
2022,서울특별시,금천구,고혈압의료이용률,251727,56855,22.59
2022,서울특별시,영등포구,고혈압의료이용률,408839,79367,19.41
2022,서울특별시,동작구,고혈압의료이용률,390937,74284,19
2022,서울특별시,관악구,고혈압의료이용률,499679,93240,18.66
2022,서울특별시,서초구,고혈압의료이용률,408568,62369,15.27
2022,서울특별시,강남구,고혈압의료이용률,528606,79739,15.08
2022,서울특별시,송파구,고혈압의료이용률,650359,109868,16.89
2022,서울특별시,강동구,고혈압의료이용률,459765,88206,19.19
2022,부산광역시,전체,고혈압의료이용률,3331515,749217,22.49
2022,부산광역시,중구,고혈압의료이용률,41546,11485,27.64
2022,부산광역시,서구,고혈압의료이용률,104953,28231,26.9
2022,부산광역시,동구,고혈압의료이용률,87506,24853,28.4
2022,부산광역시,영도구,고혈압의료이용률,110435,34683,31.41
2022,부산광역시,부산진구,고혈압의료이용률,349842,77969,22.29
2022,부산광역시,동래구,고혈압의료이용률,262536,54135,20.62
2022,부산광역시,남구,고혈압의료이용률,261140,58868,22.54
2022,부산광역시,북구,고혈압의료이용률,280129,61958,22.12
2022,부산광역시,해운대구,고혈압의료이용률,392378,81646,20.81
2022,부산광역시,사하구,고혈압의료이용률,305212,74724,24.48
2022,부산광역시,금정구,고혈압의료이용률,229157,52032,22.71
2022,부산광역시,강서구,고혈압의료이용률,142975,23114,16.17
2022,부산광역시,연제구,고혈압의료이용률,204459,44270,21.65
2022,부산광역시,수영구,고혈압의료이용률,173188,37952,21.91
2022,부산광역시,사상구,고혈압의료이용률,209358,49015,23.41
2022,부산광역시,기장군,고혈압의료이용률,176701,34282,19.4
2022,대구광역시,전체,고혈압의료이용률,2364822,491650,20.79
2022,대구광역시,중구,고혈압의료이용률,73511,15573,21.18
2022,대구광역시,동구,고혈압의료이용률,331945,76064,22.91
2022,대구광역시,서구,고혈압의료이용률,163545,45641,27.91
2022,대구광역시,남구,고혈압의료이용률,141625,35354,24.96
2022,대구광역시,북구,고혈압의료이용률,434501,85574,19.69
2022,대구광역시,수성구,고혈압의료이용률,408301,76758,18.8
2022,대구광역시,달서구,고혈압의료이용률,545841,109073,19.98
2022,대구광역시,달성군,고혈압의료이용률,265553,47613,17.93
2022,인천광역시,전체,고혈압의료이용률,2987693,636903,21.32
2022,인천광역시,중구,고혈압의료이용률,145656,29959,20.57
2022,인천광역시,동구,고혈압의료이용률,61536,18293,29.73
2022,인천광역시,미추홀구,고혈압의료이용률,414024,97996,23.67
2022,인천광역시,연수구,고혈압의료이용률,401549,66442,16.55
2022,인천광역시,남동구,고혈압의료이용률,523414,112989,21.59
2022,인천광역시,부평구,고혈압의료이용률,498154,111468,22.38
2022,인천광역시,계양구,고혈압의료이용률,294959,64684,21.93
2022,인천광역시,서구,고혈압의료이용률,561129,105315,18.77
2022,인천광역시,강화군,고혈압의료이용률,69326,23398,33.75
2022,인천광역시,옹진군,고혈압의료이용률,17946,6359,35.43
2022,광주광역시,전체,고혈압의료이용률,1441572,263340,18.27
2022,광주광역시,동구,고혈압의료이용률,102891,23182,22.53
2022,광주광역시,서구,고혈압의료이용률,288433,53274,18.47
2022,광주광역시,남구,고혈압의료이용률,213742,43633,20.41
2022,광주광역시,북구,고혈압의료이용률,425088,81470,19.17
2022,광주광역시,광산구,고혈압의료이용률,411418,61781,15.02
2022,대전광역시,전체,고혈압의료이용률,1443832,287677,19.92
2022,대전광역시,동구,고혈압의료이용률,224178,53874,24.03
2022,대전광역시,중구,고혈압의료이용률,228240,55113,24.15
2022,대전광역시,서구,고혈압의료이용률,469055,85383,18.2
2022,대전광역시,유성구,고혈압의료이용률,347493,52055,14.98
2022,대전광역시,대덕구,고혈압의료이용률,174866,41252,23.59
2022,울산광역시,전체,고혈압의료이용률,1130464,216679,19.17
2022,울산광역시,중구,고혈압의료이용률,212562,44872,21.11
2022,울산광역시,남구,고혈압의료이용률,315378,58875,18.67
2022,울산광역시,동구,고혈압의료이용률,155644,31936,20.52
2022,울산광역시,북구,고혈압의료이용률,219372,33848,15.43
2022,울산광역시,울주군,고혈압의료이용률,227508,47148,20.72
2022,세종특별자치시,전체,고혈압의료이용률,364647,54612,14.98
2022,세종특별자치시,세종시,고혈압의료이용률,364647,54612,14.98
2022,경기도,전체,고혈압의료이용률,13756986,2695361,19.59
2022,경기도,수원시 장안구,고혈압의료이용률,278515,54989,19.74
2022,경기도,수원시 권선구,고혈압의료이용률,372103,70816,19.03
2022,경기도,수원시 팔달구,고혈압의료이용률,198357,41483,20.91
2022,경기도,수원시 영통구,고혈압의료이용률,366673,48064,13.11
2022,경기도,성남시 수정구,고혈압의료이용률,243514,51808,21.28
2022,경기도,성남시 중원구,고혈압의료이용률,210760,47980,22.77
2022,경기도,성남시 분당구,고혈압의료이용률,477746,74539,15.6
2022,경기도,의정부시,고혈압의료이용률,457126,101613,22.23
2022,경기도,안양시 만안구,고혈압의료이용률,239704,54027,22.54
2022,경기도,안양시 동안구,고혈압의료이용률,305225,53675,17.59
2022,경기도,부천시,고혈압의료이용률,833587,178485,21.41
2022,경기도,광명시,고혈압의료이용률,293809,58729,19.99
2022,경기도,평택시,고혈압의료이용률,571499,109339,19.13
2022,경기도,동두천시,고혈압의료이용률,89642,25158,28.06
2022,경기도,안산시 상록구,고혈압의료이용률,368028,74681,20.29
2022,경기도,안산시 단원구,고혈압의료이용률,353326,67679,19.15
2022,경기도,고양시 덕양구,고혈압의료이용률,475672,101217,21.28
2022,경기도,고양시 일산동구,고혈압의료이용률,297374,56642,19.05
2022,경기도,고양시 일산서구,고혈압의료이용률,296878,57027,19.21
2022,경기도,과천시,고혈압의료이용률,71499,10961,15.33
2022,경기도,구리시,고혈압의료이용률,190584,39473,20.71
2022,경기도,남양주시,고혈압의료이용률,728826,151546,20.79
2022,경기도,오산시,고혈압의료이용률,243884,41652,17.08
2022,경기도,시흥시,고혈압의료이용률,556591,102236,18.37
2022,경기도,군포시,고혈압의료이용률,274128,53299,19.44
2022,경기도,의왕시,고혈압의료이용률,161962,31362,19.36
2022,경기도,하남시,고혈압의료이용률,317708,55146,17.36
2022,경기도,용인시 처인구,고혈압의료이용률,245516,53726,21.88
2022,경기도,용인시 기흥구,고혈압의료이용률,441460,75171,17.03
2022,경기도,용인시 수지구,고혈압의료이용률,373313,58959,15.79
2022,경기도,파주시,고혈압의료이용률,475119,97559,20.53
2022,경기도,이천시,고혈압의료이용률,222377,47358,21.3
2022,경기도,안성시,고혈압의료이용률,203114,45857,22.58
2022,경기도,김포시,고혈압의료이용률,499045,89708,17.98
2022,경기도,화성시,고혈압의료이용률,918516,140132,15.26
2022,경기도,광주시,고혈압의료이용률,395161,81151,20.54
2022,경기도,양주시,고혈압의료이용률,229906,53807,23.4
2022,경기도,포천시,고혈압의료이용률,150414,42256,28.09
2022,경기도,여주시,고혈압의료이용률,113135,30620,27.07
2022,경기도,연천군,고혈압의료이용률,36898,12873,34.89
2022,경기도,가평군,고혈압의료이용률,59928,18801,31.37
2022,경기도,양평군,고혈압의료이용률,118364,33757,28.52
2022,강원도,전체,고혈압의료이용률,1465567,401611,27.4
2022,강원도,춘천시,고혈압의료이용률,274270,64018,23.34
2022,강원도,원주시,고혈압의료이용률,349583,75244,21.52
2022,강원도,강릉시,고혈압의료이용률,208938,59390,28.42
2022,강원도,동해시,고혈압의료이용률,84242,25467,30.23
2022,강원도,태백시,고혈압의료이용률,40187,12155,30.25
2022,강원도,속초시,고혈압의료이용률,78429,22438,28.61
2022,강원도,삼척시,고혈압의료이용률,62250,20809,33.43
2022,강원도,홍천군,고혈압의료이용률,61101,19894,32.56
2022,강원도,횡성군,고혈압의료이용률,45520,15022,33
2022,강원도,영월군,고혈압의료이용률,37370,12872,34.44
2022,강원도,평창군,고혈압의료이용률,40787,13513,33.13
2022,강원도,정선군,고혈압의료이용률,35329,11546,32.68
2022,강원도,철원군,고혈압의료이용률,36632,11415,31.16
2022,강원도,화천군,고혈압의료이용률,18098,6494,35.88
2022,강원도,양구군,고혈압의료이용률,14758,4283,29.02
