지사명,청구건수,지급건수,총지급액,총 진료일수
합      계,958786 ,958786 ,909461971900 ,13896098 
서울지역본부,13068 ,13068 ,10037582390 ,128007 
서울강남지사,4504 ,4504 ,3092649420 ,32159 
서울서초지사,6374 ,6374 ,3496516380 ,56450 
서울동부지사,17759 ,17759 ,11643540610 ,210274 
서울성동지사,4018 ,4018 ,9972670090 ,50580 
서울서부지사,14577 ,14577 ,8068469410 ,163252 
서울남부지사,26879 ,26879 ,31113687740 ,347975 
서울북부지사,22016 ,22016 ,14802031700 ,303201 
서울관악지사,19110 ,19110 ,14695557820 ,275654 
의정부지사,15880 ,15880 ,11118414480 ,218542 
남양주지사,12697 ,12697 ,5564517510 ,159814 
부산지역본부,24829 ,24829 ,22784224770 ,326949 
부산중부지사,10160 ,10160 ,9648469090 ,156116 
부산동부지사,21045 ,21045 ,17253311130 ,333436 
부산북부지사,18261 ,18261 ,19738517990 ,319740 
창원지사,39897 ,39897 ,43682901850 ,590867 
울산지사,34208 ,34208 ,24446456030 ,596173 
양산지사,11462 ,11462 ,11011692580 ,190956 
진주지사,12629 ,12629 ,7716629580 ,194257 
통영지사,11546 ,11546 ,6583193560 ,236810 
김해지사,10620 ,10620 ,8090313260 ,206076 
대구지역본부,22149 ,22149 ,20470290610 ,298724 
경산지사,3774 ,3774 ,2343092820 ,61895 
대구서부지사,23354 ,23354 ,16222580470 ,340791 
대구북부지사,19170 ,19170 ,28984230800 ,274436 
포항지사,12637 ,12637 ,7358424980 ,147218 
구미지사,5587 ,5587 ,4012404110 ,91259 
영주지사,7457 ,7457 ,11714463870 ,125785 
안동지사,4204 ,4204 ,4512586610 ,72933 
경인지역본부,24440 ,24440 ,20975153910 ,351889 
인천북부지사,48384 ,48384 ,62463363630 ,702312 
수원지사,18500 ,18500 ,15523059930 ,226652 
부천지사,20234 ,20234 ,14163407680 ,267579 
안양지사,13977 ,13977 ,8604037510 ,198050 
안산지사,46792 ,46792 ,56874223210 ,674362 
성남지사,15794 ,15794 ,11218472670 ,222172 
평택지사,13003 ,13003 ,10054751340 ,220173 
고양지사,10728 ,10728 ,8276220230 ,149785 
화성지사,10574 ,10574 ,9950247900 ,167052 
용인지사,9165 ,9165 ,7600081670 ,143448 
파주지사,1307 ,1307 ,898498280 ,22210 
광주지역본부,29149 ,29149 ,35249417520 ,446837 
광산지사,10085 ,10085 ,11504052460 ,156683 
전주지사,17093 ,17093 ,15029042260 ,248825 
익산지사,7449 ,7449 ,6368328210 ,91558 
군산지사,5011 ,5011 ,3561151480 ,85029 
목포지사,8803 ,8803 ,8176789930 ,164518 
여수지사,4133 ,4133 ,3915975130 ,76686 
순천지사,12782 ,12782 ,28247785630 ,158548 
제주지사,5217 ,5217 ,2979417050 ,76409 
대전지역본부,42374 ,42374 ,51920347870 ,592569 
대전서부지사,9498 ,9498 ,6525804040 ,171702 
청주지사,18876 ,18876 ,21180461570 ,303984 
충주지사,7562 ,7562 ,5341580430 ,136498 
대전동부지사,2733 ,2733 ,2723098360 ,51428 
천안지사,19586 ,19586 ,13619105640 ,240910 
보령지사,4231 ,4231 ,3093671660 ,64858 
서산지사,3849 ,3849 ,1993087920 ,67696 
강원지역본부,11256 ,11256 ,10531687050 ,145218 
춘천지사,5756 ,5756 ,2257929090 ,70616 
강릉지사,28840 ,28840 ,28244333000 ,311213 
태백지사,17246 ,17246 ,18726585490 ,300344 
영월지사,4488 ,4488 ,11491380490 ,77956 
