발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X,발생위치Y,경도,위도
2023,2023-01-01 07:00,주,일,1,0,0,0,0,충북,음성군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,1015896,1885475,127.6785789,36.96757277
2023,2023-01-01 07:00,주,일,1,0,0,0,0,경남,거제시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,1089954,1651437,128.4840133,34.85362252
2023,2023-01-01 10:00,주,일,1,0,0,0,0,경북,포항시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1181459,1784728,129.5143095,36.04253106
2023,2023-01-01 14:00,주,일,1,0,0,0,0,경기,화성시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,943961,1915763,126.8681991,37.23904589
2023,2023-01-01 18:00,야,일,1,0,0,0,0,경기,남양주시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,974470,1970403,127.2102648,37.73288307
2023,2023-01-02 08:00,주,월,1,0,0,0,0,경기,동두천시,차대차,기타,기타,신호위반,교차로,교차로횡단보도내,승용차,자전거,960719,1987743,127.0532702,37.8886802
2023,2023-01-02 09:00,주,월,1,0,0,0,0,경남,양산시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로부근,건설기계,보행자,1140667,1710479,129.0486608,35.38007402
2023,2023-01-02 09:00,주,월,1,0,0,0,0,경기,고양시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,보행자,936621,1967010,126.7810408,37.70046501
2023,2023-01-02 14:00,주,월,1,1,0,0,1,경남,거제시,차대차,기타,기타,신호위반,교차로,교차로부근,승용차,이륜차,1104403,1656417,128.6426672,34.89713994
2023,2023-01-02 18:00,야,월,1,0,0,0,0,세종,세종시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,987868,1840585,127.3644208,36.56295622
2023,2023-01-03 04:00,야,화,1,1,1,0,0,경기,안양시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,교량위,승용차,승용차,947186,1934083,126.9032526,37.40436069
2023,2023-01-03 09:00,주,화,1,1,1,0,0,충남,공주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,967331,1830180,127.1353561,36.46867346
