민방위급수시설구분,민방위급수시설,소재지도로명주소,소재지지번주소,급수능력,급수인원수,관리기관명,데이터기준일자
생활용수,망미초등학교(구),부산광역시 수영구 수미로35번길 27,망미동 268-2,57,2280,수영구청,2024-10-10
음용수,망미초등학교(신),부산광역시 수영구 수미로35번길 27,망미동 268-2,158,6320,수영구청,2024-10-10
생활용수,수영사적공원,부산광역시 수영구 연수로379번길 42,수영동 372,110,4400,수영구청,2024-10-10
음용수,수영구 스포츠문화타운,부산광역시 수영로 521번길 77,광안동 1333,108,4320,수영구청,2024-10-10
음용수,덕문여자고등학교,부산광역시 수영구 연수로310번길 114,광안동 산8-8,90,3600,수영구청,2024-10-10
음용수,삼성아파트,부산광역시 수영구 망미로30번길 23,망미동 777,70,2800,수영구청,2024-10-10
음용수,고려제강,부산광역시 수영구 구락로141번길 37,망미동 495,93,3720,수영구청,2024-10-10
음용수,현대한누리타운,부산광역시 수영구 금련로43번길 26,망미동 979-72,55,2200,수영구청,2024-10-10
음용수,수영한서병원,부산광역시 수영구 수영로 615,광안동 491-10,150,6000,수영구청,2024-10-10
음용수,광원아파트,부산광역시 수영구 광일로 59,광안동 526-1,94,3760,수영구청,2024-10-10
음용수,성분도수녀원,부산광역시 수영구 수영로497번길 20,광안동 1278,90,3600,수영구청,2024-10-10
음용수,삼성유치원,부산광역시 수영구 망미로30번길 23,망미동 777,80,3200,수영구청,2024-10-10
음용수,옥련선원,부산광역시 수영구 광남로257번길 58,민락동 1-29,70,2800,수영구청,2024-10-10
음용수,협성맨션,부산광역시 수영구 수영로 549,광안동 775-4,80,3200,수영구청,2024-10-10
음용수,옥미아구찜,부산광역시 수영구 망미번영로55번길 35,망미동 419-3,35,1400,수영구청,2024-10-10
음용수,장원갈비,부산광역시 수영구 수미로14번길 50,수영동 467-11,50,2000,수영구청,2024-10-10
생활용수,부일전원빌라,부산광역시 수영구 황령산로 35,남천동 45-37,100,4000,수영구청,2024-10-10
생활용수,흰돌실버타운,부산광역시 수영구 연수로260번길 53,망미동 774-283,30,1200,수영구청,2024-10-10
생활용수,청암탕,부산광역시 수영구 광남로48번길 8,남천동 7-2,60,2400,수영구청,2024-10-10
생활용수,청아탕,부산광역시 수영구 연수로415번길 30-5,수영동 313,95,3800,수영구청,2024-10-10
생활용수,수목탕,부산광역시 수영구 연수로260번길 24,망미동 815-1,85,3400,수영구청,2024-10-10
생활용수,신성헬스탕,부산광역시 수영구 광일로20번길 83,광안동 505-5,80,3200,수영구청,2024-10-10
생활용수,그린탕,부산광역시 수영구 광일로 49,광안동 529,69,2760,수영구청,2024-10-10
생활용수,동산원,부산광역시 수영구 광일로29번길 42,광안동 536-44,100,4000,수영구청,2024-10-10
생활용수,해수탕,부산광역시 수영구 망미번영로55번길 115,망미동 412-22,100,4000,수영구청,2024-10-10
생활용수,미주탕,부산광역시 수영구 남천바다로15번길 37,광안동 181-3,34,1360,수영구청,2024-10-10
생활용수,망미탕,부산광역시 수영구 수미로41번길 17,망미동 259-14,100,4000,수영구청,2024-10-10
생활용수,한신아파트,부산광역시 수영구 망미배산로70번길 45,망미동 880-84,80,3200,수영구청,2024-10-10
생활용수,금은사우나,부산광역시 수영구 광일로14번길 6,광안동 498-3,75,3000,수영구청,2024-10-10
생활용수,하나님의교회,부산광역시 수영구 수영로 562,광안동 508-1,80,3200,수영구청,2024-10-10
생활용수,산수탕,부산광역시 수영구 광남로213번길 17,민락동 158-9,60,2400,수영구청,2024-10-10
생활용수,성화탕,부산광역시 수영구 연수로392번길 25,광안동 1062-34,80,3200,수영구청,2024-10-10
생활용수,청송세차장,부산광역시 수영구 망미번영로38번길 79,광안동 1060-11,60,2400,수영구청,2024-10-10
생활용수,청옥탕,부산광역시 수영구 광서로16번길 51,광안동 1074-6,95,3800,수영구청,2024-10-10
생활용수,남천성당,부산광역시 수영로 427번길 15,남천동 69-1,80,3200,수영구청,2024-10-10
생활용수,동아중학교,부산광역시 수영구 호암로 55,광안동 1222-23,40,1600,수영구청,2024-10-10
생활용수,부산배화학교,부산광역시 수영구 연수로310번길73,망미동 787,70,2800,수영구청,2024-10-10
생활용수,옥천탕,부산광역시 수영구 민락본동로27번길 22,민락동 15-11,90,3600,수영구청,2024-10-10
생활용수,보우빌딩,부산광역시 수영구 남천동로 15,남천동 14-22,35,1400,수영구청,2024-10-10
생활용수,양지탕,부산광역시 수영구 수영로652번길 23-1,광안동 96-36,30,1200,수영구청,2024-10-10
생활용수,장수탕,부산광역시 수영구 수영로618번길 38,광안동 120-257,40,1600,수영구청,2024-10-10
생활용수,리치웰사우나,부산광역시 수영구 남천바다로21번길 85,광안동 177-7,51,2040,수영구청,2024-10-10
생활용수,진미언양불고기,부산광역시 수영구 남천바다로33번길 7,광안동 203-21,30,1200,수영구청,2024-10-10
생활용수,언양불고기부산집본가,부산광역시 수영구 남천바다로33번길 8,광안동 204-6,30,1200,수영구청,2024-10-10
