구간 번호,관리청,도로 분류,대표지역,도로(노선)명,총길이(km),기점 위도(WGS84(4326)),기점 경도(WGS84(4326)),종점 위도(WGS84(4326)),종점 경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
47720-2,대구광역시(군위군),군도,경상북도 군위군,군도10호선,2,36.100675,128.668214,36.115454,128.687826,-0.019612,-0.014779,217.0005552
47720-5,대구광역시(군위군),군도,경상북도 군위군,군도13호선,0.6,36.188063,128.832446,36.190977,128.827488,0.004958,-0.002914,329.5556709
26380-3,부산광역시(사하구),지방도,부산광역시 사하구,두송로,1.4,35.08053202,128.9777997,35.07237831,128.9837379,-0.005938154,0.008153711,126.0649609
48000-33,경상남도(도로관리사업소 진주지소),지방도,경상남도 사천시,지방도1002호선,0.8,35.06980261,128.0001344,35.07051014,128.0007686,-0.000634166,-0.000707532,228.1299123
48000-39,경상남도(도로관리사업소 진주지소),지방도,경상남도 사천시,국지도58호선,0.5,35.04948833,127.9610816,35.04911299,127.9627582,-0.001676602,0.00037534,167.3812655
46720-2,전라남도(곡성군),군도,전라남도 곡성군,군도4호선,0.2,35.12719726,127.2975093,35.12793063,127.2960514,0.001457871,-0.000733367,333.295778
46720-1,전라남도(곡성군),지방도,전라남도 곡성군,지방도 861호선,2.9,35.29506249,127.3726527,35.29921967,127.3817158,-0.009063121,-0.004157178,204.6405308
41500-2,경기도(이천시),국지도,경기도 이천시,국지도70,0.5,37.26775092,127.4587039,37.26610676,127.461339,-0.002635111,0.001644157,148.0382178
26260-16,부산광역시(동래구),지방도,부산광역시 동래구,명서로,0.68,35.2066308,129.102228,35.21190941,129.1003593,0.001868638,-0.005278612,289.4940505
48000-40,경상남도(도로관리사업소 진주지소),지방도,경상남도 사천시,국지도58호선,0.2,35.06450746,127.9572261,35.06304868,127.9572105,1.56E-05,0.001458784,89.38808317
50000-8,제주특별자치도(본청),지방도,제주특별자치도 제주시,1100도로(지방도1139호),1,33.435266,126.489633,33.426807,126.490407,-0.000774,0.008459,95.22801627
50000-11,제주특별자치도(본청),지방도,제주특별자치도 제주시,1100도로(지방도1139호),0.3,33.379099,126.469502,33.376331,126.468978,0.000524,0.002768,79.2803958
26260-4,부산광역시(동래구),지방도,부산광역시 동래구,복천로,0.97,35.20730696,129.095083,35.20562301,129.0861576,0.0089254,0.001683952,10.68437916
26260-1,부산광역시(동래구),지방도,부산광역시 동래구,충렬대로321번길,0.01,35.20075779,129.0950421,35.20102973,129.0943516,0.000690487,-0.000271939,338.5036626
43760-1,충청북도(괴산군),도시계획도로,충청북도 괴산군,도시계획도로,0.15,36.81397628,127.7904336,36.81397628,127.7904336,0,0,NaN
26260-1,부산광역시(동래구),지방도,부산광역시 동래구,명장로,0.47,35.20474573,129.1113505,35.20460115,129.1079876,0.003362877,0.000144588,2.46194231
26260-15,부산광역시(동래구),지방도,부산광역시 동래구,인생문길,0.5,35.20606294,129.1002791,35.20711657,129.096247,0.004032108,-0.00105363,345.3554978
26710-13,부산광역시(기장군),지방도,부산광역시 기장군,정관산업로,0.4,35.31366616,129.174511,35.31682756,129.176405,-0.001893991,-0.003161408,239.0742809
41570-1,경기도(김포시),지방도,경기도 김포시,봉수대로,0.5,37.632724,126.6288,37.623368,126.632951,-0.004151,0.009356,113.9255452
41500-5,경기도(이천시),일반국도,경기도 이천시,국도38호선,1,37.1143249,127.6257512,37.11741369,127.6206928,0.005058332,-0.003088785,328.590375
26710-6,부산광역시(기장군),지방도,부산광역시 기장군,국지도 60호선(산단로),0.9,35.34518009,129.1587837,35.35229305,129.1548503,0.003933412,-0.007112964,298.9422397
29200-7,광주광역시(광산구),지방도,광주광역시 광산구,성내고가,0.45,35.218593,126.746318,35.218611,126.746415,-9.70E-05,-1.80E-05,190.5126272
26380-2,부산광역시(사하구),지방도,부산광역시 사하구,장평로,1.5,35.089877,128.973002,35.09657247,128.9862192,-0.013217203,-0.006695472,206.8655189
11500-7,서울특별시(강서구),구도,서울특별시 강서구,등촌로51길,0.62,37.55093526,126.8572981,37.54883225,126.8632665,-0.00596848,0.002103019,160.5898803
26710-10,부산광역시(기장군),지방도,부산광역시 기장군,병산로(군도10호선),1.3,35.34053588,129.1782152,35.34734269,129.1893722,-0.011156933,-0.006806809,211.3872314
26260-1,부산광역시(동래구),지방도,부산광역시 동래구,명안로17번길 41,0.01,35.19744476,129.1022738,35.19816388,129.1022606,1.31E-05,-0.00071912,271.0461112
41250-1,경기도(동두천시),지방도,경기도 동두천시,지방도364호선,90.78,37.89039647,127.1328366,37.88053861,127.1383988,-0.005562154,0.009857852,119.433254
27230-9,대구광역시(북구),지방도,대구광역시 북구,호국로2,1.7,35.93892115,128.5917991,35.9461544,128.5767902,0.015008915,-0.007233243,334.2691999
29000-9,광주광역시(본청),광역시도,광주광역시 광산구,하남진곡산단로,145,35.22957265,126.8263103,35.22947621,126.8247676,0.001542673,9.64E-05,3.577039455
26200-4,부산광역시(영도구),지방도,부산광역시 영도구,청학로,0.48,35.09637679,129.0612265,35.09289898,129.0596951,0.001531406,0.003477808,66.23435423
26530-1,부산광역시(사상구),지방도,부산광역시 사상구,운수사 진입로,0.8,35.18590261,129.0036991,35.1842748,129.0123799,-0.008680803,0.001627813,169.3793115
36000-5,세종특별자치시(본청),시도,세종특별자치시 세종특별자치시,솔티로(시도27호),1.64,36.62717875,127.218004,36.61369001,127.2188749,-0.000870897,0.013488734,93.69416024
27230-10,대구광역시(북구),지방도,대구광역시 북구,사수로1,1.9,35.89798005,128.5248703,35.89538807,128.5065275,0.018342812,0.002591984,8.043091662
27710-10,대구광역시(달성군),지방도,대구광역시 달성군,군도8,1,35.75176925,128.5579871,35.74254494,128.5562059,0.001781218,0.009224312,79.07068196
27710-3,대구광역시(달성군),지방도,대구광역시 달성군,군도8,1,35.79878178,128.6237671,35.79843599,128.6116252,0.012141824,0.000345793,1.63131533
41390-6,경기도(시흥시),시도,경기도 시흥시,시도1호선,1.1,37.450707,126.791928,37.459298,126.802472,-0.010544,-0.008591,219.1723275
27000-16,대구광역시(본청),지방도,대구광역시 수성구,신천좌안도로,2.9,35.81317796,128.6138186,35.83791164,128.6051983,0.008620253,-0.024733681,289.2146138
43760-1,충청북도(괴산군),도시계획도로,충청북도 괴산군,도시계획도로,1.4,36.81228986,127.7868601,36.81228986,127.7868601,0,0,NaN
11590-7,서울특별시(동작구),구도,서울특별시 동작구,매봉로,0.3,37.51046465,126.9509294,37.50800031,126.9516207,-0.000691267,0.002464337,105.6692556
11590-2,서울특별시(동작구),구도,서울특별시 동작구,노량진로17길,0.5,37.5136678,126.9469038,37.51533781,126.9442637,0.00264014,-0.001670014,327.6847024
41250-1,경기도(동두천시),시도,경기도 동두천시,탑신로,3,37.90584826,127.0771536,37.87661292,127.1400681,-0.062914566,0.029235336,155.0765027
28260-22,인천광역시(서구),구도,인천광역시 서구,율도로,0.05,37.51026436,126.6636515,37.51366634,126.6638041,-0.000152579,-0.003401976,267.4320051
41000-1,경기도(본청),지방도,경기도 의왕시,지방도309호선,0.25,37.38637696,127.0011598,37.38855674,127.0019432,-0.000783382,-0.002179775,250.2322505
28260-23,인천광역시(서구),광역시도,인천광역시 서구,서곶로(시천교),0.89,37.56747864,126.6765298,37.57276916,126.6764991,3.07E-05,-0.005290518,270.3326222
41360-9,경기도(남양주시),지방도,경기도 남양주시,지방도387호선,0.3,37.75002451,127.272652,37.74852159,127.2720107,0.000641313,0.001502915,66.89144414
-,경기도(의정부시),지방도,경기도 의정부시,동부간선도로,0.8,37.70606105,127.0548992,37.70231957,127.0515168,0.003382359,0.003741482,47.88592045
46790-10,전라남도(화순군),지방도,전라남도 화순군,818,1.3,34.92395424,126.8911807,34.91861894,126.8798086,0.011372071,0.005335301,25.13400811
26710-2,부산광역시(기장군),위임국도,부산광역시 기장군,만화고개(국도14호선),1.5,35.2540072,129.1981729,35.24818308,129.1845134,0.013659424,0.005824125,23.09250054
