소매인구분,업소명,업소지번주소,업소도로명주소,업소전화번호,지정일자,영업구분,데이터기준일자
일반소매인,지에스25(GS25)제천두학점,충청북도 제천시 흑석동 480-8,충청북도 제천시 의병대로 412 (흑석동),,2023-08-25,정상영업,2024-09-12
일반소매인,한두실 휴계소,충청북도 제천시 금성면 중전리 183,충청북도 제천시 금성면 신담2길 6,,2023-08-24,정상영업,2024-09-12
일반소매인,지에스25 제천복합타운점,충청북도 제천시 신월동 1469 제천 행복주택,충청북도 제천시 복합타운길 135. 1층 2호 (신월동. 제천 행복주택),,2023-08-14,정상영업,2024-09-12
일반소매인,지에스25(GS25) 세명사거리점,충청북도 제천시 모산동 56-2,충청북도 제천시 의림대로 615. 1층 (모산동),,2023-08-03,정상영업,2024-09-12
일반소매인,느티나무상회,충청북도 제천시 백운면 원월리 17-12,충청북도 제천시 백운면 애련로 204,,2023-08-02,정상영업,2024-09-12
일반소매인,제천 참!좋은 글램핑,충청북도 제천시 봉양읍 옥전리 396-2,충청북도 제천시 봉양읍 옥전길 303,,2023-07-25,정상영업,2024-09-12
일반소매인,지에스25 제천세경점,충청북도 제천시 동현동 63-1 세경아파트,충청북도 제천시 의병대로30길 8 (동현동),,2023-06-26,정상영업,2024-09-12
일반소매인,세븐일레븐 제천세명대점,충청북도 제천시 모산동 105-20,충청북도 제천시 세명로 59. 1층 (모산동),,2023-06-15,정상영업,2024-09-12
일반소매인,공원24마트,충청북도 제천시 왕암동 916,충청북도 제천시 바이오밸리3로 77-16. 1층 1호 (왕암동),043-642-8261,2023-06-15,정상영업,2024-09-12
일반소매인,태기식품,충청북도 제천시 동현동 222-5,충청북도 제천시 원화산로 122 (동현동),,2023-06-08,정상영업,2024-09-12
일반소매인,THE 달달,충청북도 제천시 고암동 1138-8 다온빌딩,충청북도 제천시 용두천로44길 12. 1층 102호 (고암동),,2023-05-25,정상영업,2024-09-12
일반소매인,씨유 제천나은점,충청북도 제천시 장락동 637-9 미림청솔아파트,충청북도 제천시 청전대로 209-2. 미림청솔아파트 상가동 102호. 103호 (장락동),,2023-05-19,정상영업,2024-09-12
일반소매인,이마트24 self신제천휴게소점,충청북도 제천시 송학면 무도리 266,충청북도 제천시 송학면 북부로 3276. 휴게소건물1층 편의점,,2023-05-16,정상영업,2024-09-12
구내소매인,이마트24 제천터미널점,충청북도 제천시 의림동 25-24 (주)동부고속,충청북도 제천시 칠성로10길 12 (주)동부고속 (의림동),033-748-3187,2023-04-27,정상영업,2024-09-12
일반소매인,세븐일레븐 제천광천점,충청북도 제천시 봉양읍 장평리 798-7,충청북도 제천시 봉양읍 북부로 1445,,2023-03-29,정상영업,2024-09-12
일반소매인,씨유 제천청전점,충청북도 제천시 청전동 784,충청북도 제천시 내제로27길 2. 1층 (청전동),,2023-03-23,정상영업,2024-09-12
일반소매인,제천중앙LPG충전소,충청북도 제천시 장락동 702-19,충청북도 제천시 내토로 728 (장락동),,2023-03-17,정상영업,2024-09-12
일반소매인,청풍편의점,충청북도 제천시 청풍면 물태리 293-3,충청북도 제천시 청풍면 청풍호로52길 6. 나동 1층,,2023-03-08,정상영업,2024-09-12
일반소매인,58 복권,충청북도 제천시 명동 5-1,충청북도 제천시 의병대로13길 14 (명동),,2023-03-08,정상영업,2024-09-12
일반소매인,모아부동산 공인중개사사무소,충청북도 제천시 중앙로2가 39-8,충청북도 제천시 의림대로 120 (중앙로2가),,2023-02-16,정상영업,2024-09-12
일반소매인,상천휴게소식당,충청북도 제천시 수산면 상천리 722-1,충청북도 제천시 수산면 상천길 85. 1층,,2023-02-09,정상영업,2024-09-12
