순번,약국명칭,약국소재지(도로명),약국전화번호
1,참조은약국,"부산광역시 수영구 광서로10번길 65, 101호 (광안동, 로타리아파트)",051-755-5676
2,센텀백세약국,"부산광역시 수영구 수영로 691, 1,2층 (광안동)",
3,수영하나약국,"부산광역시 수영구 광서로10번길 54, 1층 (광안동)",051-754-8886
4,센텀큰약국,"부산광역시 수영구 수영로679번길 15, 1층 (광안동)",051-984-5005
5,수영로타리약국,"부산광역시 수영구 광서로10번길 65, 106,107호 (광안동, 로타리아파트)",051-622-2900
6,중앙약국,"부산광역시 수영구 광서로10번길 65, 103호 (광안동, 로타리아파트)",051-757-9757
7,정약국,"부산광역시 수영구 광안해변로 291, 1층 (민락동)",051-751-1628
8,2층엔약국,"부산광역시 수영구 수영로 389, 상가동 213호 (남천동, 더샵 남천프레스티지)",
9,조이약국,"부산광역시 수영구 수영로 586, 1층 (광안동)",051-710-7005
10,은혜약국,"부산광역시 수영구 수영로 423, 1층 (남천동)",051-612-8849
11,광안온누리약국,"부산광역시 수영구 수영로 476, 1층 (남천동)",051-992-5578
12,수영우리약국,"부산광역시 수영구 연수로 419, 1층 (수영동)",051-753-2851
13,편한약국,"부산광역시 수영구 광안해변로295번길 3, 1층 101호 (민락동, 드림팰리스)",051-711-9090
14,온힘약국,"부산광역시 수영구 과정로 54, 1층 (망미동)",051-753-6210
15,명성약국,"부산광역시 수영구 과정로 63, 1층 (망미동)",051-758-6945
16,하늘약국,"부산광역시 수영구 황령대로 483, 한나빌딩 2층 (남천동)",051-626-7200
17,휴베이스 광안바다약국,"부산광역시 수영구 수영로 551, 1층 (광안동)",051-753-7522
18,현대약국,"부산광역시 수영구 수영로741번길 29, 르네상스빌딩 1층 (수영동)",051-753-2533
19,청춘약국,"부산광역시 수영구 광안로 20, 109동 109호 (광안동, 부산 광안동 쌍용 예가 디 오션)",051-757-8520
20,남천온누리약국,"부산광역시 수영구 수영로388번길 6, 1층 (남천동)",051-621-8383
21,새자하연약국,부산광역시 수영구 망미로22번길 54(망미동),051-917-4516
22,미래약국,"부산광역시 수영구 수영로 386-1, 원탄크리닉 1층 (남천동)",051-628-9991~2
23,포도나무약국,"부산광역시 수영구 남천동로 36, 케이엠타워 104호 (남천동)",051-622-1772
24,온누리조약국,"부산광역시 수영구 수영로 605-1, 1층 (광안동)",051-753-2077
25,오늘약국,"부산광역시 수영구 수영로 654, 101호 (광안동)",051-947-5067
26,광안리약국,"부산광역시 수영구 수영로 517, 센터럴타워 1층 (광안동)",051-759-7582
27,광안센터약국,"부산광역시 수영구 수영로 486, 1층 (남천동)",051-622-0407
28,우리약국,"부산광역시 수영구 민락로6번길 31, 1층 (민락동)",051-753-3825
29,다정한약국,"부산광역시 수영구 황령대로489번길 24, 1층 (남천동)",051-624-3120
30,희망오륙도약국,"부산광역시 수영구 수영로611번길 7, 1층 (광안동)",051-752-5225
31,큐비약국,"부산광역시 수영구 수영로 675, 101호 (광안동)",051-752-4200
32,자연약국,"부산광역시 수영구 과정로 60, 1층 (망미동)",051-752-1027
