발생연도,성별,국제질병분류,암종,발생자수,조발생률,연령표준화발생률
1999,남녀전체,C00-C96,모든암,101857,216.0,402.7
1999,남녀전체,C00-C14,"입술, 구강 및 인두",1739,3.7,6.6
1999,남녀전체,C15,식도,1861,3.9,8.2
1999,남녀전체,C16,위,20901,44.3,86.0
1999,남녀전체,C18-C20,대장,9780,20.7,40.8
1999,남녀전체,C22,간,13262,28.1,52.4
1999,남녀전체,C23-C24,담낭 및 기타담도,3047,6.5,14.0
1999,남녀전체,C25,췌장,2614,5.5,11.7
1999,남녀전체,C32,후두,1101,2.3,4.8
1999,남녀전체,C33-C34,폐,13230,28.1,59.8
1999,남녀전체,C50,유방,5880,12.5,17.2
1999,남녀전체,C53,자궁경부,4486,9.5,14.2
1999,남녀전체,C54,자궁체부,728,1.5,2.4
1999,남녀전체,C56,난소,1353,2.9,4.5
1999,남녀전체,C61,전립선,1454,3.1,7.4
1999,남녀전체,C62,고환,129,0.3,0.2
1999,남녀전체,C64,신장,1418,3.0,5.3
1999,남녀전체,C67,방광,2195,4.7,9.8
1999,남녀전체,C70-C72,뇌 및 중추신경계,1360,2.9,4.1
1999,남녀전체,C73,갑상선,3411,7.2,9.8
1999,남녀전체,C81,호지킨림프종,123,0.3,0.3
1999,남녀전체,"C82-C86,C96",비호지킨림프종,2105,4.5,7.2
1999,남녀전체,C90,다발성 골수종,468,1.0,1.9
1999,남녀전체,C91-C95,백혈병,2125,4.5,6.0
1999,남녀전체,Re.C00-C96,기타 암,7087,15.0,27.9
1999,남자,C00-C96,모든암,57891,244.5,573.4
1999,남자,C00-C14,"입술, 구강 및 인두",1307,5.5,11.7
1999,남자,C15,식도,1705,7.2,18.2
1999,남자,C16,위,13567,57.3,133.3
1999,남자,C18-C20,대장,5338,22.5,53.6
1999,남자,C22,간,10022,42.3,88.6
1999,남자,C23-C24,담낭 및 기타담도,1568,6.6,18.0
1999,남자,C25,췌장,1530,6.5,16.6
1999,남자,C32,후두,975,4.1,10.3
1999,남자,C33-C34,폐,9744,41.1,109.6
1999,남자,C50,유방,41,0.2,0.4
1999,남자,C53,자궁경부,0,,
1999,남자,C54,자궁체부,0,,
1999,남자,C56,난소,0,,
1999,남자,C61,전립선,1454,6.1,21.0
1999,남자,C62,고환,129,0.5,0.5
1999,남자,C64,신장,978,4.1,8.6
1999,남자,C67,방광,1744,7.4,19.6
1999,남자,C70-C72,뇌 및 중추신경계,712,3.0,4.6
1999,남자,C73,갑상선,518,2.2,3.3
1999,남자,C81,호지킨림프종,86,0.4,0.6
1999,남자,"C82-C86,C96",비호지킨림프종,1254,5.3,9.7
1999,남자,C90,다발성 골수종,256,1.1,2.4
1999,남자,C91-C95,백혈병,1188,5.0,7.3
1999,남자,Re.C00-C96,기타 암,3775,15.9,35.7
1999,여자,C00-C96,모든암,43966,187.2,294.7
1999,여자,C00-C14,"입술, 구강 및 인두",432,1.8,2.8
1999,여자,C15,식도,156,0.7,1.3
1999,여자,C16,위,7334,31.2,52.6
1999,여자,C18-C20,대장,4442,18.9,32.5
1999,여자,C22,간,3240,13.8,24.1
1999,여자,C23-C24,담낭 및 기타담도,1479,6.3,11.6
1999,여자,C25,췌장,1084,4.6,8.5
1999,여자,C32,후두,126,0.5,1.0
1999,여자,C33-C34,폐,3486,14.8,27.0
1999,여자,C50,유방,5839,24.9,33.0
1999,여자,C53,자궁경부,4486,19.1,26.6
1999,여자,C54,자궁체부,728,3.1,4.6
1999,여자,C56,난소,1353,5.8,8.2
1999,여자,C61,전립선,0,,
1999,여자,C62,고환,0,,
1999,여자,C64,신장,440,1.9,3.0
1999,여자,C67,방광,451,1.9,3.5
1999,여자,C70-C72,뇌 및 중추신경계,648,2.8,3.7
1999,여자,C73,갑상선,2893,12.3,15.8
1999,여자,C81,호지킨림프종,37,0.2,0.2
1999,여자,"C82-C86,C96",비호지킨림프종,851,3.6,5.4
1999,여자,C90,다발성 골수종,212,0.9,1.6
1999,여자,C91-C95,백혈병,937,4.0,5.0
1999,여자,Re.C00-C96,기타 암,3312,14.1,22.8
2000,남녀전체,C00-C96,모든암,103103,216.9,395.7
2000,남녀전체,C00-C14,"입술, 구강 및 인두",2209,4.6,9.2
2000,남녀전체,C15,식도,1767,3.7,7.6
2000,남녀전체,C16,위,21081,44.3,83.3
2000,남녀전체,C18-C20,대장,10497,22.1,42.2
2000,남녀전체,C22,간,13088,27.5,50.2
2000,남녀전체,C23-C24,담낭 및 기타담도,3130,6.6,14.0
2000,남녀전체,C25,췌장,2710,5.7,11.6
2000,남녀전체,C32,후두,1044,2.2,4.3
2000,남녀전체,C33-C34,폐,13419,28.2,58.9
2000,남녀전체,C50,유방,6095,12.8,17.5
2000,남녀전체,C53,자궁경부,4353,9.2,13.7
2000,남녀전체,C54,자궁체부,729,1.5,2.3
2000,남녀전체,C56,난소,1304,2.7,4.1
2000,남녀전체,C61,전립선,1370,2.9,6.7
2000,남녀전체,C62,고환,134,0.3,0.2
2000,남녀전체,C64,신장,1462,3.1,5.2
2000,남녀전체,C67,방광,2261,4.8,9.8
2000,남녀전체,C70-C72,뇌 및 중추신경계,1353,2.8,4.0
2000,남녀전체,C73,갑상선,3430,7.2,9.6
2000,남녀전체,C81,호지킨림프종,134,0.3,0.4
2000,남녀전체,"C82-C86,C96",비호지킨림프종,2038,4.3,7.0
2000,남녀전체,C90,다발성 골수종,492,1.0,1.9
2000,남녀전체,C91-C95,백혈병,2008,4.2,5.4
2000,남녀전체,Re.C00-C96,기타 암,6995,14.7,26.7
2000,남자,C00-C96,모든암,58538,245.3,559.9
2000,남자,C00-C14,"입술, 구강 및 인두",1493,6.3,14.8
2000,남자,C15,식도,1602,6.7,16.6
2000,남자,C16,위,13897,58.2,130.7
2000,남자,C18-C20,대장,5861,24.6,55.6
2000,남자,C22,간,9879,41.4,84.2
2000,남자,C23-C24,담낭 및 기타담도,1554,6.5,17.2
2000,남자,C25,췌장,1577,6.6,16.1
2000,남자,C32,후두,950,4.0,9.3
2000,남자,C33-C34,폐,9819,41.1,107.8
2000,남자,C50,유방,59,0.2,0.5
2000,남자,C53,자궁경부,0,,
2000,남자,C54,자궁체부,0,,
2000,남자,C56,난소,0,,
2000,남자,C61,전립선,1370,5.7,18.5
2000,남자,C62,고환,134,0.6,0.5
2000,남자,C64,신장,994,4.2,8.2
2000,남자,C67,방광,1805,7.6,19.7
2000,남자,C70-C72,뇌 및 중추신경계,715,3.0,4.6
2000,남자,C73,갑상선,503,2.1,3.4
2000,남자,C81,호지킨림프종,90,0.4,0.5
2000,남자,"C82-C86,C96",비호지킨림프종,1223,5.1,9.3
2000,남자,C90,다발성 골수종,275,1.2,2.5
2000,남자,C91-C95,백혈병,1107,4.6,6.7
2000,남자,Re.C00-C96,기타 암,3631,15.2,33.1
2000,여자,C00-C96,모든암,44565,188.3,290.6
2000,여자,C00-C14,"입술, 구강 및 인두",716,3.0,5.2
2000,여자,C15,식도,165,0.7,1.3
2000,여자,C16,위,7184,30.3,49.6
2000,여자,C18-C20,대장,4636,19.6,32.9
2000,여자,C22,간,3209,13.6,23.1
2000,여자,C23-C24,담낭 및 기타담도,1576,6.7,12.0
2000,여자,C25,췌장,1133,4.8,8.5
2000,여자,C32,후두,94,0.4,0.7
2000,여자,C33-C34,폐,3600,15.2,27.1
2000,여자,C50,유방,6036,25.5,33.4
2000,여자,C53,자궁경부,4353,18.4,25.4
2000,여자,C54,자궁체부,729,3.1,4.4
2000,여자,C56,난소,1304,5.5,7.6
2000,여자,C61,전립선,0,,
2000,여자,C62,고환,0,,
2000,여자,C64,신장,468,2.0,3.0
2000,여자,C67,방광,456,1.9,3.5
2000,여자,C70-C72,뇌 및 중추신경계,638,2.7,3.5
2000,여자,C73,갑상선,2927,12.4,15.6
2000,여자,C81,호지킨림프종,44,0.2,0.2
2000,여자,"C82-C86,C96",비호지킨림프종,815,3.4,5.2
2000,여자,C90,다발성 골수종,217,0.9,1.5
2000,여자,C91-C95,백혈병,901,3.8,4.5
2000,여자,Re.C00-C96,기타 암,3364,14.2,22.4
2001,남녀전체,C00-C96,모든암,112461,234.9,414.9
2001,남녀전체,C00-C14,"입술, 구강 및 인두",1865,3.9,6.7
2001,남녀전체,C15,식도,1918,4.0,7.9
2001,남녀전체,C16,위,22614,47.2,86.1
2001,남녀전체,C18-C20,대장,11777,24.6,46.1
2001,남녀전체,C22,간,13824,28.9,51.4
2001,남녀전체,C23-C24,담낭 및 기타담도,3430,7.2,14.9
2001,남녀전체,C25,췌장,2786,5.8,11.6
2001,남녀전체,C32,후두,1179,2.5,4.7
2001,남녀전체,C33-C34,폐,14193,29.6,59.9
2001,남녀전체,C50,유방,7346,15.3,20.5
2001,남녀전체,C53,자궁경부,4655,9.7,14.2
2001,남녀전체,C54,자궁체부,839,1.8,2.6
2001,남녀전체,C56,난소,1351,2.8,4.2
2001,남녀전체,C61,전립선,1871,3.9,8.7
2001,남녀전체,C62,고환,144,0.3,0.2
2001,남녀전체,C64,신장,1676,3.5,5.8
2001,남녀전체,C67,방광,2511,5.2,10.5
2001,남녀전체,C70-C72,뇌 및 중추신경계,1379,2.9,3.9
2001,남녀전체,C73,갑상선,4508,9.4,12.1
2001,남녀전체,C81,호지킨림프종,148,0.3,0.4
