진료년도,표시과목,주상병코드,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2023,일반의,A00,11,13,13,207350,155950
2023,일반의,A01,7,8,8,273350,207750
2023,일반의,A02,262,292,506,45730110,39134240
2023,일반의,A03,3,3,8,1262910,1027280
2023,일반의,A04,103329,143293,146531,3489703950,2628099800
2023,일반의,A05,5204,7225,7329,148768060,113906260
2023,일반의,A06,530,685,685,11780880,8833780
2023,일반의,A07,558,920,920,14886670,11330270
2023,일반의,A08,62392,82383,84539,2070668940,1616267680
2023,일반의,A09,822441,1140455,1149285,24893069640,18595579110
2023,일반의,A15,241,864,869,81941840,79590390
2023,일반의,A16,276,618,601,34055280,30551650
2023,일반의,A17,2,3,3,29890,25390
2023,일반의,A18,79,156,151,7949070,6397170
2023,일반의,A19,8,9,9,217280,163380
2023,일반의,A20,1,3,3,46260,41760
2023,일반의,A22,3,4,4,79150,55450
2023,일반의,A24,7,10,10,198890,153190
2023,일반의,A25,5,6,6,134990,102890
2023,일반의,A26,43,88,88,2291940,1724440
2023,일반의,A27,1,5,5,132530,92930
2023,일반의,A28,66,107,107,3036680,2158780
2023,일반의,A30,90,152,593,30707170,22295090
2023,일반의,A31,711,2600,2669,82281900,60029340
2023,일반의,A33,1,1,1,31350,27050
2023,일반의,A35,51,52,52,2206120,1568920
2023,일반의,A36,1,1,1,20390,14290
2023,일반의,A37,14,16,27,2668810,2458010
2023,일반의,A38,34,58,58,1525230,1152930
2023,일반의,A39,1,1,1,17320,12220
2023,일반의,A40,6,6,6,208630,155730
2023,일반의,A41,93,202,235,12568790,9620240
2023,일반의,A42,10,29,29,692050,498450
2023,일반의,A43,1,1,1,17320,15620
2023,일반의,A44,1,1,1,17320,15620
2023,일반의,A46,316,571,571,11044300,8327100
2023,일반의,A48,453,589,589,19045600,13548600
2023,일반의,A49,14634,22054,22462,977057320,712395750
2023,일반의,A50,4,5,5,67640,51740
2023,일반의,A51,600,970,969,96875850,68312120
2023,일반의,A52,28,43,43,1513390,1122590
2023,일반의,A53,538,783,775,35860450,25736350
2023,일반의,A54,1003,1635,1635,74251460,52212360
2023,일반의,A55,41,46,46,1692810,1191910
2023,일반의,A56,4378,7385,7383,340384650,239951950
2023,일반의,A57,17,32,32,1021180,729380
2023,일반의,A58,6,6,6,262020,183920
2023,일반의,A59,8065,13080,13079,615799950,435316850
2023,일반의,A60,24168,42555,42550,1357880250,978340250
2023,일반의,A63,27840,45606,45594,4432148030,3123023560
2023,일반의,A64,5683,9693,9693,866293180,610147280
2023,일반의,A65,6,8,8,242780,173880
2023,일반의,A66,49,55,55,1551730,1157030
2023,일반의,A67,26,27,27,507380,364880
2023,일반의,A68,2,2,2,32410,22810
2023,일반의,A69,2863,4390,4396,84859500,64391390
2023,일반의,A71,3,5,5,90920,63920
2023,일반의,A74,417,725,724,30876420,21790320
2023,일반의,A75,737,1336,1563,68712450,52374210
2023,일반의,A77,72,105,105,1884160,1479260
2023,일반의,A78,1,3,3,48770,34370
2023,일반의,A79,43,76,76,1610120,1241920
2023,일반의,A81,4,52,52,1621220,1356720
2023,일반의,A83,1,1,1,21620,15220
2023,일반의,A85,4,4,4,112460,80060
2023,일반의,A86,27,35,50,3957950,3428320
