"부서명","부서코드","의료진명","진료타입 (선택 진료 : Y, 일반 진료 : N)","월요일 오전 스케줄 (유 : Y, 무 : N)","월요일 오후 스케줄 (유 : Y, 무 : N)","화요일 오전 스케줄 (유 : Y, 무 : N)","화요일 오후 스케줄 (유 : Y, 무 : N)","수요일 오전 스케줄 (유 : Y, 무 : N)","수요일 오후 스케줄 (유 : Y, 무 : N)","목요일 오전 스케줄 (유 : Y, 무 : N)","목요일 오후 스케줄 (유 : Y, 무 : N)","금요일 오전 스케줄 (유 : Y, 무 : N)","금요일 오후 스케줄 (유 : Y, 무 : N)","기타 휴진 사유","의료진 전문분야"
"소아청소년과","MC0030","염혜영","","N","N","N","Y","Y","N","N","Y","Y","N","","소아 알레르기 호흡기"
"소아청소년과","MC0030","서현주","","N","N","Y","N","N","N","Y","N","N","N","","신생아, 미숙아, 육아상담"
"소아청소년과","MC0030","임미선","","N","Y","N","Y","N","N","Y","Y","N","Y","","소화기, 영양, 비만, 복통"
"소아청소년과","MC0030","예혜련","","N","Y","N","N","Y","Y","N","Y","N","N","","경련, 발달, 두통, 어지럼증, 수면장애, 학습장애, 근육신경질환, 유전성신경질환"
"소아청소년과","MC0030","김중곤","","Y","Y","Y","N","N","N","N","N","N","Y","","소아 면역, 류마티스 질환"
"소아청소년과","MC0030","이은정","","Y","N","Y","Y","N","Y","N","N","N","N","","선천성 심질환, 가와사끼병, 흉통, 심잡음, 부정맥, 고혈압"
"소아청소년과","MC0030","최유현","","N","N","N","N","N","N","N","N","N","N","","소아 중환자 치료, 소아 급만성 호흡기질환,소아소생술 및 소생후 치료"
"소아청소년과","MC0030","장성희","","Y","N","N","N","N","Y","Y","N","Y","N","","감염질환,예방접종,잠복결핵/결핵,영문예방접종 증명서(유학생,국제학교),해외여행자 클리닉"
"신경과","MC0031","박태환","","N","N","N","Y","Y","Y","Y","Y","N","N","","뇌졸중, 두통, 어지럼증"
"신경과","MC0031","허재혁","","N","N","Y","N","Y","Y","Y","N","Y","N","","치매, 알츠하이머 치매, 건망증, 기억장애, 혈관성 치매, 뇌졸중"
"신경과","MC0031","박상순","","Y","Y","N","N","N","Y","N","Y","Y","N","","뇌졸중, 뇌혈관질환, 두통, 어지럼증 (뇌졸중클리닉)"
"신경과","MC0031","박기홍","","Y","N","N","N","Y","N","N","Y","N","Y","","말초신경질환, 다발성경화증, 근육질환, 루게릭병, 중증근무력증"
"신경과","MC0031","이승현","","N","N","N","N","N","N","N","N","N","N","","파킨슨병 및 이상운동질환"
"신경과","MC0031","최진교","","Y","Y","N","N","N","N","Y","N","N","Y","","뇌졸중,뇌신경중재"
"신경과","MC0031","김혜윤","","Y","N","Y","Y","Y","N","N","N","N","Y","","편두통, 군발두통, 기립성 두통, 섬유근통, 두통,  수면장애"
"정신건강의학과","MC0032","장용이","","N","N","N","N","N","N","N","N","N","N","","조현병, 정신약물치료의학, 기질성인지행동장애, 산재자문의학, 중독정신의학, 인지학습장애"
"정신건강의학과","MC0032","심현보","","Y","Y","N","N","Y","Y","N","Y","N","N","","우울증, 불안증, 스트레스장애"
"정신건강의학과","MC0032","이해우","","N","N","N","N","N","N","N","N","N","N","","치매, 노인우울, 기억장애, 수면장애, 심인성통증"
"정신건강의학과","MC0032","김성년","","N","N","Y","Y","N","N","Y","Y","N","Y","","조기정신증, 조현병, 강박장애, 정신치료"
"정신건강의학과","MC0032","나은진","","N","N","N","N","N","N","N","N","N","N","","노인, 기분장애, 불안장애, 자살"
"정신건강의학과","MC0032","고민수","","Y","Y","N","N","N","N","Y","Y","N","N","","소아청소년 전문(조울병 및 우을증, ADHD, 틱장애, 강박증, 자폐포함발달장애)"
"정신건강의학과","MC0032","최진숙","","N","N","Y","Y","Y","Y","N","N","N","N","","소아청소년 정신건강, ADHD 및 학습장애, 기분장애, 학교부적응"
"외과","MC0033","윤진","","N","N","N","N","N","N","N","N","N","N","","간담췌외과(간암, 담석증, 담도암, 담낭암, 췌장암)"
"외과","MC0033","권유진","","N","Y","N","N","N","N","Y","N","N","Y","","혈관외과 (하지정맥류, 동정맥루 조성술, 말초동맥질환, 대동맥질환, 심부정맥 혈전증, 중재적 혈관 수술, 혈관 초음파) 간담췌외과(간암, 담석증, 담도암, 담낭암, 췌장암) 이식외과, 탈장, 복강경 수술"
"외과","MC0033","이솔","","N","N","N","N","N","N","N","N","N","N","","위장관 외과(위암, 위 양성종양, 위궤양 수술, 위식도역류질환, 소장질환, 기타 상부 위장관 질환), 비만 수술, 기타 복강경 수술"
"외과","MC0033","김민정","","Y","N","N","N","Y","Y","N","N","N","N","","간담췌외과 (간종양, 담도질환, 췌장종양), 위종양, 복강경 수술"
"외과","MC0033","최수정","","N","N","N","N","Y","Y","N","N","Y","N","","유방질환, 갑상선질환"
"외과","MC0033","김성후","","Y","Y","N","N","N","N","Y","N","N","N","","대장암(결장, 직장), 양성항문질환"
"외과","MC0033","권수경","","N","N","Y","Y","N","N","N","N","Y","N","","신장이식, 대동맥, 사지혈관질환, 정맥류, 하지부종, 혈전증, 혈관중재, 투석혈관수술, 항암포트, 혈관초음파"
"외과","MC0033","한상문","","N","N","N","N","N","N","Y","Y","N","N","","고도비만수술, 당뇨병수술, 상부위장관"
"외과","MC0033","정성미","","Y","Y","N","N","N","N","Y","N","N","N","","유방암,유방양성종양,유방석회, 갑상선암,갑상선양성종양"
"외과","MC0033","오승종","","N","N","N","N","N","N","N","N","N","N","","위장관 외과(위암,위 양성종양,위궤양 수술,위식도역류질환,소장질환),비만수술,기타 복강경 수술"
"외과","MC0033","박진영","","N","N","Y","Y","N","N","N","N","N","N","","간담췌외과(담석증,감종양,담도질환,췌장종양),복강경수술"
"외과","MC0033","신석현","","N","N","Y","Y","N","N","N","Y","N","N","","양성항문질환(치핵,치루,치열), 하부위장관(결장,직장)"
"정형외과","MC0035","서재성","","N","Y","N","N","Y","N","Y","N","N","N","","슬관절질환,인공슬관절술,슬관절관절경술"
"정형외과","MC0035","김기천","","N","N","N","Y","Y","N","N","N","Y","N","","족부족관절 질환, 족부 외상, 당뇨발, 스포츠족부질환"
"정형외과","MC0035","류형곤","","N","N","N","N","N","N","N","N","N","N","","고관절 질환, 인공관절, 대퇴골절"
"정형외과","MC0035","김규진","","N","Y","N","N","N","Y","N","N","Y","N","","수부 및 미세수술"
"정형외과","MC0035","배중권","","Y","N","N","N","N","Y","N","N","N","Y","","슬관절질환 및 외상, 관절경, 인공관절, 근위경골절골술"
"정형외과","MC0035","이상현","","N","N","N","N","N","N","N","N","N","N","","어깨 및 팔꿈치 관절의 질환과 외상, 회전근 개 파열, 오십견, 재발성 어깨 탈구"
"정형외과","MC0035","신성기","","Y","N","Y","N","N","N","N","Y","N","N","","척추질환 및 외상, 척추변형, 미세척추수술"
"정형외과","MC0035","류승민","","N","N","Y","N","N","N","Y","N","N","N","","어깨 및 팔꿈치 관절의 질환과 이상"
"신경외과","MC0036","공민호","","N","N","Y","Y","N","N","Y","N","Y","N","","척추질환, 뇌졸중, 뇌종양"
"신경외과","MC0036","김정희","","Y","Y","N","N","N","N","Y","N","N","N","","척추, 정위기능수술, 말초신경"
"신경외과","MC0036","장세연","","N","N","Y","N","Y","Y","N","N","N","N","","뇌혈관질환, 뇌종양, 뇌졸중, 뇌외상, 척추"
