연도,사업장 규모,신청,승인,승인율(퍼센트)
2018,5인 미만,30838,29005,94.1
2018,5~30인 미만,37478,35168,93.8
2018,30~50인 미만,8625,7980,92.5
2018,50~100인 미만,8734,8042,92.1
2018,100~300인 미만,9755,8750,89.7
2018,300~500인 미만,3464,2963,85.5
2018,500~1000인 미만,4330,3448,79.6
2018,1000인 이상,10561,9398,89
2018,분류 안됨,902,147,16.3
2019,5인 미만,33717,31279,92.8
2019,5~30인 미만,39531,36861,93.2
2019,30~50인 미만,9068,8307,91.6
2019,50~100인 미만,9032,8147,90.2
2019,100~300인 미만,9987,8854,88.7
2019,300~500인 미만,4144,3442,83.1
2019,500~1000인 미만,5605,4617,82.4
2019,1000인 이상,13784,12188,88.4
2019,분류 안됨,120,32,26.7
2020,5인 미만,33885,31336,92.5
2020,5~30인 미만,37384,34755,93
2020,30~50인 미만,8845,8095,91.5
2020,50~100인 미만,9041,8119,89.8
2020,100~300인 미만,9723,8540,87.8
2020,300~500인 미만,4329,3692,85.3
2020,500~1000인 미만,5884,4997,84.9
2020,1000인 이상,14830,13136,88.6
2020,분류 안됨,0,0,0
2021,5인 미만,36204,33480,92.5
2021,5~30인 미만,40392,37346,92.5
2021,30~50인 미만,10321,9404,91.1
2021,50~100인 미만,10758,9763,90.8
2021,100~300인 미만,12252,10714,87.4
2021,300~500인 미만,4833,4132,85.5
2021,500~1000인 미만,6451,5356,83
2021,1000인 이상,20516,18271,89.1
2021,분류 안됨,0,0,0
2022,5인 미만,36795,33921,92.2
2022,5~30인 미만,40351,37069,91.9
2022,30~50인 미만,11016,10029,91
2022,50~100인 미만,11246,10058,89.4
2022,100~300인 미만,13413,11734,87.5
2022,300~500인 미만,5454,4589,84.1
2022,500~1000인 미만,7978,6601,82.7
2022,1000인 이상,24609,21982,89.3
2023,5인 미만,38067,34622,91
2023,5~30인 미만,43976,39762,90.4
2023,30~50인 미만,11985,10721,89.5
2023,50~100인 미만,12308,10708,87
2023,100~300인 미만,14751,12677,85.9
2023,300~500인 미만,6188,5163,83.4
2023,500~1000인 미만,7022,5934,84.5
2023,1000인 이상,28650,25378,88.6
