인증번호,사업체명,관할지사,대표자,사업자등록번호,소재지,인증일자,전화번호,업종 및 주요생산품,비고
제2013-001호,㈜포스코휴먼스,경북지사,김규홍,506-81-69850,경상북도 포항시 남구 동해안로 6213번길 15-1,2013-06-19,054-220-7733,"서비스업(사무지원), 세탁업, 차량관리사업",자회사
제2013-003호,㈜오피스메카,서울지역본부,김서진,106-81-80897,"서울특별시 용산구 청파로 77, 6동 1층 23호(원효로3가, 원효전자상가)",2013-06-19,1588-7993,"제조업(사무용품, 홍보판촉용품, 인쇄 디자인 등)",일반
제2013-004호,㈜뉴덕흥기업,서울지역본부,백성현,110-81-68835,서울특별시 은평구 응암로 319(응암동),2013-06-19,031-964-0896,세탁업(병원 세탁물),일반
제2013-005호,㈜그린주의,서울북부지사,김현미,204-81-97877,"서울특별시 중랑구 신내역로3길 40-36, A동 1층 R106호(신내동, 신내데시앙플랙스지식산업센터)",2013-06-19,1544-0725,"제조업(문구류, 카트리지, 인쇄, 판촉기념품)",일반
제2013-008호,㈜베어베터,서울북부지사,"이진희, 김정호",101-86-71777,서울특별시 성동구 성수일로4길 25(성수동2가),2013-06-19,02-6267-6919,"제조업, 출판, 도매 및 소매업(인쇄업, 빵, 과자 제조 및 판매,  커피가공업, 출판, 화환, 꽃, 화분)",일반
제2013-010호,(사)한국장애인문인복지후원회,서울지역본부,김호종,104-82-09202,"서울특별시 중구 서애로5길 15(필동3가, 호산나빌딩)",2013-06-19,02-2271-2526,"인쇄업, 출판, 현수막, 재생토너",일반
제2013-011호,㈜유베이스유니티,서울지역본부,송기홍,106-86-59666,서울특별시 용산구 한강대로38길 37(용산동5가),2013-06-19,032-622-2006,서비스업(콜센터),자회사
제2013-012호,㈜엔비전스,서울지역본부,송영희,120-87-37063,서울특별시 종로구 북촌로 71 (가회동),2013-06-19,02-313-9977,서비스업(전시장 운영),자회사
제2013-013호,㈜더사랑,서울북부지사,조영화,217-81-37308,"서울특별시 중랑구 신내역로3길 40-36, B동 OB103호",2013-06-19,02-973-1051,제조업(문구류),자회사
제2013-014호,㈜평화아름,서울동부지사,김영국,214-88-52653,서울특별시 서초구 반포대로 22 서초평화빌딩 14층,2013-06-19,02-2258-8431,서비스업(콜센터),자회사
제2013-015호,(사)해든,서울남부지사,선효진,108-82-04475,"서울특별시 금천구 가산디지털1로 119, 비동 212호(가산동,SK트윈테크타워)",2013-06-19,02-868-6854,"제조업(인쇄, 가구 등)",일반
제2013-016호,㈜제일과동행,서울남부지사,김상헌,119-86-46298,"서울특별시 금천구 벚꽃로 254, 1207호 (가산동, 월드메르디앙벤쳐센터)",2013-06-19,02-3453-1970,"임가공업(자동차 부품 , 유아 용품 등 단순포장 납품)",자회사
제2013-018호,㈜아름다운사람,서울남부지사,김창환,205-81-39531,"서울특별시 금천구 범안로 15길 73, 3층",2013-06-19,070-4070-3903,제조업(신사복 정장 등),일반
제2013-019호,㈜조은프로소싱,서울남부지사,이명근,107-87-39485,"서울특별시 영등포구 선유로 70, 3층 301호(문래동3가, 우리벤처타운2)",2013-06-19,02-2122-7505,"서비스업(사무지원, 세탁업)",자회사
제2013-020호,㈜케이디텍,서울남부지사,김남기,214-88-60866,서울특별시 영등포구 영등포로5길 19 동아프라임밸리 901~903,2013-06-19,02-6096-6388,"서비스업(콜센터, 청소용역, 경비, 시설관리)",자회사
