년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2022,알파색채(주),산업단지 및 공장지역,대지(2지역),2지역,374,1-2M,3.02,123.4,6.29,0.13,124.9,0,414.6,155.6,271,0,0,0,0.06,,,,,,0,0,,0,7.9
2022,알파색채(주),산업단지 및 공장지역,대지(2지역),2지역,374,1-2M,2.3,39.5,5.27,0.22,132,0,183.2,26.7,286,0,0,0,0,,,,,,0,0,,0,8.2
2022,일신자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,284.3,2-3M,1.64,141.4,7.48,3.5,90.8,0,138.9,12.2,,,,,,,,,,,,,,,7.3
2022,에브라임자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,35.7,2-3M,1.51,72.5,5.99,0.54,42,0,127.7,14.6,,,,,,,,,,,,,,,8
2022,혜화카프라자,교통관련시설지역,대지(2지역),2지역,168.6,2-3M,1.58,10.3,5.64,0.04,21.8,0,50.2,10.1,,0,,,0,0,0,0,0,0,0,0,,0,7.5
2022,세검정셀프세차타운,교통관련시설지역,대지(2지역),2지역,661,2-3M,1.56,80.1,5.34,0.04,25,0,60.3,8.2,,0,,,0,0,0,0,0,0,0,0,,0,8.3
2022,삼성세차장,교통관련시설지역,대지(2지역),2지역,429.7,2-3M,1.22,30.9,4.87,0.41,34.8,0,59,5.9,,0,,,0,0,0,0,0,0,0,0,,0,4.8
2022,(주)중앙에너비스 혜화지점,교통관련시설지역,주유소용지,3지역,627.7,3-4M,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.3
2022,안풍주유소,교통관련시설지역,주유소용지,3지역,541,3-4M,,,,,,,,,,,,,,0,0,0,0,0,0,2.7,,0,8.8
2022,팔구상,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,327,2~4,1.64,124.7,5.99,2.17,130.7,0,406,11,,,,,,,,,,,,,,,8
2022,르노삼성자동차지정정비 퇴계로점,교통관련시설지역,대지(2지역),2지역,99,2~4,1.96,27.7,9.1,0.13,42.1,0,112.6,14.8,,0,,,0,0,0,0,0,0,0,0,,0,8.2
2022,중부소방서,교통관련시설지역,대지(2지역),2지역,2040,~5,2.06,62.8,6.16,0.36,109,0,221.9,10.2,,0,,,0,0,0,0,0,0,0,0,,0,8.2
2022,서울지방경찰청기동단,교통관련시설지역,대지(2지역),2지역,22318,~4,2.42,77.8,5.28,0.51,72.7,0,202.2,22.7,,0,,,0,0,0,0,0,113,0,0,,0,8.6
2022,약수주유소,교통관련시설지역,주유소용지,3지역,747,~4,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.5
2022,필동주유소,교통관련시설지역,주유소용지,3지역,264,~4,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.3
2022,현대카센타,교통관련시설지역,대지(2지역),2지역,67,~3,0.62,4.3,0,0.1,14.8,0.8,36,1.7,,0,,,0.02,0,0,0,0,0,0,0,,0,9.1
2022,충현어린이공원,어린이 놀이시설지역,공원용지,1지역,507,~2,2.18,34.3,6.56,0.12,26.8,0,218.6,35.7,,,,,,,,,,,,,,,8.4
2022,필동 마을마당내 놀이터,어린이 놀이시설지역,대지(2지역),1지역,358,~2,2.45,34.2,3.88,0.05,39.6,0,115.9,31.4,,,,,,,,,,,,,,,6.3
2022,범양자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,221,3m,3.37,51.8,2.58,0.08,21.8,0,120.8,37.5,,,,,,,,,,,,,,,7.4
2022,평남자원,원광석·고철 등의 보관·사용지역,철도용지,3지역,60,3m,2.12,78.5,6.74,0.22,55,0,197.2,18.8,,,,,,,,,,,,,,,9.2
2022,차병원 세차장,교통관련시설지역,대지(2지역),2지역,387,3m,3.4,56.8,3.07,0.07,29.8,0,132.4,59.2,,0,,,0,0,0,0,0,0,0,0,,0,8.5
2022,이태원세차장,교통관련시설지역,대지(2지역),2지역,99,3m,2.87,88.8,10.03,0.33,2106.6,0,392.4,24.4,,0,,,0,0,0,0,0,0,0,0,,0,9.3
2022,현대오일뱅크(주)한남동 주유소,교통관련시설지역,주유소용지,3지역,1000,0-5m,,,,,,,,,,,,,,0,0,0,0,953,0,0,,0,8.8
2022,현대오일뱅크(주)직영 갈월동 주유소,교통관련시설지역,주유소용지,3지역,1009,5m,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.1
2022,(주)신태성주유소,교통관련시설지역,주유소용지,3지역,118,5m,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.6
2022,이촌점 기아오토큐,교통관련시설지역,대지(2지역),2지역,687,3m,2.47,55.2,10.27,0.28,165.1,0,173.5,19.4,,0,,,0,0,0,0,0,0,0,0,,0,8.7
2022,이촌점 현대자동차,교통관련시설지역,대지(2지역),2지역,527,3m,1.94,89.4,5.97,1.09,44.6,0,101.1,16.7,,0,,,0.02,0,0,0,0,0,0,0,,0,8.8
2022,용산스포츠오토모빎(주),교통관련시설지역,대지(2지역),2지역,1748,0.3m,1.79,8.4,0,0,24.8,0,84.8,11.4,,0,,,0,0,0,0,0,0,0,0,,0,5
2022,한마음어린이공원,어린이 놀이시설지역,공원용지,1지역,2998,1m,3.54,49.1,2.49,0.05,48.5,0,114.4,35.1,,,,,,,,,,,,,,,8.3
2022,㈜성원애드피아,산업단지 및 공장지역,공장용지,3지역,1498,0.3m,0.97,30.3,2.94,0.02,13.2,1,226.1,11.8,682,0,0,0,0,,,,,,0,0,,0,10.4
2022,중랑물재생센터,폐기물 처리 및 재활용 관련 지역,잡종지(2지역),2지역,19807,3.0m,1.44,19.1,3.71,0.06,17.9,0,80.4,15.7,,,,,,,,,,,,,,,7.6
2022,서울탁주성동연합제조장,지하수 오염지역,대지(2지역),2지역,1162,4.0m,1.72,24.7,10.27,0.28,26.9,0,102.4,20.2,367,0,0,0,0,0,0,0,0,0,0,0,,0,9.1
2022,인성셀프세차장,교통관련시설지역,대지(2지역),2지역,1245,4.0m,1.54,101.1,13.98,0.23,86.8,0,372.1,75.9,,0,,,0.05,0,0,0,0,336,0,0,,0,8.9
2022,인성셀프세차장,교통관련시설지역,대지(2지역),2지역,1245,4.0m,1.37,198.2,14.39,0.5,102.7,0,444.6,18.4,,0,,,0,0,0,0,0,0,0,0,,0,8.5
2022,성수만세주유소 세차장,교통관련시설지역,대지(2지역),2지역,539,5.0m,1.99,27.9,6.11,0.08,21,0,85.9,21.5,,0,,0,0,0,0,0,0,0,0,0,,0,7.4
2022,금호주유소,교통관련시설지역,대지(2지역),2지역,766,4.0m,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.9
2022,도루코주유소,교통관련시설지역,대지(2지역),2지역,1157,1.5m,,,,,,,,,,,,,,0,0,0,0,134,0,0,,0,9.4
2022,TKP송유관시설(689-12),사고·민원 등 발생지역,수도용지,2지역,90,0.15m,4.39,33.8,0,0.03,13.8,0,157.2,23.8,381,0,0,0,0,0,0,0,0,53,0,0,,0,7
2022,TKP송유관시설(694-82),사고·민원 등 발생지역,하천,2지역,910,0.15m,2.8,48.6,5.31,0.05,29.1,0,154.2,31.4,429,0,0,0,0.02,0,0,0,0,113,0,0,,0,7.9
2022,서울숲공원,산업단지 주변 등의 주거지역,유원지,2지역,480994,0.15m,2.26,29.5,5.22,0.08,24.5,0,102.5,22.4,306,0,,,0,,,,,,0,0,,0,6.4
2022,서울숲공원,산업단지 주변 등의 주거지역,유원지,2지역,480994,0.15m,2.6,40.8,2.78,0.08,24.6,0,106,28.8,269,0,,,0,,,,,,0,0,,0,5.5
2022,㈜이마트 성수점,산업단지 주변 등의 주거지역,대지(2지역),2지역,9900,4.0m,1.55,56.9,5.49,0.09,33.4,0,115.5,16.1,369,0,,,0,,,,,,0,0,,0,8.8
2022,성원중학교,어린이 놀이시설지역,학교용지,1지역,6868,0.15m,0.94,10.6,2.02,0.02,12.6,0,57.1,5.1,,,,,,,,,,,,,,,8.5
2022,광장운수(유),교통관련시설지역,주차장,3지역,512,0~3,3.31,47.1,14.29,0.05,22.6,0,133.5,49.4,,0,,,0,0,0,0,0,0,0,0,,0,8.3
