시도,시도명,시군구,시군구명,읍면동,읍면동명,위도,경도,평면직각좌표계_X좌표,평면직각좌표계_Y좌표,지리정보시스템아이디,상태,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표
26,부산광역시,380,사하구,602,다대2동,35.05938776,128.9856499,381073.3161,175176.8706,26380602,Y,128.9706504,35.04276939,129.0004006,35.07038582
26,부산광역시,380,사하구,610,구평동,35.07335467,128.9904154,381477.2025,176735.2545,26380610,Y,128.9799054,35.0475977,129.0069913,35.09207941
26,부산광역시,380,사하구,620,감천1동,35.08756188,129.0025574,382553.2185,178334.079,26380620,Y,128.9906104,35.07688053,129.0131899,35.09747462
26,부산광역시,380,사하구,630,감천2동,35.09368936,129.0088293,383111.5609,179025.5354,26380630,Y,129.0024855,35.08811379,129.0144364,35.09944027
26,부산광역시,410,금정구,510,서1동,35.2180641,129.0980342,390956.7832,192994.8683,26410510,Y,129.0940823,35.21409941,129.1018849,35.22222603
26,부산광역시,410,금정구,520,서2동,35.21288433,129.1044494,391553.1698,192432.4123,26410520,Y,129.0975547,35.20961259,129.1103368,35.21618188
26,부산광역시,410,금정구,530,서3동,35.22052133,129.1049359,391579.5378,193280.8191,26410530,Y,129.0994615,35.21413209,129.1106826,35.22979901
26,부산광역시,410,금정구,570,부곡1동,35.22447336,129.0961888,390773.7301,193702.5739,26410570,Y,129.0878118,35.22020364,129.1037451,35.2305123
26,부산광역시,410,금정구,580,부곡2동,35.23077805,129.0958198,390725.39,194401.4989,26410580,Y,129.0890837,35.22548944,129.1037239,35.23630337
26,부산광역시,410,금정구,590,부곡3동,35.24663718,129.1145044,392389.1233,196197.433,26410590,Y,129.0881742,35.22792024,129.141157,35.26192804
26,부산광역시,410,금정구,591,부곡4동,35.21924442,129.0911685,390328.7994,193112.6856,26410591,Y,129.0849569,35.21498258,129.0964479,35.22237467
26,부산광역시,410,금정구,600,장전1동,35.24113423,129.0760216,388898.7559,195512.9231,26410600,Y,129.0612546,35.23146703,129.089894,35.24990358
26,부산광역시,410,금정구,610,장전2동,35.23176537,129.0719924,388553.5718,194465.596,26410610,Y,129.0593413,35.22335988,129.0855691,35.23943366
26,부산광역시,410,금정구,635,선두구동,35.28143,129.1115985,392042.5819,200052.6416,26410635,Y,129.0937957,35.25526775,129.1310106,35.30622315
26,부산광역시,410,금정구,665,청룡노포동,35.28563912,129.0791307,389078.351,200457.6249,26410665,Y,129.0498754,35.27199488,129.1054984,35.30361436
26,부산광역시,410,금정구,670,남산동,35.26696319,129.0789141,389102.0836,198384.7102,26410670,Y,129.0604541,35.25717885,129.0973953,35.27629326
26,부산광역시,410,금정구,680,구서1동,35.24917609,129.0922127,390353.9542,196436.2407,26410680,Y,129.0774331,35.24149469,129.1049331,35.25801119
26,부산광역시,410,금정구,690,구서2동,35.25496322,129.0812497,389342.5252,197057.4955,26410690,Y,129.0668768,35.24557823,129.0998116,35.26411127
26,부산광역시,410,금정구,700,금성동,35.25480975,129.0541083,386872.3821,196988.8559,26410700,Y,129.0361093,35.22953499,129.0680429,35.28007812
26,부산광역시,440,강서구,510,대저1동,35.21049794,128.9674093,379077.789,191912.1555,26440510,Y,128.9271078,35.18763294,128.9976197,35.2344091
26,부산광역시,440,강서구,520,대저2동,35.15869542,128.9420881,376883.9071,186117.9201,26440520,Y,128.9160879,35.11292314,128.9724908,35.20324765
26,부산광역시,440,강서구,530,강동동,35.18046585,128.9189369,374727.2555,188492.477,26440530,Y,128.9029628,35.13080878,128.9471321,35.22794302
26,부산광역시,440,강서구,550,가락동,35.18462396,128.8947164,372512.2491,188911.9076,26440550,Y,128.8704035,35.13080878,128.9206679,35.22309636
26,부산광역시,440,강서구,560,녹산동,35.12593315,128.8566511,369166.212,182334.0323,26440560,Y,128.7936338,35.06356074,128.9037981,35.17481958
26,부산광역시,440,강서구,580,가덕도동,35.0431593,128.8256776,366510.2152,173097.0395,26440580,Y,128.7614072,34.98862213,128.8586246,35.09438042
26,부산광역시,470,연제구,610,거제1동,35.19385757,129.0775082,389143.6408,190269.4288,26470610,Y,129.0664886,35.18775617,129.0907458,35.19942684
26,부산광역시,470,연제구,620,거제2동,35.18877704,129.0599389,387554.8748,189672.3829,26470620,Y,129.0469461,35.18390186,129.07392,35.19422802
26,부산광역시,470,연제구,630,거제3동,35.18276042,129.0718024,388649.5056,189027.1257,26470630,Y,129.0673344,35.17585642,129.0772373,35.18910511
26,부산광역시,470,연제구,640,거제4동,35.18140017,129.0656672,388093.6927,188864.5726,26470640,Y,129.0612162,35.1769241,129.0706433,35.18555206
26,부산광역시,470,연제구,650,연산1동,35.18854684,129.089775,390273.4519,189703.4824,26470650,Y,129.0836381,35.18268317,129.0954401,35.19348429
26,부산광역시,470,연제구,660,연산2동,35.17227003,129.0812248,389532.299,187880.8762,26470660,Y,129.0750454,35.15948496,129.0865455,35.1818219
26,부산광역시,470,연제구,670,연산3동,35.16745323,129.0909917,390433.4472,187365.032,26470670,Y,129.0829446,35.15826174,129.0971426,35.17449101
26,부산광역시,470,연제구,680,연산4동,35.18425865,129.0865065,389985.6873,189221.3693,26470680,Y,129.0802053,35.1790752,129.0960088,35.19220717
26,부산광역시,470,연제구,690,연산5동,35.18388628,129.0781013,389220.7652,189164.0305,26470690,Y,129.0719209,35.17761587,129.0838558,35.19162543
26,부산광역시,470,연제구,700,연산6동,35.17224254,129.0885804,390202.549,187891.8734,26470700,Y,129.0820473,35.15826174,129.0974363,35.1802115
26,부산광역시,470,연제구,720,연산8동,35.18654783,129.0970392,390939.8877,189495.5671,26470720,Y,129.0927429,35.17954463,129.1026634,35.19240755
26,부산광역시,470,연제구,730,연산9동,35.18409705,129.1067675,391831.9286,189242.3184,26470730,Y,129.0972134,35.17596358,129.1151693,35.19176945
26,부산광역시,500,수영구,660,남천1동,35.14403568,129.1080532,392043.1708,184799.1632,26500660,Y,129.1016553,35.13536994,129.1156629,35.15079168
26,부산광역시,500,수영구,670,남천2동,35.14337711,129.114404,392623.5844,184738.3602,26500670,Y,129.1108234,35.13891741,129.117995,35.1489673
26,부산광역시,500,수영구,730,수영동,35.17042638,129.1177107,392861.1877,187746.4416,26500730,Y,129.1094296,35.16553664,129.1266169,35.17439884
26,부산광역시,500,수영구,740,망미1동,35.17151517,129.1009697,391333.1594,187834.9201,26500740,Y,129.0923333,35.16176405,129.1094296,35.18089801
26,부산광역시,500,수영구,750,망미2동,35.17745072,129.1149586,392593.8425,188520.5961,26500750,Y,129.107195,35.17127706,129.1225124,35.187854
26,부산광역시,500,수영구,760,광안1동,35.16252409,129.1097353,392153.0328,186854.1069,26500760,Y,129.0948372,35.15867848,129.1209693,35.16659653
26,부산광역시,500,수영구,770,광안2동,35.15446628,129.1155577,392702.6126,185971.1584,26500770,Y,129.1111489,35.14801471,129.1209693,35.15977748
26,부산광역시,500,수영구,780,광안3동,35.16775303,129.1106905,392227.7893,187436.1981,26500780,Y,129.1036113,35.16472079,129.1202111,35.171805
26,부산광역시,500,수영구,790,광안4동,35.15593963,129.1054314,391776.2683,186115.1086,26500790,Y,129.0960182,35.14991538,129.1137208,35.16107019
26,부산광역시,500,수영구,800,민락동,35.15962245,129.1258473,393628.1982,186563.3056,26500800,Y,129.1178907,35.1522478,129.1353438,35.16835962
26,부산광역시,530,사상구,580,삼락동,35.17221491,128.9710596,379494.3853,187670.3423,26530580,Y,128.9595436,35.14256524,128.9881988,35.19726046
26,부산광역시,530,사상구,591,모라1동,35.18820329,128.98994,381179.3426,189478.9604,26530591,Y,128.9815553,35.18077979,129.0006209,35.1959267
26,부산광역시,530,사상구,593,모라3동,35.18312101,129.0076063,382800.1097,188947.3173,26530593,Y,128.9913133,35.17362902,129.0238182,35.19282828
26,부산광역시,530,사상구,600,덕포1동,35.16971906,128.9871317,380964.4587,187422.7089,26530600,Y,128.9803993,35.16713602,128.9952526,35.1725466
