연번,행정동,주소,위도,경도,데이터기준일자
1,신대방1동,서울특별시 동작구 신대방동 719-2,37.4866458300,126.9059471000,2024-09-11
2,신대방1동,서울특별시 동작구 신대방동 698-20,37.4854632300,126.9054630000,2024-09-11
3,신대방1동,서울특별시 동작구 신대방동 697-27,37.4856572900,126.9065708000,2024-09-11
4,신대방1동,서울특별시 동작구 신대방동 696-4,37.4860052900,126.9078725000,2024-09-11
5,신대방1동,서울특별시 동작구 신대방동 696-20,37.4862778900,126.9087450000,2024-09-11
6,신대방1동,서울특별시 동작구 신대방동 696-46,37.4865154300,126.9095003000,2024-09-11
7,신대방1동,서울특별시 동작구 신대방동 693-8,37.4867591500,126.9103197000,2024-09-11
8,신대방1동,서울특별시 동작구 신대방동 688-2,37.4885834100,126.9081937000,2024-09-11
9,신대방1동,서울특별시 동작구 신대방동 688-2,37.4885834100,126.9081937000,2024-09-11
10,신대방1동,서울특별시 동작구 신대방동 689-52,37.4878669900,126.9101488000,2024-09-11
11,신대방1동,서울특별시 동작구 신대방동 616-38,37.4884057705,126.9097659539,2024-09-11
12,신대방1동,서울특별시 동작구 신대방동 603-3,37.4893758400,126.9098258000,2024-09-11
13,신대방1동,서울특별시 동작구 신대방동 587-13,37.4910235900,126.9087555000,2024-09-11
14,신대방1동,서울특별시 동작구 신대방동 602-10,37.4900789888,126.9098280545,2024-09-11
15,신대방1동,서울특별시 동작구 신대방동 592-8,37.4907254200,126.9094227000,2024-09-11
16,신대방1동,서울특별시 동작구 신대방동 616-48,37.4892541700,126.9112053000,2024-09-11
17,신대방1동,서울특별시 동작구 신대방동 600-37,37.4891073000,126.9119181000,2024-09-11
18,신대방1동,서울특별시 동작구 신대방동 618-69,37.4884874800,126.9131143000,2024-09-11
19,신대방1동,서울특별시 동작구 신대방동 600-57,37.4897764230,126.9111260574,2024-09-11
20,신대방1동,서울특별시 동작구 신대방동 632-11,37.4897550500,126.9136475000,2024-09-11
21,신대방1동,서울특별시 동작구 신대방동 6329,37.4895803200,126.9138602000,2024-09-11
22,신대방1동,서울특별시 동작구 신대방동 600-53,37.4901181005,126.9113866290,2024-09-11
23,신대방1동,서울특별시 동작구 신대방동 632-20,37.4899667700,126.9127700000,2024-09-11
24,신대방2동,서울특별시 동작구 신대방동 367-19,37.4975662762,126.9209114241,2024-09-11
25,신대방2동,서울특별시 동작구 신대방동 368-23,37.4968503300,126.9208958000,2024-09-11
26,신대방2동,서울특별시 동작구 신대방동 366-142,37.4951749000,126.9233437000,2024-09-11
27,신대방2동,서울특별시 동작구 신대방동 360-70,37.4964815461,126.9244783419,2024-09-11
28,신대방2동,서울특별시 동작구 신대방동 360-80,37.4965373300,126.9236624000,2024-09-11
29,신대방2동,서울특별시 동작구 신대방동 360-78,37.4968138346,126.9236332639,2024-09-11
30,신대방2동,서울특별시 동작구 신대방동 360-18,37.4970719431,126.9245685547,2024-09-11
31,신대방2동,서울특별시 동작구 신대방동 360,37.4975681384,126.9245859232,2024-09-11
32,신대방2동,서울특별시 동작구 신대방동 344-69,37.4962398200,126.9269323000,2024-09-11
33,신대방2동,서울특별시 동작구 신대방동 360-186,37.4962685663,126.9259301022,2024-09-11
34,신대방2동,서울특별시 동작구 신대방동 366-87,37.4957125535,126.9260713267,2024-09-11
35,신대방2동,서울특별시 동작구 신대방동 344-104,37.4948656100,126.9267989000,2024-09-11
36,신대방2동,서울특별시 동작구 신대방동 344-156,37.4940398800,126.9257057000,2024-09-11
37,신대방2동,서울특별시 동작구 신대방동 344-69,37.4962398200,126.9269323000,2024-09-11
38,신대방2동,서울특별시 동작구 신대방동 345-9,37.4973916200,126.9283348000,2024-09-11
39,신대방2동,서울특별시 동작구 신대방동 345-9,37.4973916200,126.9283348000,2024-09-11
40,신대방2동,서울특별시 동작구 신대방동 299-190,37.4958312042,126.9295916063,2024-09-11
41,신대방2동,서울특별시 동작구 신대방동 346-16,37.4977242239,126.9284009542,2024-09-11
42,신대방2동,서울특별시 동작구 신대방동 348-79,37.4969902100,126.9296568000,2024-09-11
43,신대방2동,서울특별시 동작구 신대방동 339-1,37.4977550362,126.9294458414,2024-09-11
44,신대방2동,서울특별시 동작구 신대방동 498-23,37.4965541900,126.9166111000,2024-09-11
45,대방동,서울특별시 동작구 대방동 387-9,37.5035856500,126.9231250000,2024-09-11
46,대방동,서울특별시 동작구 대방동 387-25,37.5029886500,126.9228588000,2024-09-11
47,대방동,서울특별시 동작구 대방동 387-20,37.5029578693,126.9233321703,2024-09-11
48,대방동,서울특별시 동작구 대방동 380-45,37.5029406800,126.9240661000,2024-09-11
