연번,민원구분,업소명,업소지번주소,업소도로명주소,우편번호,
1,제7조의3제2항에따른경우,GS25당진빌리지점,충청남도 당진시 읍내동 895 진영,충청남도 당진시 무수동4길 9. 진영 (읍내동),31772,
2,제7조의3제2항에따른경우,씨유 당진한진포구점,충청남도 당진시 송악읍 한진리 112-21,충청남도 당진시 송악읍 한진포구길 14,31720,
3,제7조의3제2항에따른경우,세븐일레븐 당진수청하임점,충청남도 당진시 수청동 1544 지엔하임,충청남도 당진시 수청2로 77. 111호 (수청동. 지엔하임),31817,
4,제7조의3제2항에따른경우,지에스(GS)25 원당그린빌점,충청남도 당진시 원당동 1248 그린빌아파트,충청남도 당진시 밤절로 104. 상가동 101.102호 (원당동. 그린빌아파트),31771,
5,제7조의3제2항에따른경우,GS25당진고대점,충청남도 당진시 고대면 용두리 676-13 고대차부슈퍼,충청남도 당진시 고대면 고대로 32. 고대차부슈퍼,31793,
6,제7조의3제2항에따른경우,GS25합덕중앙점,충청남도 당진시 합덕읍 운산리 278,충청남도 당진시 합덕읍 당진3거리길 1. 1층,31812,
7,제7조의3제2항에따른경우,세븐일레븐 당진송산센트럴점,충청남도 당진시 송산면 동곡리 404 현대에비뉴,충청남도 당진시 송산면 가곡로 150-24. 109. 110. 111호 (현대에비뉴),31710,
8,제7조의3제2항에따른경우,씨유 당진수청타워점,충청남도 당진시 수청동 1393,충청남도 당진시 수청2로 42. 106호 (수청동),31817,
9,제7조의3제2항에따른경우,당진전자담배,충청남도 당진시 수청동 999 G1파크빌,충청남도 당진시 당진중앙2로 447. G1파크빌 104호 (수청동),31771,
10,제7조의3제2항에따른경우,(주)코리아세븐 당진신터점,충청남도 당진시 수청동 984 터미널프라자,충청남도 당진시 밤절로 156. 터미널프라자 5. 4층 (수청동),31771,
11,제7조의3제2항에따른경우,당진시니어클럽,충청남도 당진시 대덕동 1564 부광전기,충청남도 당진시 먹거리길 72-45 (대덕동),31776,
12,제7조의3제2항에따른경우,주식회사 농가마트,충청남도 당진시 채운동 503,충청남도 당진시 대호만로 30-20 (채운동),31780,
13,제7조의3제2항에따른경우,미라클,충청남도 당진시 채운동 459-10,충청남도 당진시 대호만로 25 (채운동),31781,
14,제7조의3제2항에따른경우,대원상회,충청남도 당진시 고대면 진관리 642-6 산내들아파트,충청남도 당진시 고대면 고대로 98. 상가동 103호 (산내들아파트),31793,
15,제7조의3제2항에따른경우,씨유 당진휴게소점,충청남도 당진시 정미면 대운산리 691-3 당진(상)휴게소,충청남도 당진시 정미면 서해로 4912. 당진(상)휴게소 1층,31801,
16,제7조의3제2항에따른경우,요소수마트,충청남도 당진시 송악읍 복운리 1663-1 병천순대국,충청남도 당진시 송악읍 부곡공단2길 15. 병천순대국,31721,
17,제7조의3제2항에따른경우,다올마트,충청남도 당진시 석문면 통정리 1742 해오름빌,충청남도 당진시 석문면 해명4로1길 10. 해오름빌,31703,
18,제7조의3제2항에따른경우,지에스25당진이편한점,충청남도 당진시 송악읍 가학리 690 송악e편한세상,충청남도 당진시 송악읍 반촌로 103. 106.107호 (송악e편한세상),31733,
19,제7조의3제2항에따른경우,사거리,충청남도 당진시 읍내동 153-2,충청남도 당진시 당진시장남길 60. 1층 (읍내동),31777,
