기준년도,지역교육청명,학교명,학교급명,설립구분명,제외여부,제외사유,학년명,성별명,심폐지구력-왕복오래달리기평균값(회),심폐지구력-오래달리기걷기평균값(초),심폐지구력-스텝검사평균값(PEI),유연성-앉아윗몸앞으로굽히기평균값(cm),유연성-종합유연성평균(점),근력·근지구력-(무릎대고)팔굽혀펴기평균값(회),근력·근지구력-윗몸말아올리기평균값(회),근력·근지구력-악력평균값kg,순발력-50m달리기평균값(초),순발력-제자리멀리뛰기평균값(cm),비만-BMI평균값(kg/㎡),비만-체지방률평균값(%fat),1등급(80~100점)인원수(명),1등급(80~100점)비율(%),2등급(60~79점)인원수(명),2등급(60~79점)비율(%),3등급(40~59점)인원수(명),3등급(40~59점)비율(%),4등급(20~39점)인원수(명),4등급(20~39점)비율(%),5등급(0~19점)인원수(명),5등급(0~19점)비율(%),검사인원수(명)
2019,경기도광명교육지원청,가림중학교,,공립,N,,2학년,여자,29.3,,,15.9,,,49.4,,9.4,,20.2,,28,21.1,65,48.9,28,21.1,11,8.3,1,0.8,133
2019,경기도광명교육지원청,가림중학교,,공립,N,,1학년,남자,35.4,,,7,,,97,23,9.4,,21.9,28.9,9,7,38,29.5,56,43.4,23,17.8,3,2.3,129
2019,경기도광명교육지원청,가림중학교,,공립,N,,1학년,여자,23,,,13.7,,45,56.3,21.6,10.3,127.5,21.1,,3,3.4,35,39.3,38,42.7,12,13.5,1,1.1,89
2019,경기도광명교육지원청,가림중학교,,공립,N,,2학년,남자,55.6,9.28,,9.8,,20,104.2,34.5,7.6,,20.8,,48,36.4,46,34.8,23,17.4,12,9.1,3,2.3,132
2019,경기도광명교육지원청,가림중학교,,공립,N,,3학년,남자,55.2,7.04,,13.8,,40,108.9,45.6,7.6,224,21.7,,33,29.2,48,42.5,25,22.1,5,4.4,2,1.8,113
2019,경기도광명교육지원청,가림중학교,,공립,N,,3학년,여자,35.2,,,20.4,,,55.4,24.7,9,,20.5,,53,41.4,50,39.1,22,17.2,2,1.6,1,0.8,128
2019,경기도광명교육지원청,가림초등학교,,공립,N,,6학년,여자,,6.02,,14,,,48.5,,10.1,,18.4,,8,16.3,14,28.6,22,44.9,4,8.2,1,2,49
2019,경기도광명교육지원청,가림초등학교,,공립,N,,6학년,남자,,5.26,,6.2,,,80.5,,9.1,,20.3,,5,10.4,28,58.3,8,16.7,7,14.6,0,0,48
2019,경기도광명교육지원청,가림초등학교,,공립,N,,5학년,여자,,5.58,,14.1,,,46,,10.2,,18.7,,2,4.3,23,48.9,21,44.7,1,2.1,0,0,47
2019,경기도광명교육지원청,가림초등학교,,공립,N,,5학년,남자,,5.37,,7.8,,,68.6,,10.1,,19.4,,6,11.8,21,41.2,20,39.2,4,7.8,0,0,51
2019,경기도교육청,경기항공고등학교,,사립,N,,2학년,여자,11,11.42,,13.2,,44,19.4,,10.3,85,19.9,,0,0,0,0,5,62.5,3,37.5,0,0,8
