구,업종명,업소명,인허가일자,영업상태,폐업일자,소재지(도로명),소재지(지번),데이터기준일자
수정구,건강기능식품일반판매업,아모레중원특약점,2004-05-24,영업중,,"경기도 성남시 수정구 산성대로 373, 3층 (단대동)",경기도 성남시 수정구 단대동 180-3 3층 ,2024-04-17
수정구,건강기능식품일반판매업,박정금소아과의원,2004-06-10,영업중,,"경기도 성남시 수정구 수정로 358, 2(일부)층 (산성동)",경기도 성남시 수정구 산성동 849 2(일부)층 ,2024-04-17
수정구,건강기능식품일반판매업,국제건강가족동호회,2004-06-15,영업중,,경기도 성남시 수정구 수정북로39번길 2 (태평동),경기도 성남시 수정구 태평동 3599 1층 ,2024-04-17
수정구,건강기능식품일반판매업,풀무원내추럴하우스,2004-06-16,영업중,,경기도 성남시 수정구 수정로 111 (태평동),경기도 성남시 수정구 태평동 3679-6 ,2024-04-17
수정구,건강기능식품일반판매업,한국허벌라이프,2004-06-18,영업중,,"경기도 성남시 수정구 산성대로69번길 15 (수진동,102호)",경기도 성남시 수정구 수진동 4771 102호 ,2024-04-17
수정구,건강기능식품일반판매업,태평산부인과,2004-06-18,영업중,,경기도 성남시 수정구 수정로 133 (태평동),경기도 성남시 수정구 태평동 3662 ,2024-04-17
수정구,건강기능식품일반판매업,성남농업협동조합수진지점,2004-06-21,영업중,,경기도 성남시 수정구 수정남로 17-1 (수진동),경기도 성남시 수정구 수진동 2983 ,2024-04-17
수정구,건강기능식품일반판매업,성남상아외과의원,2004-06-29,영업중,,"경기도 성남시 수정구 수정로 115 (태평동,만홍빌딩 5층)",경기도 성남시 수정구 태평동 3679-1 만홍빌딩 5층 ,2024-04-17
수정구,건강기능식품일반판매업,유니베라 성남대리점,2004-08-11,영업중,,"경기도 성남시 수정구 수정로 163 (태평동,영성빌딩 4층)",경기도 성남시 수정구 태평동 3417 영성빌딩 4층 ,2024-04-17
수정구,건강기능식품일반판매업,한국인삼공사 신흥판매점,2004-09-13,영업중,,경기도 성남시 수정구 시민로 174 (신흥동),경기도 성남시 수정구 신흥동 3436-16 ,2024-04-17
수정구,건강기능식품일반판매업,김정문알로에 성남수정점,2004-06-15,영업중,,"경기도 성남시 수정구 공원로 322, 118호 (신흥동, 신동아파라디움)",경기도 성남시 수정구 신흥동 2465-7 신동아파라디움 118호,2024-04-17
수정구,건강기능식품일반판매업,태평 수 소아과,2005-01-07,영업중,,"경기도 성남시 수정구 수정로 115-1 (태평동, 5층 1호실)",경기도 성남시 수정구 태평동 3678 5층 1호실 ,2024-04-17
수정구,건강기능식품일반판매업,성남,2005-02-04,영업중,,"경기도 성남시 수정구 설개로21번길 3, 1층 (시흥동)",경기도 성남시 수정구 시흥동 43-2 1층 ,2024-04-17
수정구,건강기능식품일반판매업,정일품 홍삼,2005-04-11,영업중,,경기도 성남시 수정구 수정남로52번길 2 (수진동),경기도 성남시 수정구 수진동 231 ,2024-04-17
수정구,건강기능식품일반판매업,수 의원,2005-04-14,영업중,,"경기도 성남시 수정구 수정로 100 (수진동,(2층))",경기도 성남시 수정구 수진동 2930 (2층) ,2024-04-17
수정구,건강기능식품일반판매업,수정형외과,2005-04-19,영업중,,"경기도 성남시 수정구 수정로 144 (수진동,(1층))",경기도 성남시 수정구 수진동 1-1 (1층) ,2024-04-17
수정구,건강기능식품일반판매업,한솔정형외과의원,2005-05-30,영업중,,"경기도 성남시 수정구 수정로 147, 1층 (태평동)",경기도 성남시 수정구 태평동 3497-2 1층 ,2024-04-17
수정구,건강기능식품일반판매업,정성테크,2005-08-18,영업중,,"경기도 성남시 수정구 복정로134번길 26 (복정동,1층)",경기도 성남시 수정구 복정동 653-6 1층 ,2024-04-17
수정구,건강기능식품일반판매업,보림물산,2006-06-21,영업중,,경기도 성남시 수정구 제일로 142 (수진동),경기도 성남시 수정구 수진동 91 ,2024-04-17
수정구,건강기능식품일반판매업,진안흑염소,2006-06-21,영업중,,경기도 성남시 수정구 수정북로 26 (태평동),경기도 성남시 수정구 태평동 3688 ,2024-04-17
수정구,건강기능식품일반판매업,백세건강원,2006-06-21,영업중,,경기도 성남시 수정구 수정북로 26 (태평동),경기도 성남시 수정구 태평동 3688 ,2024-04-17
수정구,건강기능식품일반판매업,금산인삼,2006-06-21,영업중,,경기도 성남시 수정구 수정로111번길 11 (태평동),경기도 성남시 수정구 태평동 3705-40 ,2024-04-17
수정구,건강기능식품일반판매업,삼성내과,2007-07-27,영업중,,"경기도 성남시 수정구 산성대로 313, 2층 일부호 (신흥동)",경기도 성남시 수정구 신흥동 2471 2층(일부) ,2024-04-17
