연번,시도,군구,식품수거일자,수거검사명,수거식품명,제품규격(정량),단위(정량),수거량(정량),수거량,식품유형,국산-수입,검사항목,검사기관,검사의뢰일자,결과회보일자,검사결과,데이터기준일자
1,인천광역시,서구,2023-08-02,방사능 수거검사,생물용 가자미,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
2,인천광역시,서구,2023-08-02,방사능 수거검사,제주 은갈치,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
3,인천광역시,서구,2023-08-02,방사능 수거검사,국산 고등어,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
4,인천광역시,서구,2023-08-02,방사능 수거검사,국산 삼치,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
5,인천광역시,서구,2023-08-02,방사능 수거검사,국산 참조기,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
6,인천광역시,서구,2023-08-02,방사능 수거검사,수입 동태,1,kg,1,1kg*1,수산물,수입,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
7,인천광역시,서구,2023-08-02,방사능 수거검사,수입 꽁치,1,kg,1,1kg*1,수산물,수입,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
8,인천광역시,서구,2023-08-02,방사능 수거검사,생물 우럭,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
9,인천광역시,서구,2023-08-02,방사능 수거검사,생물 오징어,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
10,인천광역시,서구,2023-08-02,방사능 수거검사,생물 홍합살,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
11,인천광역시,서구,2023-08-02,방사능 수거검사,흰다리 새우,1,kg,1,1kg*1,수산물,수입,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
12,인천광역시,서구,2023-08-02,방사능 수거검사,국물용 멸치,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-02,2023-08-11,적합,2024-08-05
13,인천광역시,서구,2023-08-22,방사능 수거검사,생물용 가자미,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
14,인천광역시,서구,2023-08-22,방사능 수거검사,국산 삼치,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
15,인천광역시,서구,2023-08-22,방사능 수거검사,수입 동태,1,kg,1,1kg*1,수산물,수입,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
16,인천광역시,서구,2023-08-22,방사능 수거검사,수입 꽁치,1,kg,1,1kg*1,수산물,수입,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
17,인천광역시,서구,2023-08-22,방사능 수거검사,국산 고등어,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
18,인천광역시,서구,2023-08-22,방사능 수거검사,제주 은갈치,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
19,인천광역시,서구,2023-08-22,방사능 수거검사,국산 참조기,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
20,인천광역시,서구,2023-08-22,방사능 수거검사,생물 오징어,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
21,인천광역시,서구,2023-08-22,방사능 수거검사,흰다리 새우,1,kg,1,1kg*1,수산물,수입,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
22,인천광역시,서구,2023-08-22,방사능 수거검사,생물 홍합살,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
23,인천광역시,서구,2023-08-22,방사능 수거검사,볶음용 멸치,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-08-22,2023-08-28,적합,2024-08-05
24,인천광역시,서구,2023-09-19,방사능 수거검사,국산 고등어,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-09-19,2023-09-27,적합,2024-08-05
25,인천광역시,서구,2023-09-19,방사능 수거검사,수입 동태,1,kg,1,1kg*1,수산물,수입,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-09-19,2023-09-27,적합,2024-08-05
26,인천광역시,서구,2023-09-19,방사능 수거검사,국산 참조기,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-09-19,2023-09-27,적합,2024-08-05
27,인천광역시,서구,2023-09-19,방사능 수거검사,제주 은갈치,1,kg,1,1kg*1,수산물,국산,"131I, 134CS+137CS",인천광역시 보건환경연구원,2023-09-19,2023-09-27,적합,2024-08-05
