용도,개발위치,소재지,데이터기준일자
농업용수,대구광역시 북구 학정동 752번지 2호 (도로명 : 대구광역시 북구 구리로7길 65-5 (학정동)),대구광역시 북구 칠곡중앙대로136길 47 (동호동 경상북도농업기술원),2024-07-26
생활용수,대구광역시 북구 동변동 679번지 (도로명 : 대구광역시 북구 동변로 55 (동변동)),대구광역시 북구 동변로 55 (동변동동서변그린빌아파트),2024-07-26
농업용수,대구광역시 북구 조야동 124번지 1호 ,대구광역시 북구 동북로 131101동 801호 (산격동산격양우내안애아파트),2024-07-26
민방위비상급수시설,대구광역시 북구 금호동 815번지 ,대구광역시 중구 공평동 130번지 ,2024-07-26
공업용수,대구광역시 북구 노원동3가 215번지 (도로명 : 대구광역시 북구 팔달북로8길 76-1 (노원동3가)),대구광역시 북구 팔달북로8길 76-1 (노원동3가),2024-07-26
농업용수,대구광역시 북구 동변동 72번지 ,대구광역시 북구 화담길 169 (동변동),2024-07-26
생활용수,대구광역시 북구 침산동 872번지 (도로명 : 대구광역시 북구 침산로67길 39 (침산동)),대구광역시 북구 노원로 229 (침산동),2024-07-26
생활용수,대구광역시 북구 태전동 940번지 (1호공) (도로명 : 대구광역시 북구 칠곡중앙대로 411 (태전동(1호공))),대구광역시 북구 칠곡중앙대로 411 (태전동 우영펠리스),2024-07-26
생활용수,대구광역시 북구 읍내동 306번지 2호 소원주유소 (도로명 : 대구광역시 북구 칠곡중앙대로 637 (읍내동소원주유소)),대구광역시 북구 칠곡중앙대로 639-4 (읍내동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 276번지 1호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 국우동 672번지 (도로명 : 대구광역시 북구 도남길 47 (국우동)),대구광역시 북구 영송로 63 102동 1201호 (태전동 칠곡관음타운),2024-07-26
공업용수,대구광역시 북구 서변동 875번지 4호 (중앙식품) (도로명 : 대구광역시 북구 호국로51길 61 (서변동)),대구광역시 북구 호국로51길 61 (서변동),2024-07-26
생활용수,대구광역시 북구 태전동 993번지 네오시티프라자 (도로명 : 대구광역시 북구 칠곡중앙대로 412 (태전동)),대구광역시 중구 대봉로 260 104동 2103호 (대봉동 센트로팰리스아파트),2024-07-26
공업용수,대구광역시 북구 산격동 343번지 4호 (도로명 : 대구광역시 북구 유통단지로3길 40 (산격동)),대구광역시 북구 유통단지로3길 40 (산격동),2024-07-26
생활용수,대구광역시 북구 학정동 91번지 1호 (도로명 : 대구광역시 북구 호국로 729 (학정동)),대구광역시 북구 동변로 50 105동 501호 (동변동유니버시아드선수촌),2024-07-26
생활용수,대구광역시 북구 국우동 506번지 (도로명 : 대구광역시 북구 골밭실길 57 (국우동)),대구광역시 북구 팔거천동로 52 202동 403호 (구암동미래타운),2024-07-26
생활용수,대구광역시 북구 태전동 940번지 (2호공) (도로명 : 대구광역시 북구 칠곡중앙대로 411 (태전동(2호공))),대구광역시 북구 칠곡중앙대로 411 (태전동 우영펠리스),2024-07-26
생활용수,대구광역시 북구 태전동 940번지 (3호공) (도로명 : 대구광역시 북구 칠곡중앙대로 411 (태전동(3호공))),대구광역시 북구 칠곡중앙대로 411 (태전동 우영펠리스),2024-07-26
생활용수,대구광역시 북구 산격동 734번지 1호 (도로명 : 대구광역시 북구 연암로42길 2 (산격동)),대구광역시 북구 연암로42길 2 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 74번지 3호 (도로명 : 대구광역시 북구 칠성시장로3길 26-21 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-21 (칠성동1가),2024-07-26
농업용수,대구광역시 북구 금호동 203번지 영천식품 (도로명 : 대구광역시 북구 문주길 2-5 (금호동영천식품)),대구광역시 북구 문주길 2-5 (금호동),2024-07-26
생활용수,대구광역시 북구 국우동 739번지 ,   ,2024-07-26
농업용수,대구광역시 북구 조야동 39번지 ,대구광역시 북구 조야로 69-5 (조야동),2024-07-26
농업용수,대구광역시 북구 금호동 162번지 ,대구광역시 북구 문주길 14-3 (금호동),2024-07-26
농업용수,대구광역시 북구 팔달동 421번지 ,대구광역시 서구 내당동 황제맨션 101동 1406호,2024-07-26
생활용수,대구광역시 북구 구암동 537번지 (도로명 : 대구광역시 북구 학정로48길 24-1 (구암동)),대구광역시 북구 학정로48길 24-1 (구암동),2024-07-26
농업용수,대구광역시 북구 팔달동 434번지 2호 ,   ,2024-07-26
생활용수,대구광역시 북구 연경동 977번지 ,서울특별시 서초구 동광로27길 66 501호 (방배동 다이너스티 힐),2024-07-26
생활용수,대구광역시 북구 태전동 695번지 태전중석타운 (도로명 : 대구광역시 북구 학정로7길 3 (태전동 태전중석타운)),대구광역시 북구 학정로7길 3 101동 401호 (태전동중석타운),2024-07-26
생활용수,대구광역시 북구 산격동 758번지 13호 (도로명 : 대구광역시 북구 동북로 3 (산격동)),대구광역시 북구 동북로 3 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동2가 378번지 29호 (도로명 : 대구광역시 북구 호암로 28-3 (칠성동2가)),대구광역시 서구 염색공단중앙로23길 2 (비산동),2024-07-26
생활용수,대구광역시 북구 서변동 1724번지 1호 (도로명 : 대구광역시 북구 호국로57길 6 (서변동)),대구광역시 북구 침산로 73 (고성동3가대구도시개발공사),2024-07-26
생활용수,대구광역시 북구 읍내동 1075번지 제1호공 (도로명 : 대구광역시 북구 대천로 31 (읍내동제1호공)),   ,2024-07-26
농업용수,대구광역시 북구 읍내동 1236번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 서변동 46번지 2호 ,대구광역시 북구 이곡길 24-1 (서변동),2024-07-26
농업용수,대구광역시 북구 읍내동 1236번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 팔달동 1번지 2호 (도로명 : 대구광역시 북구 매천로 51 (팔달동)),대구광역시 수성구 교학로11길 46 116동 101호 (만촌동우방1차아파트),2024-07-26
농업용수,대구광역시 북구 국우동 산 52번지 1호 (도로명 : 대구광역시 북구 호국로 499 (국우동)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 산격동 1674번지 (1호공) (도로명 : 대구광역시 북구 유통단지로 80 (산격동)),서울특별시 중구 남대문로 84 (을지로2가),2024-07-26
생활용수,대구광역시 북구 칠성동2가 421번지 3호 (도로명 : 대구광역시 북구 칠성로 84 (칠성동2가)),대구광역시 북구 칠성로 84 (칠성동2가),2024-07-26
생활용수,대구광역시 북구 매천동 540번지 7호 화창목욕탕 (도로명 : 대구광역시 북구 매천로 73 (매천동)),대구광역시 북구 매천로 73 (매천동),2024-07-26
생활용수,대구광역시 북구 동천동 896번지 2호 (제1호공) (도로명 : 대구광역시 북구 학정로 439 (동천동(제1호공))),대구광역시 북구 학정로 439 (동천동 칠곡메가타운),2024-07-26
생활용수,대구광역시 북구 동천동 896번지 2호 (제2호공) (도로명 : 대구광역시 북구 학정로 439 (동천동(제2호공))),대구광역시 북구 학정로 439 (동천동 칠곡메가타운),2024-07-26
생활용수,대구광역시 북구 침산동 137번지 6호 대륙세차장 (도로명 : 대구광역시 북구 침산남로 169 (침산동대륙세차장)),대구광역시 수성구 달구벌대로492길 25 (범어동),2024-07-26
생활용수,대구광역시 북구 읍내동 302번지 5호 (도로명 : 대구광역시 북구 칠곡중앙대로126길 6 (읍내동)),대구광역시 북구 칠곡중앙대로126길 7-12 101동 1103호 (읍내동 칠곡3차보성타운),2024-07-26
생활용수,대구광역시 북구 침산동 1188번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 태전동 1075번지 59호 (도로명 : 대구광역시 북구 칠곡중앙대로52길 42-1 (태전동)),대구광역시 북구 칠곡중앙대로52길 42-1 (태전동),2024-07-26
생활용수,대구광역시 북구 대현동 158번지 1호 해바라기주유소 (도로명 : 대구광역시 북구 대현로 81 (대현동해바라기주유소)),서울특별시 종로구 종로 26 SK빌딩 (서린동),2024-07-26
