지사,선박명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
부산지사,부산936호,9.00 ,21.00 ,11.00 ,13.00 ,26.00 ,27.00 ,20.00 ,30.00 ,0.00 ,78.00 ,40.00 ,0.00 ,
부산지사,파란호,22.00 ,30.00 ,19.10 ,16.30 ,24.50 ,18.50 ,285.00 ,82.80 ,3.30 ,0.00 ,0.10 ,0.00 ,
부산지사,항만정화1호,15.00 ,13.50 ,28.00 ,25.50 ,10.60 ,16.00 ,37.00 ,176.00 ,22.00 ,17.00 ,7.80 ,1.30 ,
부산지사,항만정화2호,20.00 ,22.00 ,23.00 ,38.50 ,27.00 ,28.00 ,135.50 ,104.00 ,3.50 ,2.50 ,4.00 ,1.50 ,
인천지사,청항1호,10.90 ,16.00 ,24.00 ,49.00 ,28.60 ,53.30 ,20.40 ,52.80 ,21.30 ,20.60 ,39.35 ,43.50 ,
인천지사,청항2호,15.00 ,35.80 ,37.65 ,31.60 ,44.22 ,21.80 ,34.33 ,52.40 ,24.10 ,25.20 ,36.50 ,8.20 ,
인천지사,에코인천호,8.00 ,9.50 ,30.00 ,10.50 ,63.00 ,62.00 ,59.00 ,61.00 ,22.50 ,24.50 ,12.30 ,3.00 ,
여수지사,여청호,2.60 ,2.50 ,2.80 ,3.20 ,2.30 ,2.70 ,44.80 ,16.60 ,1.17 ,0.18 ,0.10 ,0.03 ,
여수지사,여청2호,2.50 ,5.50 ,4.00 ,6.50 ,3.10 ,3.60 ,30.30 ,24.50 ,20.90 ,7.80 ,5.90 ,1.30 ,
울산지사,청화호,1.10 ,1.90 ,4.30 ,3.00 ,6.80 ,7.00 ,14.08 ,46.40 ,29.15 ,9.35 ,1.78 ,2.30 ,
울산지사,청화2호,6.85 ,2.30 ,0.30 ,0.14 ,9.78 ,0.15 ,5.85 ,14.10 ,34.85 ,8.80 ,2.40 ,0.00 ,
대산지사,황금산호,2.30 ,1.40 ,2.40 ,2.90 ,4.10 ,6.40 ,30.70 ,0.40 ,3.80 ,1.50 ,7.70 ,0.50 ,
마산지사,푸르미2호,8.50 ,3.00 ,4.00 ,7.00 ,13.00 ,11.00 ,151.00 ,138.50 ,196.00 ,47.00 ,24.00 ,0.00 ,
마산지사,푸르미1호(신),11.80 ,3.45 ,2.68 ,0.68 ,11.25 ,21.00 ,140.00 ,235.00 ,91.50 ,41.70 ,63.50 ,18.00 ,
동해지사,해파랑호,1.51 ,0.43 ,0.66 ,0.70 ,3.21 ,1.60 ,3.10 ,8.00 ,1.03 ,1.64 ,1.65 ,0.40 ,
군산지사,군산청해호,11.40 ,4.00 ,42.00 ,14.00 ,15.50 ,12.50 ,44.20 ,43.30 ,16.00 ,36.00 ,6.10 ,0.00 ,
포항지사,포항해양3호,1.60 ,4.20 ,3.50 ,4.40 ,7.51 ,2.25 ,9.50 ,12.15 ,5.00 ,3.20 ,10.80 ,4.90 ,
평택지사,청누리호,6.15 ,2.60 ,6.35 ,18.40 ,12.10 ,11.30 ,38.90 ,3.70 ,17.10 ,4.40 ,0.25 ,0.15 ,
목포지사,목포청해호,2.80 ,3.00 ,2.08 ,4.43 ,1.35 ,1.03 ,128.60 ,34.15 ,0.15 ,0.16 ,0.01 ,0.05 ,
목포지사,청해2호,1.37 ,1.75 ,2.45 ,3.00 ,2.90 ,1.55 ,218.30 ,23.80 ,6.20 ,5.10 ,0.05 ,0.00 ,
제주지사,온바당호,0.90 ,1.05 ,3.47 ,34.45 ,0.00 ,0.85 ,17.20 ,1.88 ,0.00 ,0.35 ,2.25 ,0.10 ,
제주지사,온바르호,6.00 ,5.50 ,6.95 ,1.40 ,10.60 ,0.85 ,7.85 ,3.10 ,0.25 ,3.65 ,0.50 ,1.10 ,
