시설명,종류,소재지주소,운영시기,운영시작시각,운영종료시각,조성연도(재조성),비고,위도,경도,데이터기준일자
침산공원,폭포,대구광역시 북구 침산동 1645-27 ,05~09월,10:00,18:00,1995,"날씨, 기온 및 계절에 따라 탄력적 운영",35.89024869,128.5832452,2024-05-01
침산공원,물놀이장,대구광역시 북구 침산동 1381-1 ,07~08월,11:00,16:40,2017,"날씨, 기온 및 계절에 따라 탄력적 운영",35.89316999,128.583034,2024-05-01
연암공원,벽천,대구광역시 북구 산격동 산 17-7 ,05~09월,10:00,18:00,2003,"날씨, 기온 및 계절에 따라 탄력적 운영",35.89951522,128.603076,2024-05-01
연암공원,물놀이장,대구광역시 북구 산격동 산 71-1 ,07~08월,11:00,16:40,2018,"날씨, 기온 및 계절에 따라 탄력적 운영",35.89837432,128.6023251,2024-05-01
운 암 지,폭포,대구광역시 북구 구암동 349 ,05~09월,10:00,18:00,2019,"날씨, 기온 및 계절에 따라 탄력적 운영",35.93240689,128.567486,2024-05-01
함지공원,분수(고사),대구광역시 북구 구암동 773 ,미운영,00:00,00:00,2001,"날씨, 기온 및 계절에 따라 탄력적 운영",35.9423877,128.5686991,2024-05-01
함지공원,물놀이장,대구광역시 북구 구암동 773 ,07~08월,11:00,16:40,2015,"날씨, 기온 및 계절에 따라 탄력적 운영",35.9423877,128.5686991,2024-05-01
매천공원,분수(바닥),대구광역시 북구 매천동 671 ,06~08월,12:00,17:30,2011,"날씨, 기온 및 계절에 따라 탄력적 운영",35.90924952,128.5447409,2024-05-01
대불공원,분수(안개),대구광역시 북구 산격동 119-1 ,미운영,00:00,00:00,2002,"날씨, 기온 및 계절에 따라 탄력적 운영",35.90453998,128.6163751,2024-05-01
매잠공원,분수(용출),대구광역시 북구 산격동 724-12 ,07~09월,09:00,18:00,2003,"날씨, 기온 및 계절에 따라 탄력적 운영",35.90109244,128.5958873,2024-05-01
구암공원,분수(바닥),대구광역시 북구 구암동 694 ,06~08월,12:00,17:30,2015,"날씨, 기온 및 계절에 따라 탄력적 운영",35.92845533,128.5567748,2024-05-01
파란공원,물놀이장,대구광역시 북구 태전동 1104 ,07~08월,11:00,16:40,2016,"날씨, 기온 및 계절에 따라 탄력적 운영",35.91296539,128.5461846,2024-05-01
태전공원,폭포,대구광역시 북구 태전동 938 ,05~09월,07:30,18:00,2018,"날씨, 기온 및 계절에 따라 탄력적 운영",35.93164981,128.5461583,2024-05-01
한강공원,물놀이장,대구광역시 북구 사수동 811 ,07~08월,11:00,16:40,2018,"날씨, 기온 및 계절에 따라 탄력적 운영",35.89872445,128.5136068,2024-05-01
신기공원,물놀이장,대구광역시 북구 산격동 1620 ,07~08월,11:00,16:40,2020,"날씨, 기온 및 계절에 따라 탄력적 운영",35.90752597,128.6088093,2024-05-01
동평공원,분수(바닥),대구광역시 북구 동천동 915-2,06~08월,12:00,17:30,2020,"날씨, 기온 및 계절에 따라 탄력적 운영",35.938346,128.560596,2024-05-01
으뜸공원,물놀이장,대구광역시 북구 서변동 1763,07~08월,11:00,16:40,2022,"날씨, 기온 및 계절에 따라 탄력적 운영",35.917818,128.596281,2024-05-01
들샘공원,분수(바닥),대구광역시 북구 복현동 201-1,06~08월,12:00,17:30,2022,"날씨, 기온 및 계절에 따라 탄력적 운영",35.896385,128.617263,2024-05-01
질마당공원,분수(바닥),대구광역시 북구 학정동 939-3,06~08월,12:00,17:30,2023,"날씨, 기온 및 계절에 따라 탄력적 운영",35.95069,128.5659,2024-05-01
