발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2023-12-31 17:12:00,12,17,창원,영해,34 | 58 | 24,128 | 37 | 55,양호,연료고갈,운항저해,1,1,1,0,0,0,고무보트,0.1
2023-12-31 16:55:00,12,16,평택,영해,37 | 2 | 3,126 | 33 | 41,양호,관리소홀,전복,1,0,0,0,0,0,어선,4.58
2023-12-31 11:31:00,12,11,울진,영해,36 | 20 | 15,129 | 23 | 46,양호,정비불량,기관손상,1,1,1,0,0,0,어선,4.99
2023-12-31 09:34:00,12,9,목포,영해,34 | 29 | 12,125 | 59 | 22,양호,정비불량,기관손상,1,9,9,0,0,0,화물선,1607
2023-12-31 07:53:00,12,7,통영,영해,34 | 41 | 8,128 | 34 | 58,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,4.3
2023-12-31 02:35:00,12,2,울진,영해-EEZ,36 | 34 | 13,129 | 50 | 13,양호,정비불량,기관손상,1,4,4,0,0,0,어선,9.77
2023-12-31 00:24:00,12,0,포항,영해,35 | 42 | 2,130 | 34 | 45,양호,안전부주의,작업 중 인명사상,1,1,0,0,1,0,어선,89
2023-12-30 21:59:00,12,21,제주,영해,33 | 25 | 18,126 | 15 | 24,양호,운항부주의,좌초/좌주,1,6,6,0,0,0,어선,22
2023-12-30 16:43:00,12,16,사천,항계 내,34 | 46 | 44,128 | 9 | 20,양호,기타 ,부유물감김,1,22,22,0,0,0,낚시어선,9.77
2023-12-30 16:30:00,12,16,창원,영해,35 | 5 | 19,128 | 41 | 30,양호,연료고갈,운항저해,1,2,2,0,0,0,모터보트,1.4
2023-12-30 15:38:00,12,15,부산,항계 내,35 | 2 | 56,128 | 55 | 27,양호,운항부주의,좌초/좌주,1,3,3,0,0,0,모터보트,5
2023-12-30 14:35:00,12,14,울산,영해,35 | 23 | 11,129 | 30 | 20,양호,운항부주의,충돌,1,5,5,0,0,0,어선,21
2023-12-30 14:35:00,12,14,울산,영해,35 | 23 | 11,129 | 30 | 20,양호,운항부주의,충돌,1,25,25,0,0,0,유조선,55898
2023-12-30 13:03:00,12,13,목포,영해,34 | 45 | 24,126 | 11 | 33,양호,운항부주의,부유물감김,1,68,68,0,0,0,여객선,320
2023-12-30 12:47:00,12,12,군산,영해,35 | 55 | 38,126 | 10 | 18,양호,안전부주의,전복,1,4,4,0,0,0,어선,1.66
2023-12-30 12:41:00,12,12,포항,영해,35 | 51 | 48,129 | 36 | 16,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,화물선,3030
2023-12-30 11:19:00,12,11,속초,항계 내,38 | 30 | 2,128 | 25 | 44,양호,정비불량,좌초/좌주,1,1,1,0,0,0,어선,2.99
2023-12-30 10:26:00,12,10,포항,항계 내,36 | 2 | 30,129 | 24 | 47,양호,운항부주의,기관손상,1,1,1,0,0,0,어선,3
2023-12-30 08:50:00,12,8,제주,영해,33 | 34 | 0,126 | 40 | 0,양호,운항부주의,부유물감김,1,5,5,0,0,0,어선,3
2023-12-30 08:30:00,12,8,제주,영해,33 | 21 | 1,126 | 10 | 59,양호,정비불량,추진기손상,1,1,1,0,0,0,모터보트,1.73
2023-12-29 21:32:00,12,21,울진,영해,36 | 57 | 22,129 | 39 | 1,양호,정비불량,키손상,1,4,4,0,0,0,어선,5.91
2023-12-29 17:49:00,12,17,평택,영해,37 | 8 | 22,126 | 30 | 16,양호,정비불량,기관손상,1,9,9,0,0,0,화물선,1708
2023-12-29 16:04:00,12,16,통영,영해,34 | 47 | 38,128 | 21 | 43,양호,배터리 방전,운항저해,1,1,1,0,0,0,어선,1.62
2023-12-29 15:55:00,12,15,속초,영해,38 | 5 | 46,128 | 42 | 34,양호,정비불량,기관손상,1,3,3,0,0,0,모터보트,0.47
2023-12-29 15:21:00,12,15,포항,영해,36 | 8 | 47,129 | 24 | 51,양호,운항부주의,기관손상,1,1,1,0,0,0,모터보트,1.8
2023-12-29 13:57:00,12,13,창원,영해,35 | 1 | 45,128 | 43 | 58,양호,배터리 방전,운항저해,1,7,7,0,0,0,어선,3.13
2023-12-29 12:58:00,12,12,제주,영해,33 | 31 | 60,126 | 25 | 0,양호,정비불량,추진기손상,1,2,2,0,0,0,어선,5.42
2023-12-29 10:46:00,12,10,부산,항계 내,35 | 5 | 43,129 | 1 | 44,양호,운항부주의,충돌,1,13,13,0,0,0,어선,139
2023-12-29 10:46:00,12,10,부산,항계 내,35 | 5 | 43,129 | 1 | 44,양호,운항부주의,충돌,1,11,11,0,0,0,어선,308
2023-12-29 09:27:00,12,9,창원,영해,35 | 1 | 1,128 | 39 | 34,양호,정비불량,기관손상,1,2,2,0,0,0,어선,3.43
2023-12-29 08:52:00,12,8,보령,영해,36 | 10 | 31,126 | 19 | 26,양호,운항부주의,부유물감김,1,23,23,0,0,0,낚시어선,9.77
2023-12-29 04:51:00,12,4,제주,영해,33 | 34 | 0,126 | 31 | 0,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,6.67
2023-12-28 16:50:00,12,16,여수,항계 내,34 | 4 | 55,127 | 2 | 35,양호,운항부주의,기관손상,1,2,2,0,0,0,어선,9.77
2023-12-28 15:38:00,12,15,제주,영해,33 | 58 | 60,126 | 16 | 60,양호,정비불량,추진기손상,1,3,3,0,0,0,낚시어선,4.96
2023-12-28 05:21:00,12,5,완도,항계 내,34 | 10 | 0,126 | 21 | 0,양호,운항부주의,부유물감김,1,41,41,0,0,0,기타,450
2023-12-27 21:53:00,12,21,목포,영해,34 | 28 | 3,126 | 4 | 39,양호,정비불량,키손상,1,5,5,0,0,0,예부선,107
2023-12-27 16:53:00,12,16,목포,영해,34 | 15 | 38,125 | 38 | 6,양호,운항부주의,운항저해,1,19,19,0,0,0,낚시어선,9.77
2023-12-27 14:16:00,12,14,제주,영해,33 | 52 | 0,126 | 19 | 0,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,3.59
2023-12-27 13:13:00,12,13,사천,항계 내,34 | 41 | 39,128 | 3 | 29,양호,운항부주의,좌초/좌주,1,3,3,0,0,0,낚시어선,3.01
2023-12-27 12:37:00,12,12,통영,영해,34 | 49 | 41,128 | 33 | 15,양호,정비불량,침수,1,4,4,0,0,0,어선,19
2023-12-27 11:50:00,12,11,완도,항계 내,34 | 20 | 39,126 | 47 | 51,양호,배터리 방전,운항저해,1,2,2,0,0,0,어선,1
2023-12-27 11:43:00,12,11,평택,영해,37 | 2 | 26,126 | 27 | 20,양호,관리소홀,표류,1,0,0,0,0,0,고무보트,0.1
2023-12-27 11:25:00,12,11,목포,영해,36 | 9 | 7,126 | 25 | 25,양호,운항부주의,전복,1,6,5,0,1,0,어선,9.77
2023-12-27 09:04:00,12,9,제주,영해,33 | 28 | 35,126 | 15 | 25,양호,정비불량,기관손상,1,1,1,0,0,0,어선,3
2023-12-27 06:44:00,12,6,완도,항계 내,34 | 4 | 60,127 | 9 | 0,양호,정비불량,기관손상,1,15,15,0,0,0,낚시어선,9.77
2023-12-27 04:41:00,12,4,제주,영해,33 | 19 | 60,126 | 9 | 22,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,3.65
2023-12-27 01:44:00,12,1,동해,영해-EEZ,37 | 52 | 45,132 | 42 | 42,황천4급,운항부주의,충돌,1,7,7,0,0,0,어선,29
2023-12-27 01:44:00,12,1,동해,영해-EEZ,37 | 52 | 45,132 | 42 | 42,황천4급,운항부주의,충돌,1,12,12,0,0,0,어선,71
2023-12-27 00:31:00,12,0,포항,영해,36 | 7 | 6,129 | 29 | 32,양호,운항부주의,기관손상,1,2,2,0,0,0,어선,4
2023-12-26 17:07:00,12,17,제주,영해,33 | 34 | 11,126 | 41 | 19,양호,배터리 방전,운항저해,1,2,2,0,0,0,모터보트,4.05
2023-12-26 08:18:00,12,8,목포,영해,35 | 10 | 5,126 | 20 | 48,양호,운항부주의,부유물감김,1,19,19,0,0,0,여객선,167
2023-12-26 08:08:00,12,8,목포,영해,34 | 35 | 43,125 | 55 | 48,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,75
2023-12-26 06:44:00,12,6,서귀포,항계 내,33 | 28 | 0,126 | 55 | 0,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,3.46
2023-12-26 06:38:00,12,6,여수,항계 내,34 | 44 | 6,127 | 45 | 3,양호,운항부주의,충돌,1,2,2,0,0,0,어선,1.98
2023-12-26 06:38:00,12,6,여수,항계 내,34 | 44 | 6,127 | 45 | 3,양호,운항부주의,충돌,1,5,5,0,0,0,어선,11
2023-12-26 05:26:00,12,5,부산,항계 내,35 | 2 | 39,129 | 5 | 30,양호,관리소홀,침수,1,1,1,0,0,0,예부선,83
2023-12-26 05:07:00,12,5,포항,영해,36 | 0 | 29,129 | 34 | 45,양호,운항부주의,좌초/좌주,1,6,6,0,0,0,어선,9.77
2023-12-26 04:14:00,12,4,목포,영해,34 | 19 | 57,125 | 54 | 28,양호,운항부주의,부유물감김,1,18,18,0,0,0,낚시어선,9.77
2023-12-25 21:12:00,12,21,부산,항계 내,35 | 3 | 51,129 | 2 | 22,양호,운항부주의,충돌,1,7,7,0,0,0,어선,59
2023-12-25 21:12:00,12,21,부산,항계 내,35 | 3 | 51,129 | 2 | 22,양호,운항부주의,충돌,1,15,15,0,0,0,화물선,4064
2023-12-25 19:52:00,12,19,평택,항계 내,37 | 0 | 36,126 | 18 | 23,양호,정비불량,기관손상,1,8,8,0,0,0,유조선,1097
2023-12-25 10:42:00,12,10,통영,영해-EEZ,34 | 8 | 30,128 | 41 | 3,양호,정비불량,기관손상,1,8,8,0,0,0,어선,40
2023-12-25 09:37:00,12,9,인천,항계 내,37 | 19 | 32,126 | 27 | 13,양호,정비불량,기관손상,1,13,13,0,0,0,화물선,2268
2023-12-25 09:25:00,12,9,제주,영해,33 | 48 | 0,126 | 7 | 60,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,5.48
