연번,허가번호,기 관 명,소 재 지
1,1,(학)가톨릭대학교 서울성모병원,서울특별시 서초구 반포대로 222
2,2,순천향대학교부속부천병원,경기도 부천시 원미구 조마루로 170
3,3,차의과학대학교 강남차병원,서울특별시 강남구 논현로 566
4,6,고려대학교의과대학부속구로병원,서울특별시 구로구 구로동로 148
5,7,고려대학교 안암병원,서울특별시 성북구 인촌로 73
6,8,연세대학교 의과대학 세브란스병원,서울특별시 서대문구 연세로 50
7,10,화순전남대학교병원,전라남도 화순군 화순읍 서양로 322
8,11,서울대학교병원,서울특별시 종로구 대학로 101
9,13,(학)가톨릭학원 가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10
10,14,경북대학교병원,대구광역시 중구 동덕로 130
11,15,재단법인 아산사회복지재단 서울아산병원,서울특별시 송파구 올림픽로43길 88
12,17,아주대학교병원,경기도 수원시 영통구 월드컵로 164
13,18,삼성서울병원,서울특별시 강남구 일원로 81
14,19,원광대학교병원,전라북도 익산시 무왕로 895
15,20,가톨릭대학교 성의교정,서울특별시 서초구 반포대로 222
16,23,충남대학교병원,대전광역시 중구 문화로 282
17,24,계명대학교 동산의료원,"대구광역시 달서구 달구벌대로 1035, 달구벌대로 1053"
18,25,부산대학교병원,부산광역시 서구 구덕로 179
19,27,전북대학교병원,전라북도 전주시 덕진구 건지로 20
20,28,강남세브란스병원,서울특별시 강남구 도곡로 235
21,29,경상대학교병원,경상남도 진주시 강남로 79
22,30,충북대학교병원,충청북도 청주시 흥덕구 1순환로 776
23,31,강원대학교병원,강원도 춘천시 백령로 156(효자동)
24,32,전남대학교병원,"광주광역시 동구 제봉로 42, 백서로 160"
25,33,인제대학교 부산백병원,부산광역시 부산진구 복지로 75
26,34,순천향대학교 의과대학,충청남도 천안시 동남구 순천향6길 31
27,35,학교법인을지학원 대전을지대학교병원,대전광역시 서구 둔산서로 95
28,36,제주대학교병원,제주특별자치도 제주시 아란13길 15
29,38,한국원자력의학원,서울특별시 노원구 노원로 75
30,39,의료법인 길 의료재단,인천광역시 남동구 남동대로774번길 21
31,40,건국대학교병원,서울특별시 광진구 능동로 120-1
32,41,인하대학교의과대학부속병원,인천광역시 중구 인항로 27
