진료년월,서식,인원(청구건수),요양급여총액,본인부담(B),지원금,장애인(C),청구금액(D)
2014-01,건강보험 외래,260.0,16766020.0,2627900.0,664250.0,0.0,14138120.0
2014-01,건강보험 입원,177.0,229439520.0,39539180.0,251520.0,172700.0,189727640.0
2014-01,의료급여 외래,37.0,1929460.0,73780.0,0.0,0.0,1855680.0
2014-01,의료급여 입원,81.0,118172210.0,206430.0,0.0,0.0,117965780.0
2014-02,건강보험 외래,248.0,14845890.0,2307600.0,584500.0,0.0,12538290.0
2014-02,건강보험 입원,162.0,204558620.0,35082300.0,214720.0,250080.0,169226240.0
2014-02,의료급여 외래,54.0,2878380.0,102010.0,0.0,10440.0,2765930.0
2014-02,의료급여 입원,75.0,97133660.0,0.0,0.0,0.0,97133660.0
2014-03,건강보험 외래,293.0,19557310.0,3849100.0,650300.0,0.0,15708210.0
2014-03,건강보험 입원,177.0,237044780.0,39899850.0,490440.0,283690.0,196861240.0
2014-03,의료급여 외래,55.0,2430530.0,74990.0,0.0,0.0,2355540.0
2014-03,의료급여 입원,75.0,98498360.0,81990.0,0.0,51060.0,98416370.0
2014-04,건강보험 외래,307.0,18710530.0,3041700.0,681450.0,3000.0,15665830.0
2014-04,건강보험 입원,171.0,226058380.0,37632870.0,460970.0,132720.0,188292790.0
2014-04,의료급여 외래,64.0,3492440.0,67670.0,0.0,5220.0,3419550.0
2014-04,의료급여 입원,74.0,91538580.0,0.0,0.0,0.0,91538580.0
2014-05,건강보험 외래,277.0,17376430.0,2545800.0,679050.0,2000.0,14828630.0
2014-05,건강보험 입원,176.0,39699720.0,39699720.0,452070.0,0.0,0.0
2014-05,의료급여 외래,74.0,4145050.0,79380.0,0.0,5220.0,4060450.0
2014-05,의료급여 입원,72.0,90343440.0,7850.0,0.0,0.0,90335590.0
2014-06,건강보험 외래,287.0,19226110.0,3334300.0,668000.0,3000.0,15891810.0
2014-06,건강보험 입원,176.0,244130670.0,39699720.0,452070.0,0.0,204430950.0
2014-06,의료급여 외래,73.0,4076810.0,77450.0,0.0,0.0,3999360.0
2014-06,의료급여 입원,66.0,87350680.0,0.0,0.0,0.0,87350680.0
2014-07,건강보험 외래,273.0,16788210.0,2381000.0,637800.0,1000.0,14406210.0
2014-07,건강보험 입원,167.0,237480000.0,39770620.0,549200.0,0.0,197709380.0
2014-07,의료급여 외래,65.0,4333520.0,57390.0,0.0,2860.0,4273270.0
2014-07,의료급여 입원,69.0,89803680.0,0.0,0.0,0.0,89803680.0
2014-08,건강보험 외래,265.0,17798120.0,3214300.0,595400.0,2000.0,14581820.0
2014-08,건강보험 입원,190.0,240747700.0,39944060.0,778840.0,0.0,200781280.0
2014-08,의료급여 외래,61.0,4103000.0,74850.0,0.0,0.0,4028150.0
2014-08,의료급여 입원,68.0,91085390.0,0.0,0.0,0.0,91085390.0
2014-09,건강보험 외래,255.0,17135090.0,2668700.0,649350.0,5100.0,14461290.0
