연령대,성별,질환,BMI(kg/m2),근육량(kg),체지방량(kg),체지방률(%),복부둘레(cm),복부지방률(%),내장지방(cm2),BMI(kg/m2).1,근육량(kg).1,체지방량(kg).1,체지방률(%).1,복부둘레(cm).1,복부지방률(%).1,내장지방(cm2).1,BMI(kg/m2).2,근육량(kg).2,체지방량(kg).2,체지방률(%).2,복부둘레(cm).2,복부지방률(%).2,내장지방(cm2).2
30~34세,남,고혈압,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30~34세,남,당뇨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30~34세,남,이상지질,29.15,59.05,27.6,30.8,102.2,0.96,111.05,28.9,58.5,27.45,30.85,100.75,0.95,108.55,-0.86,-0.93,-0.54,0.16,-1.42,-1.05,-2.25
30~34세,남,비만,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30~34세,녀,고혈압,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30~34세,녀,당뇨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30~34세,녀,이상지질,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30~34세,녀,비만,25.87,41.42,25.7,36.78,91.88,0.92,45.09,24.5,40.69,25.13,36.33,89.01,0.92,44.63,-5.29,-1.75,-2.21,-1.22,-3.12,-0.65,-1.02
35~39세,남,고혈압,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35~39세,남,당뇨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
