기관명,기관종류,지역,우편번호,주소,상세주소,문의전화
충남대학교병원,상급종합병원,대전,35015,대전광역시 중구 문화로 282,충남대학교병원 (대사동),042-280-7640
대구의료원,종합병원,대구,41845,대구광역시 서구 평리로 157,대구의료원 호스피스센터 (중리동),053-560-9300
대구파티마병원,종합병원,대구,41199,대구광역시 동구 아양로 99,대구파티마병원 5층 (신암동),053-940-7515
엠마오사랑병원,병원,전북,55046,전라북도 전주시 완산구 서원로 402-35,엠마오사랑병원 (중화산동1가),063-230-5300
전`진`상의원,의원,서울,8574,서울특별시 금천구 탑골로3가길 22,전`진`상의원 (시흥동),02-802-9313
부산성모병원,종합병원,부산,48575,부산광역시 남구 용호로232번길 25-14,부산성모병원 (용호동),051-933-7133
고려대구로병원,상급종합병원,서울,8308,서울특별시 구로구 구로동로 148,고려대구로병원 (구로동),02-2626-2807
성이시돌복지의원,의원,제주,63021,제주특별자치도 제주시 한림읍 산록남로 50,성이시돌복지의원,064-796-2244
계명대학교동산병원,상급종합병원,대구,41931,대구광역시 중구 달성로 56,계명대학교 동산병원 74병동 (동산동),053-250-7738
목포중앙병원,종합병원,전남,58615,전라남도 목포시 영산로 623,(석현동),061-280-3870
전북대학교병원,상급종합병원,전북,54907,전라북도 전주시 덕진구 건지로 20,전북대학교병원 (금암동),063-250-2478
갈바리의원,의원,강원,25528,강원도 강릉시 임영로163번길 24-8,갈바리의원 (홍제동),033-644-4992
가톨릭대학교성바오로병원,종합병원,서울,2559,서울특별시 동대문구 왕산로 180,가톨릭대학교 성바오로병원 7층 (전농동),02-958-2234
순천성가롤로병원,종합병원,전남,57931,전라남도 순천시 순광로 221,성가롤로병원 (조례동),061-720-6070
대구보훈병원,종합병원,대구,42835,대구광역시 달서구 월곡로 60,대구보훈병원 3층 31병동 (도원동),053-630-7310
화순전남대학교병원,상급종합병원,전남,58128,전라남도 화순군 화순읍 서양로 322,화순전남대학교병원,061-379-8710
서울특별시서북병원,병원,서울,3433,서울특별시 은평구 갈현로7길 49,서울특별시 서북병원 본관 5층 25병동 (역촌동),02-3156-3025
모현센터의원,의원,경기,11146,경기도 포천시 왕방로 210,모현센터의원 (신읍동),031-536-8998
가톨릭대학교서울성모병원,상급종합병원,서울,6591,서울특별시 서초구 반포대로 222,가톨릭대학교 서울성모병원 (반포동),02-2258-1907
천주의성요한병원,의원,광주,61245,광주광역시 북구 태봉로 32,천주의성요한의원 (유동),062-510-3071
남원의료원,종합병원,전북,55726,전라북도 남원시 충정로 365,호스피스완화의료병동 (고죽동),063-620-1233
가톨릭대학교대전성모병원,종합병원,대전,34943,대전광역시 중구 대흥로 64,가톨릭대학교 대전성모병원 (대흥동),042-220-9004
광주기독병원,종합병원,광주,61661,광주광역시 남구 양림로 37,광주기독병원 (양림동),062-650-5450
국민건강보험일산병원,종합병원,경기,10444,경기도 고양시 일산동구 일산로 100,국민건강보험 일산병원 (백석동),031-900-3342
샘물호스피스병원,병원,경기,17180,경기도 용인시 처인구 백암면 고안로51번길 112-25,샘물호스피스병원,031-329-2999
가톨릭대학교부천성모병원,종합병원,경기,14647,경기도 부천시 원미구 소사로 327,가톨릭대학교 부천성모병원 (소사동),032-340-2530
가톨릭대학교성빈센트병원,종합병원,경기,16247,경기도 수원시 팔달구 중부대로 93,가톨릭대학교 성빈센트병원 6층 (지동),031-249-7758
수원기독의원,의원,경기,16310,경기도 수원시 장안구 송정로118번길 21,수원기독의원 (조원동),031-254-6571
안양샘병원,종합병원,경기,14030,경기도 안양시 만안구 삼덕로 9,안양샘병원 본관3층 완화의료병동 (안양동),031-467-9259
창원파티마병원,종합병원,경남,51394,경상남도 창원시 의창구 창이대로 45,창원파티마병원 (명서동),055-270-1000
