신고일시,접수일시,수계,지원여부,주소,상세주소,등록일시,수정일자,삭제여부,첨부파일,등록기관
2010-03-18 0:00,2010-03-18 0:00,낙동강,Y,경상북도 경주시 강동면 국당리 ,,,,N,,1.0
2010-03-30 0:00,2010-03-30 0:00,영산강,Y,광주광역시 북구 용전동,,,,N,,1.0
2010-04-22 0:00,2010-04-22 0:00,한강,N,경기도 여주시 대신면 천남리,,,,N,,1.0
2010-05-30 0:00,2010-05-30 0:00,금강,N,충청남도 부여군 부여읍 자왕리,,,,N,,1.0
2010-06-06 0:00,2010-06-06 0:00,영산강,Y,광주광역시 서구 광천동,,,,N,,1.0
2010-06-12 0:00,2010-06-12 0:00,낙동강,N,경상남도 김해시 대동면 조눌리,,,,N,,1.0
2010-07-03 0:00,2010-07-03 0:00,한강,Y,경기도 여주시 강천면 이호리,,,,N,,1.0
2010-07-08 0:00,2010-07-08 0:00,영산강,Y,전라남도 나주시 세지면 성산리,,,,N,,1.0
2010-08-14 0:00,2010-08-14 0:00,낙동강,Y,경상남도 김해시 상동면 대감리,,,,N,,1.0
2010-08-31 0:00,2010-08-31 0:00,한강,N,강원도 원주시 부론면 법천리,,,,N,,1.0
2010-10-15 0:00,2010-10-15 0:00,낙동강,N,부산광역시 사상구 삼락동,,,,N,,1.0
2010-11-30 0:00,2010-11-30 0:00,영산강,Y,전라남도 나주시 이창동,,,,N,,1.0
2010-12-01 0:00,2010-12-01 0:00,금강,Y,세종특별자치시 종촌동,,,,N,,1.0
2010-12-07 0:00,2010-12-07 0:00,낙동강,N,경상남도 양산시 유산동,,,,N,,1.0
2010-12-16 0:00,2010-12-16 0:00,낙동강,N,대구광역시 달성군 다사읍 죽곡리,,,,N,,1.0
2010-12-19 0:00,2010-12-19 0:00,낙동강,Y,경상남도 양산시 원동면 용당리,,,,N,,1.0
2011-01-22 0:00,2011-01-22 0:00,낙동강,Y,경상남도 김해시 한림면 시산리,,,,N,,1.0
2011-01-26 0:00,2011-01-26 0:00,영산강,N,광주광역시 남구 승촌동,,,,N,,1.0
2011-02-07 0:00,2011-02-07 0:00,영산강,Y,전라남도 나주시 남평읍 남평리,,,,N,,1.0
2011-02-09 0:00,2011-02-09 0:00,영산강,Y,전라남도 나주시 다시면 죽산리,,,,N,,1.0
2011-02-21 0:00,2011-02-21 0:00,금강,Y,충청남도 부여군 석성면 봉정리,,,,N,,1.0
2011-02-23 0:00,2011-02-23 0:00,금강,Y,충청남도 부여군 세도면 가회리,,,,N,,1.0
2011-04-01 0:00,2011-04-01 0:00,영산강,N,광주광역시 광산구 장덕동,,,,N,,1.0
2011-04-07 0:00,2011-04-07 0:00,영산강,N,광주광역시 광산구 장덕동,,,,N,,1.0
2011-05-12 0:00,2011-05-12 0:00,낙동강,N,경상남도 창녕군 이방면 등림리,,,,N,,1.0
2011-05-26 0:00,2011-05-26 0:00,영산강,Y,전라북도 군산시 옥서면 옥봉리,,,,N,,1.0
2011-06-07 0:00,2011-06-07 0:00,낙동강,Y,경상북도 고령군 다산면 노곡리,,,,N,,1.0
2011-06-07 0:00,2011-06-07 0:00,한강,Y,경기도 양주시 광적면 가납리,,,,N,,1.0
2011-06-12 0:00,2011-06-12 0:00,낙동강,N,울산광역시 울주군 언양읍 구수리,,,,N,,1.0
2011-06-28 0:00,2011-06-28 0:00,금강,N,대전광역시 서구 복수동,,,,N,,1.0
2011-07-01 0:00,2011-07-01 0:00,한강,Y,경기도 양주시 봉양동,,,,N,,1.0
2011-07-21 0:00,2011-07-21 0:00,한강,Y,인천광역시 서구 대곡동,,,,N,,1.0
2011-07-23 0:00,2011-07-23 0:00,금강,Y,충청북도 청주시 청원구 오창읍 성재리,,,,N,,1.0
2011-08-07 0:00,2011-08-07 0:00,낙동강,Y,경상남도 김해시 주촌면 내삼리,,,,N,,1.0
2011-08-22 0:00,2011-08-22 0:00,낙동강,N,경상남도 김해시 한림면 가산리,,,,N,,1.0
2011-10-07 0:00,2011-10-07 0:00,낙동강,Y,경상남도 김해시 주촌면 내삼리,,,,N,,1.0
2011-10-23 0:00,2011-10-23 0:00,낙동강,N,경상남도 김해시 상동면 감노리,,,,N,,1.0
2011-10-23 0:00,2011-10-23 0:00,영산강,Y,광주광역시 서구 양동,,,,N,,1.0
