진료년도,시도,시군구,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2023,서울,강남구,3182688,18499074,20105055,2846868994070,2266023538230
2023,서울,강동구,1060832,10934670,12123283,1088246359320,830095118020
2023,서울,강서구,1163258,11007256,11812064,920174190360,693273186640
2023,서울,관악구,802366,7406066,7715653,455359586640,339951710740
2023,서울,구로구,897002,8270449,9201417,864688402090,670820184600
2023,서울,도봉구,466044,4722200,5148386,306407519750,232130806370
2023,서울,동대문구,887610,7540521,8413934,751410616150,569702520400
2023,서울,동작구,894750,7193429,7650726,715874688240,550436659320
2023,서울,마포구,962089,7085100,7249744,357897512510,265774299580
2023,서울,서대문구,1118858,8100061,9000470,1614096481370,1322431552130
2023,서울,성동구,659639,5437090,5774753,489496895980,377770546700
2023,서울,성북구,784099,7141020,7844100,731514284290,571316125520
2023,서울,영등포구,1368499,9813527,10836944,971942733270,738159757550
2023,서울,용산구,512383,3464384,3623331,337206651980,263573313250
2023,서울,은평구,774930,9023998,9627428,702443232260,543293801270
2023,서울,종로구,1434102,8210647,9121306,1634313422520,1298432215950
2023,서울,중구,860040,4959918,5059175,383614398220,285257669520
2023,서울,송파구,1984817,15700108,17445164,2437951337400,1970185057510
2023,서울,중랑구,625054,6991564,7471331,484955934830,367546098680
2023,서울,양천구,829298,7640585,8160116,643193950170,493321468540
2023,서울,서초구,1854078,11083044,11779410,1482126600020,1177376052170
2023,서울,노원구,924623,9427962,10021059,783991694770,611097867850
2023,서울,광진구,745303,6524908,6976336,592793128390,450441319750
2023,서울,강북구,565679,5546972,5876061,326086194580,245461189290
2023,서울,금천구,478879,4078476,4378136,246507935930,183484992640
2023,부산,부산남구,449022,4479997,5025568,292009607620,218143913910
2023,부산,부산동구,360293,2524497,3091189,278805920300,211983436330
2023,부산,부산동래구,731500,6233168,7499356,554519809120,415712810510
2023,부산,부산진구,1088560,9179783,10593322,980528169030,751408862480
2023,부산,부산북구,456650,5059562,5846311,387760501880,287345466440
2023,부산,부산서구,562877,4082005,5137662,1026487645360,831131998020
2023,부산,부산영도구,149433,1978869,2296958,132377238480,99815679510
2023,부산,부산중구,207717,1459410,1741231,135666621680,102448681780
2023,부산,부산해운대구,785018,7646920,8695535,741445660810,579489718590
2023,부산,부산사하구,471694,5490718,6628317,402368067190,303693976320
2023,부산,부산금정구,383765,3878537,4713285,256785814190,194589465830
2023,부산,부산강서구,210909,1845438,1921693,81498069000,60740165950
2023,부산,부산연제구,531635,4167770,4848539,307122787100,232167616270
2023,부산,부산수영구,443799,3792489,4552664,374051034420,287796984490
2023,부산,부산사상구,371774,3520674,4518816,376911443820,285725091420
2023,부산,부산기장군,254954,2784000,3107344,206150176120,163784032010
2023,인천,인천미추홀구,709013,7106640,8076790,540405010190,409923226000
2023,인천,인천동구,139248,1224476,1306112,75829542970,56299813280
2023,인천,인천부평구,916468,8937247,9608219,770985568640,585464720440
2023,인천,인천중구,400605,2928193,3323464,437905346800,343369446420
2023,인천,인천서구,893727,9517963,10460401,705119597150,533100974920
2023,인천,인천남동구,1011306,10253816,11524868,1028737471370,791550147380
2023,인천,인천연수구,630441,6029742,6317517,338409148740,251182208540
