년월,구분1,구분2,계(총계)(명),일반(총계)(명),기초(총계)(명),경감(총계)(명),의료(총계)(명),1등급(일반)(명),2등급(일반)(명),3등급(일반)(명),4등급(일반)(명),5등급(일반)(명),인지지원(일반)(명),1등급(기초)(명),2등급(기초)(명),3등급(기초)(명),4등급(기초)(명),5등급(기초)(명),인지지원(기초)(명),1등급(감경)(명),2등급(감경)(명),3등급(감경)(명),4등급(감경)(명),5등급(감경)(명),인지지원(감경)(명),1등급(의료)(명),2등급(의료)(명),3등급(의료)(명),4등급(의료)(명),5등급(의료)(명),인지지원(의료)(명)
2024-01,구입,실제인원,60838,26495,10895,22839,609,651,1822,7499,13529,2752,242,137,479,2442,6278,1452,107,440,1384,6362,12046,2463,144,9,27,173,337,59,4
2024-01,구입,이동변기,4886,2067,840,1927,52,24,121,568,1097,228,29,6,35,184,477,124,14,12,90,526,1047,239,13,0,1,14,28,7,2
2024-01,구입,목욕의자,7005,3108,1328,2514,55,48,190,802,1623,410,35,9,38,262,710,276,33,33,130,608,1385,322,36,0,2,15,28,10,0
2024-01,구입,지지용 손잡이 및 레일,12334,5239,2378,4580,137,50,291,1493,2774,589,42,9,74,509,1396,356,34,37,219,1232,2560,505,27,1,8,44,69,13,2
2024-01,구입,미끄럼방지용품,15203,5784,3545,5712,162,55,309,1583,3120,667,50,15,109,751,2021,598,51,53,254,1519,3189,658,39,2,1,39,99,18,3
2024-01,구입,(구)미끄럼방지양말,30308,12026,6498,11465,319,146,631,3334,6415,1377,123,45,220,1344,3865,954,70,97,511,3147,6269,1369,72,0,9,97,174,36,3
2024-01,구입,간이변기,1581,685,294,589,13,26,77,220,308,51,3,7,21,82,150,34,0,23,66,188,269,37,6,0,2,4,7,0,0
2024-01,구입,지팡이,9396,3887,2031,3388,90,20,139,990,2146,525,67,6,43,374,1205,364,39,19,102,832,1948,451,36,0,0,26,50,12,2
2024-01,구입,욕창예방방석,4281,1606,1045,1588,42,85,171,562,743,43,2,24,62,277,613,69,0,71,146,553,750,68,0,2,3,14,21,2,0
2024-01,구입,자세변환쿠션,1868,849,297,703,19,221,280,238,102,8,0,56,105,92,41,3,0,164,234,212,86,6,1,4,3,8,4,0,0
2024-01,구입,성인용보행기,10664,4792,1822,3943,107,32,201,1272,2657,570,60,7,53,353,1077,296,36,22,156,1003,2208,512,42,0,3,30,60,13,1
2024-01,구입,요실금팬티,20730,7777,5061,7670,222,30,311,2122,4313,919,82,12,117,1052,3035,785,60,37,279,2044,4325,933,52,0,3,63,125,29,2
2024-01,구입,욕창예방매트리스,3920,1838,527,1518,37,187,312,675,600,63,1,38,72,175,218,24,0,107,248,582,533,46,2,3,6,10,17,1,0
2024-01,구입,경사로(실내용),447,178,83,182,4,11,23,54,75,14,1,3,8,21,42,9,0,18,20,57,75,10,2,0,0,2,2,0,0
2024-01,대여,실제인원,217617,92945,42666,79592,2414,7998,13665,33547,34168,3372,195,1585,3449,12734,22313,2499,86,4961,10156,28820,32311,3215,129,120,277,903,1017,95,2
2024-01,대여,일반형 수동 휠체어,147472,64485,27331,53940,1716,5017,9465,23846,23628,2387,142,1059,2540,8900,13172,1590,70,3029,7017,20244,21316,2239,95,76,211,686,677,64,2
2024-01,대여,전동침대,111679,45542,24188,40770,1179,5328,8579,16229,14427,960,19,1045,2127,6993,12938,1080,5,3478,6471,14541,15318,949,13,80,166,407,492,34,0
2024-01,대여,수동침대,15,3,3,9,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1,5,2,0,0,0,0,0,0,0,0
2024-01,대여,이동욕조,497,163,141,186,7,25,27,64,45,2,0,16,27,43,53,2,0,24,32,76,52,2,0,0,2,5,0,0,0
2024-01,대여,목욕리프트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01,대여,배회감지기,2226,1099,208,896,23,12,31,238,494,288,36,2,4,37,102,53,10,4,26,206,383,255,22,1,0,2,13,7,0
