조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로로필 표층,클로로필 저층,투명도 표층
2021,동해,거진연안,16.15,11.42,33.59,33.75,8.25,8.16,8.98,9.01,1.32,1.11,2.4,7.01,2.47,2.52,40.97,60.61,45.83,70.14,153.15,175.88,6.85,14.18,17.76,23.76,165.8,208.52,6.48,6.81,1.64,1.06,8.88
2021,동해,속초연안,15.93,9.63,33.65,33.99,8.24,8.17,8.92,8.92,1.33,1.27,2.74,9.45,2.56,2.54,40.31,81.21,45.61,93.19,151.83,181.53,6.85,14.06,16.77,23.34,168.67,255.88,7.89,7.56,1.51,1.45,9.53
2021,동해,양양연안,16.06,9.7,33.73,33.96,8.24,8.09,8.65,8.91,1.46,1.4,5.45,12.82,2.35,2.84,25.49,100.54,33.29,116.2,167.54,224.43,6.48,20.28,16.56,28.77,150.24,347.95,7.19,6.96,1.33,0.57,10.44
2021,동해,주문진연안,15.66,12.02,33.86,33.92,8.22,8.16,9.11,8.83,1.41,1.38,5.78,13.53,2.38,2.3,38.8,49.06,46.97,64.89,159.35,175.13,6.96,9.78,16.17,20.92,157.74,172.0,6.82,6.76,1.39,1.59,9.45
2021,동해,강릉연안,16.04,9.05,33.9,33.98,8.2,8.08,8.76,8.64,1.31,1.35,2.93,9.73,2.69,2.76,44.38,129.25,50.0,141.74,139.05,208.92,7.98,21.53,16.68,29.59,168.87,368.03,7.33,8.04,1.1,0.74,10.95
2021,동해,동해연안,16.77,11.79,33.84,34.11,8.24,8.12,8.8,7.98,1.49,1.51,2.38,9.13,2.23,3.25,37.94,121.62,42.55,133.98,120.37,195.43,7.28,20.64,18.11,29.77,168.12,366.95,6.28,5.4,1.65,0.81,10.97
2021,동해,삼척연안,17.2,11.15,33.56,34.09,8.27,8.1,8.99,8.14,1.2,1.47,4.75,8.33,2.19,3.11,28.33,118.13,35.27,129.57,119.68,222.37,6.78,23.2,17.58,33.42,172.97,409.46,6.19,6.04,1.44,0.88,9.63
2021,동해,죽변연안,15.56,11.05,33.97,34.11,8.21,8.07,8.9,7.7,1.15,1.36,7.25,9.64,2.23,2.79,50.63,143.66,60.1,156.08,141.53,225.95,8.64,24.41,22.48,35.36,212.53,414.24,6.47,8.03,1.77,1.2,9.97
2021,동해,후포연안,17.22,9.89,33.65,34.22,8.27,8.06,8.99,7.63,1.14,1.05,4.1,3.72,2.21,2.88,44.64,172.23,50.95,178.82,143.48,258.27,7.27,28.86,19.02,37.47,179.69,511.74,6.33,5.47,1.17,0.68,9.94
2021,동해,축산연안,17.31,7.1,33.29,34.11,8.28,7.96,8.86,7.65,1.22,0.95,4.1,9.43,2.29,2.49,39.24,209.76,45.61,221.68,145.59,317.71,6.68,35.72,18.92,47.87,206.89,598.14,6.98,5.96,1.7,0.17,9.19
