일자,생활폐기물_반입량,삼원환경_반입량,음식협잡물_반입량,청라반입량,재활용잔재물_반입량,삼산_반입량,구월_반입량,쓰레기소각_1호기,쓰레기소각_2호기,음폐수소각_1호기,음폐수소각_2호기,침출수소각_1호기,침출수소각_2호기,일반바닥재_반출량,비산재_반출량,지정바닥재_반출량,고철_반출량,경유_금일입고량,경유_금일사용량,부생연료유_금일입고량,부생연료유_금일사용량,시수사용량,전력_수전량,전력_발전량,전력_매전량,스팀생산량,청라에너지스팀공급유량,청라에너지스팀공급열량,응축수회수유량,응축수회수열량,청라에너지판매열량,로온도_1호기,증기식_공기_예열기온도_1호기,보일러온도_1호기,집진시설온도_1호기,굴뚝온도_1호기,로온도_2호기,증기식_공기_예열기온도_2호기,보일러온도_2호기,집진시설온도_2호기,굴뚝온도_2호기,소각시설1호기_산소,소각시설1호기_일산화탄소,소각시설1호기_질소산화물,소각시설1호기_염화수소,소각시설1호기_먼지,소각시설1호기_유량,소각시설2호기_산소,소각시설2호기_일산화탄소,소각시설2호기_질소산화물,소각시설2호기_염화수소,소각시설2호기_먼지,소각시설2호기_유량,폐수처리관리_산성농도,폐수처리관리_일산화탄소D,폐수처리관리_방류량,폐수처리관리_재이용량
2022-01-01,565.09,0,0,1.63,0,0,0,186.36,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,448,26136,0.0,0.0,676.49,459.62,295.3,385.0,20.2,275.1,1005.71,78.75,245.96,143.99,166.93,0.0,0.0,0.0,0.0,0.0,11.31,8.16,0.0,0.43,0.81,49724.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13,0,0,0.0
2022-01-02,0.0,0,0,0.0,0,0,0,189.74,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,899,81,25488,0.0,0.0,679.79,512.09,330.2,444.0,23.1,307.1,988.78,79.91,245.73,150.33,152.12,0.0,0.0,0.0,0.0,0.0,11.15,6.94,0.0,0.25,1.02,51036.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13,0,0,11.8
2022-01-03,623.23,0,0,5.91,0,0,0,180.25,110.02,0,0,0,0,48.37,0.0,0,0.0,0,0,0,5494,260,29160,0.0,0.0,1187.47,827.16,537.1,753.0,42.4,494.7,959.81,78.35,244.71,145.98,154.76,941.0,94.13,231.51,143.65,173.86,11.23,9.47,0.0,0.51,0.8,49710.0,10.97,9.16,0.0,0.87,2.12,48776.0,8.13,0,0,41.0
2022-01-04,265.66,0,0,6.43,0,0,0,183.4,171.79,0,0,0,0,74.2,0.0,0,0.0,0,0,0,0,102,30096,0.0,0.0,1426.81,1040.27,676.2,962.0,56.8,619.4,926.48,79.5,244.61,147.56,148.9,940.92,92.91,240.4,142.26,173.92,10.94,8.35,0.0,1.37,0.84,50358.0,11.01,8.15,0.0,0.5,2.23,49358.0,8.09,0,0,43.6
2022-01-05,379.59,0,0,4.89,0,0,0,190.44,190.05,0,0,0,0,74.72,0.0,0,0.0,0,0,0,0,146,29772,0.0,0.0,1472.66,1065.96,692.5,976.0,54.1,638.4,938.48,78.46,245.37,147.59,167.33,943.33,92.21,239.4,145.86,174.31,10.87,8.76,0.0,1.43,0.77,51620.0,10.77,6.4,0.0,0.57,2.32,52860.0,8.09,0,0,51.8
2022-01-06,313.08,0,0,4.36,0,0,0,184.52,188.65,0,0,0,0,98.01,0.0,0,0.0,0,0,0,129,103,34488,0.0,0.0,1471.75,1042.73,677.0,952.0,52.9,624.1,931.99,77.9,243.08,145.91,172.21,937.47,92.28,239.45,147.24,173.47,11.62,16.55,0.0,2.21,1.12,48992.0,10.72,6.51,0.0,0.64,2.12,53342.0,8.11,0,0,61.2
2022-01-07,318.41,0,0,4.55,0,0,0,182.89,181.73,0,0,0,0,93.7,0.0,0,0.0,0,0,0,0,278,28080,0.0,0.0,1441.78,1071.42,696.0,976.0,54.0,642.0,976.1,0.0,0.0,0.0,172.38,946.44,0.0,0.0,0.0,175.01,11.14,12.54,0.0,2.34,1.38,50424.0,10.87,6.61,0.0,0.76,1.99,53036.0,8.07,0,0,37.6
2022-01-08,465.7,0,0,4.63,0,0,0,175.26,176.89,0,0,0,0,22.84,0.0,0,0.0,0,0,0,0,119,31320,0.0,0.0,1393.15,1023.02,664.1,934.0,51.3,612.8,959.45,0.0,0.0,0.0,171.62,939.65,0.0,0.0,0.0,174.18,11.39,16.26,0.0,3.0,1.26,47928.0,10.78,6.27,0.0,0.53,1.46,52242.0,8.06,0,0,8.5
2022-01-09,0.0,0,0,0.0,0,0,0,169.86,169.17,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,444,27396,0.0,0.0,1340.69,1044.13,678.2,957.0,51.8,626.4,958.59,0.0,0.0,0.0,173.16,937.44,0.0,0.0,0.0,175.03,11.13,9.51,0.0,3.36,1.15,49136.0,10.54,5.74,0.0,0.35,1.18,52458.0,8.06,0,0,1.0
2022-01-10,497.47,0,0,5.3,0,0,0,176.6,175.45,0,0,0,0,105.41,0.0,0,0.0,0,0,0,0,192,31032,0.0,0.0,1408.03,1048.3,680.8,960.0,52.0,628.8,954.86,83.2,245.04,142.65,174.73,939.13,96.2,239.62,152.37,178.46,11.02,10.22,0.0,3.55,1.11,49714.0,10.55,6.33,0.0,1.93,1.31,52104.0,8.06,0,0,52.3
