측정지역,오존(O3),이산화질소(NO2),이산화황(SO2),일산화탄소(CO),미세먼지(PM10),미세먼지(PM2_5),측정기준일
전주시 노송동,0.022,0.022,0.003,0.5,43.0,19.0,2021-01-31
전주시 삼천동,0.023,0.023,0.004,0.5,,23.0,2021-01-31
전주시 송천동,0.019,0.018,0.003,0.4,41.0,21.0,2021-01-31
전주시 팔복동,0.023,0.025,0.002,0.6,42.0,25.0,2021-01-31
전주시 혁신동,0.02,0.021,0.002,0.5,43.0,24.0,2021-01-31
전주시 서신동,,0.029,0.003,0.5,42.0,19.0,2021-01-31
전주시 평균,0.021,0.022,0.003,0.5,42.0,22.0,2021-01-31
군산시 개정동,0.026,0.012,0.004,0.4,47.0,21.0,2021-01-31
군산시 비응도,0.025,0.015,0.005,0.5,42.0,20.0,2021-01-31
군산시 소룡동,0.026,0.015,0.005,0.4,45.0,23.0,2021-01-31
군산시 신풍동,0.026,0.014,0.003,0.6,44.0,23.0,2021-01-31
군산시 옥산면,0.017,0.015,0.003,0.5,35.0,23.0,2021-01-31
군산시 평균,0.024,0.014,0.004,0.5,42.0,22.0,2021-01-31
익산시 모현동,0.02,0.011,0.003,0.4,42.0,24.0,2021-01-31
익산시 삼기면,0.022,0.015,0.002,0.3,39.0,26.0,2021-01-31
익산시 용동면,0.022,0.015,0.003,0.6,44.0,29.0,2021-01-31
익산시 팔봉동,0.023,0.02,0.002,0.4,41.0,24.0,2021-01-31
익산시 함열읍,,,,,,,2021-01-31
익산시 평균,0.022,0.015,0.003,0.4,42.0,26.0,2021-01-31
정읍시 신태인,0.025,0.014,0.003,0.5,36.0,22.0,2021-01-31
정읍시 연지동,0.021,0.021,0.002,0.5,37.0,20.0,2021-01-31
정읍시 평균,0.023,0.018,0.002,0.5,37.0,21.0,2021-01-31
남원시 죽항동,0.022,0.018,0.002,0.5,35.0,24.0,2021-01-31
김제시 요촌동,0.023,0.021,0.002,0.5,45.0,28.0,2021-01-31
완주군 고산면,0.025,0.012,0.002,0.5,39.0,19.0,2021-01-31
완주군 봉동읍,0.025,0.015,0.003,0.4,41.0,21.0,2021-01-31
완주군 구이면,0.031,0.011,0.002,0.4,40.0,,2021-01-31
완주군 평균,0.027,0.013,0.002,0.4,40.0,20.0,2021-01-31
진안군 진안읍,0.022,0.013,0.002,0.4,34.0,17.0,2021-01-31
무주군 무주읍,0.024,0.012,0.005,0.4,35.0,19.0,2021-01-31
장수군 장수읍,0.025,0.009,0.003,0.4,34.0,17.0,2021-01-31
임실군 임실읍,0.021,0.017,0.004,0.5,36.0,22.0,2021-01-31
임실군 관촌면,0.021,0.018,0.003,0.5,,,2021-01-31
임실군 평균,0.021,0.018,0.003,0.5,36.0,22.0,2021-01-31
순창군 순창읍,0.024,0.014,0.004,0.4,41.0,21.0,2021-01-31
고창군고창읍,0.029,0.012,0.003,0.3,35.0,20.0,2021-01-31
고창군 심원면,0.031,0.009,0.004,0.3,32.0,19.0,2021-01-31
고창군 평균,0.03,0.01,0.003,0.3,33.0,19.0,2021-01-31
부안군 부안읍,0.028,0.02,0.002,0.5,44.0,24.0,2021-01-31
부안군 계화면,0.027,0.015,0.002,0.4,51.0,,2021-01-31
부안군 평균,0.027,0.018,0.002,0.4,45.0,24.0,2021-01-31
전주시 노송동,0.029,0.019,0.002,0.4,45.0,30.0,2021-02-28
전주시 삼천동,0.031,0.02,0.004,0.5,45.0,28.0,2021-02-28
전주시 송천동,0.026,0.017,0.002,0.4,50.0,26.0,2021-02-28
전주시 팔복동,0.031,0.022,0.002,0.5,47.0,30.0,2021-02-28
전주시 혁신동,0.026,0.018,0.002,0.6,49.0,31.0,2021-02-28
전주시 서신동,,0.023,0.002,0.5,48.0,27.0,2021-02-28
전주시 평균,0.028,0.019,0.003,0.5,47.0,29.0,2021-02-28
군산시 개정동,0.034,0.01,0.004,0.4,53.0,26.0,2021-02-28
군산시 비응도,0.036,0.01,0.004,0.5,43.0,24.0,2021-02-28
군산시 소룡동,0.034,0.014,0.006,0.4,49.0,26.0,2021-02-28
군산시 신풍동,0.035,0.015,0.003,0.4,48.0,28.0,2021-02-28
군산시 옥산면,0.021,0.012,0.003,0.5,40.0,30.0,2021-02-28
군산시 평균,0.032,0.012,0.004,0.4,46.0,27.0,2021-02-28
익산시 모현동,0.03,0.009,0.004,0.4,41.0,24.0,2021-02-28
익산시 삼기면,0.032,0.011,0.003,0.4,44.0,29.0,2021-02-28
익산시 용동면,0.032,0.012,0.003,0.4,46.0,32.0,2021-02-28
익산시 팔봉동,0.024,0.014,0.002,0.4,43.0,27.0,2021-02-28
익산시 함열읍,,,,,,,2021-02-28
익산시 평균,0.029,0.011,0.003,0.4,43.0,28.0,2021-02-28
정읍시 신태인,0.033,0.011,0.003,0.4,41.0,27.0,2021-02-28
정읍시 연지동,0.03,0.017,0.002,0.5,41.0,24.0,2021-02-28
정읍시 영파동,0.021,0.017,0.002,0.4,,,2021-02-28
정읍시 평균,0.03,0.014,0.002,0.4,41.0,26.0,2021-02-28
남원시 죽항동,0.029,0.016,0.002,0.5,36.0,29.0,2021-02-28
김제시 요촌동,0.034,0.015,0.002,0.5,46.0,31.0,2021-02-28
완주군 고산면,0.031,0.012,0.002,0.4,46.0,25.0,2021-02-28
완주군 봉동읍,0.031,0.014,0.002,0.4,47.0,27.0,2021-02-28
완주군 구이면,0.036,0.009,0.002,0.3,38.0,23.0,2021-02-28
완주군 평균,0.033,0.012,0.002,0.4,43.0,25.0,2021-02-28
진안군 진안읍,0.029,0.012,0.002,0.4,36.0,20.0,2021-02-28
무주군 무주읍,0.036,0.01,0.004,0.4,34.0,22.0,2021-02-28
장수군 장수읍,0.03,0.008,0.004,0.4,33.0,18.0,2021-02-28
임실군 임실읍,0.029,0.014,0.005,0.4,38.0,24.0,2021-02-28
임실군 관촌면,0.028,0.018,0.003,0.4,36.0,17.0,2021-02-28
임실군 평균,0.029,0.016,0.004,0.4,37.0,23.0,2021-02-28
순창군 순창읍,0.032,0.012,0.005,0.4,44.0,25.0,2021-02-28
고창군고창읍,0.037,0.009,0.003,0.3,40.0,24.0,2021-02-28
고창군 심원면,0.038,0.008,0.003,0.4,34.0,23.0,2021-02-28
고창군 평균,0.037,0.009,0.003,0.4,37.0,24.0,2021-02-28
부안군 부안읍,0.038,0.017,0.002,0.4,44.0,27.0,2021-02-28
부안군 계화면,0.037,0.011,0.002,0.5,43.0,30.0,2021-02-28
부안군 평균,0.037,0.014,0.002,0.4,44.0,28.0,2021-02-28
전주시 노송동,0.036,0.015,0.002,0.4,80.0,34.0,2021-03-31
전주시 삼천동,0.036,0.018,0.002,0.4,76.0,33.0,2021-03-31
전주시 송천동,0.031,0.015,0.003,0.4,82.0,31.0,2021-03-31
전주시 팔복동,0.036,0.021,0.002,0.4,79.0,32.0,2021-03-31
전주시 혁신동,0.031,0.017,0.002,0.4,85.0,35.0,2021-03-31
전주시 서신동,,0.022,0.002,0.4,79.0,33.0,2021-03-31
전주시 평균,0.034,0.017,0.002,0.4,80.0,33.0,2021-03-31
군산시 개정동,0.038,0.01,0.004,0.3,96.0,34.0,2021-03-31
군산시 비응도,0.041,0.012,0.004,0.5,87.0,30.0,2021-03-31
군산시 소룡동,0.037,0.016,0.006,0.4,93.0,30.0,2021-03-31
