측정일자,측정시간,지역,지역명,도로명,시작점,종점,기온,습도,재비산먼지 평균농도,오염범례
2024-09-02,17:07,서울,관악구,과천대로,서울특별시 관악구 남현동,서울특별시 관악구 남현동 산93-5임,29,67,9,매우좋음
2024-09-02,16:41,서울,관악구,남부순환로,서울특별시 관악구 신림동 1674-6도,서울특별시 동작구 사당동 1112도,29,66,10,매우좋음
2024-09-02,16:32,서울,관악구,문성로,서울특별시 관악구 신림동 808-263천,서울특별시 관악구 신림동 산122-13 도,28,69,8,매우좋음
2024-09-02,16:10,서울,관악구,호암로,서울특별시 관악구 신림동 산102-11임,서울특별시 관악구 신림동 288-7 도,27,74,14,매우좋음
2024-09-02,15:53,서울,관악구,쑥고개로,서울특별시 관악구 봉천동 1693-29도,서울특별시 관악구 신림동 808-133천,29,67,13,매우좋음
2024-09-02,15:42,서울,관악구,양녕로,서울특별시 관악구 봉천동 1718-11 도,서울특별시 관악구 봉천동 979-5도,27,72,57,좋음
2024-09-02,15:39,서울,관악구,성현로,서울특별시 관악구 봉천동 7-17도,서울특별시 관악구 봉천동 1718-11 도,27,73,14,매우좋음
2024-09-02,15:29,서울,관악구,관악로,서울특별시 관악구 신림동 145-6 도,서울특별시 관악구 봉천동 1000-4도,29,68,8,매우좋음
2024-09-02,15:10,서울,관악구,신림로,서울특별시 관악구 신림동 1466-4천,서울특별시 관악구 신림동 145-6 도,28,68,13,매우좋음
2024-09-02,14:57,서울,관악구,은천로,서울특별시 관악구 봉천동 7-17도,서울특별시 관악구 봉천동 976-9천,28,70,13,매우좋음
2024-09-02,14:48,서울,관악구,낙성대로,서울특별시 관악구 봉천동 산37-2임,서울특별시 관악구 봉천동 1693-38도,27,74,21,매우좋음
2024-09-02,14:27,서울,관악구,봉천로,서울특별시 관악구 신림동 1677-5천,서울특별시 관악구 봉천동 1693-66구,27,71,14,매우좋음
2024-09-02,14:15,서울,관악구,신사로,서울특별시 관악구 신림동 1674도,서울특별시 관악구 신림동 22답,27,73,12,매우좋음
2024-09-02,13:56,서울,관악구,난곡로,서울특별시 관악구 신림동 산87-11도,서울특별시 관악구 신림동 534천,26,75,12,매우좋음
