시점,구분,수도권,강원,충북,충남,전북,전남,경북,경남,데이터 기준일
2024-09-10,신문지,171.5,,125.2,140.8,154.7,177.0,144.0,141.4,2024-09-26
2024-09-10,골판지,119.7,120.2,103.5,98.5,112.6,138.5,106.0,100.9,2024-09-26
2024-09-10,압축-PE(잡색),428.3,429.0,444.4,438.8,,419.5,444.0,440.0,2024-09-26
2024-09-10,압축-PP(잡색),337.6,343.8,336.4,335.8,,325.5,356.0,348.5,2024-09-26
2024-09-10,압축-PET(잡색),526.0,492.3,466.5,535.7,460.0,470.4,,509.3,2024-09-26
2024-09-10,플레이크-PE(잡색),635.9,671.0,643.6,626.1,644.0,651.8,643.8,619.3,2024-09-26
2024-09-10,플레이크-PP(잡색),541.3,552.8,502.4,484.4,481.0,529.0,534.5,513.5,2024-09-26
2024-09-10,플레이크-PS(잡색),,,,,,,,,2024-09-26
2024-09-10,플레이크-ABS(잡색),,,,,,,,,2024-09-26
2024-09-10,플레이크-PVC(잡색),548.2,,715.5,,,,,494.7,2024-09-26
2024-09-10,플레이크-PET(무색),1110.3,,,,,,1015.5,,2024-09-26
2024-09-10,플레이크-PET(유색),482.4,,,,,,463.5,,2024-09-26
2024-09-10,플레이크-PET(복합),400.7,,,,,,439.8,,2024-09-26
2024-09-10,펠렛-PE(잡색),889.3,1015.7,994.3,970.0,,905.0,,807.5,2024-09-26
2024-09-10,펠렛-PP(잡색),766.8,,,724.3,,762.4,,651.1,2024-09-26
2024-09-10,펠렛-PS(잡색),,,,,,,,,2024-09-26
2024-09-10,펠렛-ABS(잡색),,,,,,,,,2024-09-26
2024-09-10,잉고트-EPS,697.0,621.6,785.4,736.1,,615.0,784.3,743.2,2024-09-26
2024-09-10,펠렛_EPS,1077.0,,,,,,,,2024-09-26
2024-09-10,컬렛-백색,175.8,,,,,,,,2024-09-26
2024-09-10,컬렛-갈색,99.5,,,,,,,,2024-09-26
2024-09-10,컬렛-청·녹색,52.5,,,,,,,,2024-09-26
2024-09-10,철스크랩,307.0,313.5,,346.6,,356.0,,322.2,2024-09-26
2024-09-10,철캔,322.8,300.7,,314.8,,331.0,338.5,318.6,2024-09-26
2024-09-10,알루미늄캔,2045.4,1815.0,2058.8,1989.8,2079.8,2088.0,2276.8,2160.1,2024-09-26
2024-09-10,고무분말,,,,,,,,294.3,2024-09-26
