지사,선박명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,Unnamed: 14
부산지사,부산936호,9.0,21.0,11.0,13.0,26.0,27.0,20.0,30.0,0.0,78.0,40.0,0.0,
부산지사,파란호,22.0,30.0,19.1,16.3,24.5,18.5,285.0,82.8,3.3,0.0,0.1,0.0,
부산지사,항만정화1호,15.0,13.5,28.0,25.5,10.6,16.0,37.0,176.0,22.0,17.0,7.8,1.3,
부산지사,항만정화2호,20.0,22.0,23.0,38.5,27.0,28.0,135.5,104.0,3.5,2.5,4.0,1.5,
인천지사,청항1호,10.9,16.0,24.0,49.0,28.6,53.3,20.4,52.8,21.3,20.6,39.35,43.5,
인천지사,청항2호,15.0,35.8,37.65,31.6,44.22,21.8,34.33,52.4,24.1,25.2,36.5,8.2,
인천지사,에코인천호,8.0,9.5,30.0,10.5,63.0,62.0,59.0,61.0,22.5,24.5,12.3,3.0,
여수지사,여청호,2.6,2.5,2.8,3.2,2.3,2.7,44.8,16.6,1.17,0.18,0.1,0.03,
여수지사,여청2호,2.5,5.5,4.0,6.5,3.1,3.6,30.3,24.5,20.9,7.8,5.9,1.3,
울산지사,청화호,1.1,1.9,4.3,3.0,6.8,7.0,14.08,46.4,29.15,9.35,1.78,2.3,
울산지사,청화2호,6.85,2.3,0.3,0.14,9.78,0.15,5.85,14.1,34.85,8.8,2.4,0.0,
대산지사,황금산호,2.3,1.4,2.4,2.9,4.1,6.4,30.7,0.4,3.8,1.5,7.7,0.5,
마산지사,푸르미2호,8.5,3.0,4.0,7.0,13.0,11.0,151.0,138.5,196.0,47.0,24.0,0.0,
마산지사,푸르미1호(신),11.8,3.45,2.68,0.68,11.25,21.0,140.0,235.0,91.5,41.7,63.5,18.0,
동해지사,해파랑호,1.51,0.43,0.66,0.7,3.21,1.6,3.1,8.0,1.03,1.64,1.65,0.4,
군산지사,군산청해호,11.4,4.0,42.0,14.0,15.5,12.5,44.2,43.3,16.0,36.0,6.1,0.0,
포항지사,포항해양3호,1.6,4.2,3.5,4.4,7.51,2.25,9.5,12.15,5.0,3.2,10.8,4.9,
평택지사,청누리호,6.15,2.6,6.35,18.4,12.1,11.3,38.9,3.7,17.1,4.4,0.25,0.15,
목포지사,목포청해호,2.8,3.0,2.08,4.43,1.35,1.03,128.6,34.15,0.15,0.16,0.01,0.05,
목포지사,청해2호,1.37,1.75,2.45,3.0,2.9,1.55,218.3,23.8,6.2,5.1,0.05,0.0,
제주지사,온바당호,0.9,1.05,3.47,34.45,0.0,0.85,17.2,1.88,0.0,0.35,2.25,0.1,
제주지사,온바르호,6.0,5.5,6.95,1.4,10.6,0.85,7.85,3.1,0.25,3.65,0.5,1.1,
