구분,채수일시,수소이온농도,용존산소,생물화학적산소요구량,화학적산소요구량,부유물질,총인,총유기탄소
교동교,2024-09-02,7.2,9.0,0.5,1.9,0.8,0.038,1.5
방학교(광주천1),2024-09-02,7.9,8.5,1.4,4.1,5.6,0.083,2.8
영산강취수원수,2024-09-02,6.7,6.0,2.2,6.3,2.8,0.11,4.5
광천1교,2024-09-02,8.0,9.3,1.6,4.2,5.6,0.086,2.5
광운교(용봉천),2024-09-02,7.4,9.5,2.4,4.0,3.6,0.172,2.6
동천교,2024-09-02,8.3,9.1,4.1,5.7,8.0,0.1,3.4
평촌교,2024-09-02,8.2,8.7,4.2,7.4,7.6,0.173,4.6
용산교,2024-09-03,7.0,7.5,1.3,4.5,6.0,0.086,3.0
광신대교,2024-09-03,7.5,7.7,2.1,5.2,8.8,0.079,3.8
광산,2024-09-03,7.7,10.5,4.9,7.5,10.8,0.096,5.0
오룡교,2024-09-03,7.6,9.1,2.4,4.6,4.4,0.045,3.1
죽산교(평림천),2024-09-03,6.7,7.9,2.3,5.6,7.2,0.064,3.7
송정취수장(황룡강4),2024-09-03,7.6,8.6,1.7,4.9,6.4,0.052,3.2
도촌교,2024-09-02,7.2,9.3,1.6,5.1,9.2,0.12,3.1
풍영정천,2024-09-02,8.1,8.3,1.6,4.8,4.4,0.121,3.1
1하수처리장,2024-09-03,6.6,7.3,1.2,6.6,2.0,0.11,4.6
2하수처리장,2024-09-03,6.5,5.9,0.6,6.1,0.8,0.025,4.6
