수가코드,한글수가명,산재단가금액,일반단가금액,건강단가금액,보호일반단가금액,산재일반단가금액,산재후유단가금액,감액가능품목여부,해당수가입력일자,적용시작일자,적용종료일자
AA156A,초진,19160,19160,17400,17400,19160,19160,Y,2001-12-27,2019-01-01,2019-12-31
AA156B,초진 6세미만,19970,19970,18220,18220,19970,19970,Y,2001-07-01,2019-01-01,2019-12-31
AA156C,초진 1세미만,21140,21140,19380,19380,21140,21140,Y,2017-06-15,2019-01-01,2019-12-31
AA156E,초진 장애 야간(공휴) 건강검진,12000,12000,11120,11120,12000,12000,Y,2013-06-05,2019-01-01,2019-12-31
AA156F,초진 장애,19840,19840,18080,18080,19840,19840,Y,2002-06-18,2019-01-01,2019-12-31
AA156G,초진 1세미만야간(공휴),24640,24640,22880,22880,24640,24640,Y,2017-06-15,2019-01-01,2019-12-31
AA156H,초진 장애 건강검진,10260,10260,9380,9380,10260,10260,Y,2013-06-05,2019-01-01,2019-12-31
AA156J,초진 야간(공휴),22650,22650,20900,20900,22650,22650,Y,2001-07-01,2019-01-01,2019-12-31
AA156K,초진 6세미만 야간(공휴),23470,23470,21710,21710,23470,23470,Y,2001-07-01,2019-01-01,2019-12-31
AA156N,초진 장애 야간(공휴),23330,23330,21570,21570,23330,23330,Y,2013-06-05,2019-01-01,2019-12-31
AA156P,초진 6세미만 건강검진,10400,10400,9520,9520,10400,10400,Y,2010-12-31,2019-01-01,2019-12-31
AA156Q,초진 건강검진,9580,9580,8700,8700,9580,9580,Y,2012-04-30,2019-01-01,2019-12-31
AA156R,초진 야간(공휴) 건강검진,11330,11330,10450,10450,11330,11330,Y,2012-04-30,2019-01-01,2019-12-31
AA156S,초진 6세미만 야간(공휴) 건강검진,12140,12140,11260,11260,12140,12140,Y,2012-04-30,2019-01-01,2019-12-31
AA156U,초진 1세미만 검진,11560,11560,10680,10680,11560,11560,Y,2017-06-15,2019-01-01,2019-12-31
91518,직업력조사,103520,103520,103520,103520,103520,103520,N,2017-12-18,2019-01-01,2019-12-31
