폐기물구분,상호명,폐기물종류,연락처,처리방법,사업장주소,신고기준년도,데이터기준일자
사업장비배출시설계폐기물,소량배출인협의회,폐수처리오니,054-975-3100,매립(민간),대구광역시 북구 오봉로 22(노원동),2000,2024-05-02
사업장비배출시설계폐기물,보건대학교,폐합성수지류외,053-320-1240,재활용(중간가공폐기물제조),대구광역시 북구 영송로 15(태전동),1994,2024-05-02
사업장비배출시설계폐기물,제6755부대,폐합성수지류외,053-320-6410,재활용,대구광역시 북구 호국로 780(도남동),1997,2024-05-02
사업장비배출시설계폐기물,주식회사 성안머티리얼스,폐합성수지,053-382-4772,재활용(중간가공폐기물제조),대구광역시 북구 검단동로 35(검단동),1997,2024-05-02
사업장비배출시설계폐기물,대구축협배합사료공장,폐합성수지류외,053-384-9900,재활용,대구광역시 북구 검단북로 154(검단동),1998,2024-05-02
사업장비배출시설계폐기물,의료법인성동재단,폐합성수지류,053-324-1206,"재활용(연료,고형연료제품제조)",대구광역시 북구 칠곡중앙대로99길 21(관음동),1999,2024-05-02
사업장비배출시설계폐기물,신세계병원,폐합성수지류외,053-954-7771,"재활용(연료,고형연료제품제조)",대구광역시 북구 동북로 196(산격동),2000,2024-05-02
사업장비배출시설계폐기물,구암고등학교,폐합성수지류외,053-323-9033,"재활용(연료,고형연료제품제조), 재활용(농업생산활동에사용)",대구광역시 북구 태암남로11길 7(구암동),2000,2024-05-02
사업장비배출시설계폐기물,대구삼선병원,폐합성수지류,053-326-7575,"재활용(연료,고형연료제품제조)",대구광역시 북구 칠곡중앙대로 448(읍내동),2000,2024-05-02
사업장비배출시설계폐기물,복현초등학교,폐합성수지류외,053-233-1874,"중간처분(소각), 재활용(파쇄분쇄), 재활용(사료화)",대구광역시 북구 공항로 58(복현동),2000,2024-05-02
사업장비배출시설계폐기물,대구북중학교,음식물류폐기물외,053-233-6330,재활용(사료화),대구광역시 북구 공항로 50(복현동),2000,2024-05-02
사업장비배출시설계폐기물,의료법인 배성의료재단,폐합성수지,053-383-2700,재활용(파분쇄),대구광역시 북구 검단로 140(검단동),2000,2024-05-02
사업장비배출시설계폐기물,대구기계공구상협동조합,폐합성수지류외,053-604-0702,"재활용(기타), 재활용(고형연료화), 재활용(파분쇄)",대구광역시 북구 유통단지로 16(산격동),2000,2024-05-02
사업장비배출시설계폐기물,침산초등학교,폐합성수지류,053-233-1016,재활용(중간가공폐기물제조),대구광역시 북구 성북로 25(침산동),2000,2024-05-02
사업장비배출시설계폐기물,영진전문대학,폐합성수지류외,053-940-5699,"재활용(연료,고형연료제품제조)",대구광역시 북구 복현로 35(복현동),2000,2024-05-02
사업장비배출시설계폐기물,경상고등학교,폐합성수지류외,053-384-1803,"중간재활용(파.분쇄), 재활용(퇴비화)",대구광역시 북구 공항로15길 24(복현동),2000,2024-05-02
사업장비배출시설계폐기물,대성산업㈜대구가스부,폐합성수지류,053-352-7081,"재활용(연료,고형연료제품제조)",대구광역시 북구 침산로 60(칠성동),2000,2024-05-02
사업장비배출시설계폐기물,성광고등학교,폐합성수지류외,053-235-4807,"재활용(연료,고형연료제품제조), 재활용(농업생산활동에사용)",대구광역시 북구 검단로 150(복현동),2000,2024-05-02
사업장비배출시설계폐기물,㈜코스트코코리아,폐합성수지류외,053-380-1234,재활용(고형연료화),대구광역시 북구 검단로 97(산격동),2000,2024-05-02
사업장비배출시설계폐기물,성광중학교,폐합성수지류외,053-233-8436,"재활용(연료,고형연료제품제조), 재활용(농업생산활동에사용)",대구광역시 북구 검단로 150(복현동),2000,2024-05-02
사업장비배출시설계폐기물,대구우편집중국,폐합성수지류,053-380-7223,재활용(고형연료화),대구광역시 북구 유통단지로 115(산격동),2000,2024-05-02
사업장비배출시설계폐기물,북대구초등학교,폐합성수지류외,053-233-2454,"중간처분(소각), 재활용(파쇄분쇄), 재활용(사료화)",대구광역시 북구 동북로37길 68(산격동),2000,2024-05-02
사업장비배출시설계폐기물,대구옥산초등학교,음식물류폐기물외,053-233-1056,재활용(사료화),대구광역시 북구 칠성시장로23길 55(칠성동2가),2000,2024-05-02
사업장비배출시설계폐기물,경상여자고등학교,폐합성수지류외,053-235-8163,"재활용(파쇄분쇄), 재활용(퇴비화)",대구광역시 북구 침산남로9길 173(침산동),2000,2024-05-02
사업장비배출시설계폐기물,한국맥도날드(유)대구칠곡2호점,폐합성수지류외,070-7017-0537,재활용(고형연료화),대구광역시 북구 구암로 83(읍내동),2000,2024-05-02
사업장비배출시설계폐기물,송림스포츠센터,폐합성수지류,053-311-0404,재활용(고형연료화),대구광역시 북구 칠곡중앙대로 309(태전동),2001,2024-05-02
사업장비배출시설계폐기물,㈜엑스코,폐합성수지류,053-601-5042,"재활용(고형연료화), 재활용(원료가공), 중간처분(일반소각)",대구광역시 북구 엑스코로 10(산격동),2001,2024-05-02
사업장비배출시설계폐기물,한국전력공사 대구지역본부,폐콘크리트외,053-350-2296,재활용,대구광역시 북구 원대로 110(침산동),2001,2024-05-02
사업장비배출시설계폐기물,홈플러스(주)칠곡점,음식물류폐기물외,053-607-8124,재활용(농업생산활동에사용),대구광역시 북구 동암로12길 8(동천동),2001,2024-05-02
사업장비배출시설계폐기물,대구가톨릭대학교 칠곡가톨릭병원,폐합성수지류외,053-320-2997,고형연료화,대구광역시 북구 칠곡중앙대로 440(읍내동),2002,2024-05-02
사업장비배출시설계폐기물,산격중학교,음식물류폐기물외,053-233-7132,재활용(사료화),대구광역시 북구 동북로31길 29(산격동),2002,2024-05-02
사업장비배출시설계폐기물,이마트칠성점,폐합성수지류,053-609-1052,"재활용(고형연료화), 직접에너지회수, 원료제조",대구광역시 북구 침산로 93(칠성동2가),2002,2024-05-02
사업장비배출시설계폐기물,㈜스펙트럼시티,폐합성수지류외,053-213-6024,재활용(파쇄분쇄),대구광역시 북구 침산로 93(칠성동2가),2002,2024-05-02
사업장비배출시설계폐기물,영진고등학교,음식물류폐기물외,053-235-5555,재활용(농업생산활동에사용),대구광역시 북구 동북로57길 9(복현동),2002,2024-05-02
사업장비배출시설계폐기물,운암고등학교,폐합성수지류외,053-231-5350,"재활용(연교,고형연료제품제조), 재활용(농업생산활동에 사용)",대구광역시 북구 학정로 378(구암동),2002,2024-05-02
사업장비배출시설계폐기물,대구소년원(읍내정보통신학교),폐합성수지류외,053-260-7200,재활용(파분쇄),대구광역시 북구 칠곡중앙대로 511(읍내동),2002,2024-05-02
사업장비배출시설계폐기물,대구종합유통단지전자관 사업협동조합,폐합성수지류,053-604-2003,재활용(연료및고형연료제품제조),대구광역시 북구 유통단지로 45(산격동),2002,2024-05-02
사업장비배출시설계폐기물,롯데백화점㈜대구점,폐합성수지류,053-660-1614,고형연료화,대구광역시 북구 태평로 161(칠성동2가),2003,2024-05-02
사업장비배출시설계폐기물,학남고등학교,폐합성수지류외,053-231-5830,"재활용(연료,고형연료제품제조), 재활용(농업생산활동에사용)",대구광역시 북구 학남로 78(국우동),2003,2024-05-02
사업장비배출시설계폐기물,대구체육고등학교,폐합성수지류외,053-231-7900,"재활용(연료,고형연료제품제조), 재활용(농업생산활동에 사용)",대구광역시 북구 칠곡중앙대로136길 29(동호동),2003,2024-05-02
사업장비배출시설계폐기물,대구광역시 도시관리본부,폐합성수지류외,053-803-8463,재활용(중간가공폐기물제조),대구광역시 북구 고성로 191(고성동3가),2004,2024-05-02
사업장비배출시설계폐기물,경북대학교,폐합성수지류,053-950-2544,재활용(중간가공폐기물제조),대구광역시 북구 대학로 80(산격동),2004,2024-05-02
사업장비배출시설계폐기물,초록들코리아㈜,폐합성수지류외,053-312-8070,고형연료화,대구광역시 북구 매천로동17길 48(매천동),2004,2024-05-02
사업장비배출시설계폐기물,㈜몽돌,폐합성수지류,053-383-8000,재활용(파분쇄),대구광역시 북구 유통단지로7길 21(산격동),2005,2024-05-02
사업장비배출시설계폐기물,동아아울렛 강북점,폐합성수지류외,053-320-3202,"재활용(고형연료화), 재활용(연료.고형연료제품 제조) ",대구광역시 북구 칠곡중앙대로 416(읍내동),2005,2024-05-02
사업장비배출시설계폐기물,대구시티병원,폐합성수지류,053-247-5550,"재활용(연료,고형연료제품제조)",대구광역시 북구 동북로 270(복현동),2005,2024-05-02
사업장비배출시설계폐기물,동변중학교,폐합성수지류외,053-953-0025,"중간처분(소각), 재활용(파쇄분쇄), 재활용(사료화)",대구광역시 북구 동변로14길 12(동변동),2006,2024-05-02
사업장비배출시설계폐기물,우진무역 ,폐섬유류,053-321-6758,재활용(직접에너지회수),대구광역시 북구 칠곡중앙대로129길 77-10(읍내동),2007,2024-05-02
사업장비배출시설계폐기물,로즈마리병원 ,폐합성수지류,053-210-7777,"재활용(연료,고형연료제품제조)",대구광역시 북구 팔거천동로 215 (동천동),2007,2024-05-02
사업장비배출시설계폐기물,롯데쇼핑㈜롯데슈퍼복현점,음식물류폐기물외,053-381-5601,"재활용(연료,고형연료제품제조)",대구광역시 북구 검단로 8 (복현동),2007,2024-05-02
사업장비배출시설계폐기물,㈜인터불고 엑스코,폐합성수지류,053-380-0114,재활용(고형연료화),대구광역시 북구 유통단지로 80 (산격동),2008,2024-05-02
사업장비배출시설계폐기물,함지고등학교,폐합성수지류,053-231-6807,재활용(고형연료화),대구광역시 북구 학정로48길 46(구암동),2008,2024-05-02
사업장비배출시설계폐기물,세븐밸리관리단,폐합성수지류,053-310-8891,"재활용(연료,고형연료제품제조)",대구광역시 북구 동암로 90 (동천동),2008,2024-05-02
사업장비배출시설계폐기물,(주)엔유씨전자,폐합성수지류,053-665-5030,재활용(중간가공폐기물제조),대구광역시 북구 노원로 280(침산동),2008,2024-05-02
사업장비배출시설계폐기물,한국철도공사 대구역,폐합성수지류,053-940-2377,재활용(고형연료화),"대구광역시 북구 태평로 161 (칠성동2가,대구역)",2008,2024-05-02
사업장비배출시설계폐기물,성화여자고등학교,폐합성수지류,053-235-7681,재활용(중간가공폐기물제조),대구광역시 북구 복현로 140(복현동),2009,2024-05-02
사업장비배출시설계폐기물,대구과학대학,폐합성수지류외,053-320-1042,"재활용(연료,고형연료제품제조)",대구광역시 북구 영송로 47(태전동),2009,2024-05-02
사업장비배출시설계폐기물,해장님 감자탕,폐합성수지류,053-325-5995,"재활용(연료,고형연료제품제조)",대구광역시 북구 칠곡중앙대로 307(태전동),2009,2024-05-02
사업장비배출시설계폐기물,네오시티등기점주대표단,폐합성수지류,053-285-4500,"재활용(연료,고형연료제품제조)",대구광역시 북구 칠곡중앙대로 412(태전동),2010,2024-05-02
사업장비배출시설계폐기물,대구보건대학교병원,폐합성수지류외,053-320-1903,"재활용(연료,고형연료제품제조)",대구광역시 북구 팔거천동로 209(동천동),2010,2024-05-02
사업장비배출시설계폐기물,칠곡경북대학교병원,폐합성수지류,053-200-2097,재활용(고형연료화),대구광역시 북구 호국로 807(학정동),2010,2024-05-02
사업장비배출시설계폐기물,강북컨벤션웨딩,폐합성수지류외,053-292-8000,재활용(고형연료화),대구광역시 북구 칠곡중앙대로 59(매천동),2011,2024-05-02
사업장비배출시설계폐기물,첨단요양병원,폐합성수지류,053-669-1008,고형연료화,대구광역시 북구 대현로 19(대현동),2011,2024-05-02
사업장비배출시설계폐기물,㈜브이디에스,폐합성수지류외,053-314-5500,재활용(기타),대구광역시 북구 동호길 16(동호동),2011,2024-05-02
사업장비배출시설계폐기물,뉴라이프병원,폐합성수지류,053-384-9119,"재활용(연료,고형연료제품제조)",대구광역시 북구 공항로 15(복현동),2011,2024-05-02
