시설명,소재지 도로명주소,위도,경도,데이터기준일자
선진주유소,대구광역시 북구 연암로 119 (산격동),35.89522233,128.5942852,2024-07-26
태왕주유소,대구광역시 북구 동북로 9 (산격동),35.90187209,128.5946057,2024-07-26
대훈남주유소,대구광역시 북구 칠곡중앙대로 174 (태전동),35.91136969,128.5489204,2024-07-26
㈜보광산업,대구광역시 북구 유통단지로3길 40 (산격동),35.90745893,128.6039705,2024-07-26
미희주유소,대구광역시 북구 칠곡중앙대로 624 (읍내동),35.95080283,128.553372,2024-07-26
중앙주유소,대구광역시 북구 동북로 315 (복현동),35.89184004,128.6245032,2024-07-26
흥구석유㈜원대주유소,대구광역시 북구 팔달로 67 (노원동3가),35.89086806,128.5580902,2024-07-26
흥구석유㈜산격주유소,대구광역시 북구 동북로 39 (산격동),35.90231243,128.5979774,2024-07-26
해바라기self주유소,대구광역시 북구 대현로 81 (대현동),35.88311403,128.6080686,2024-07-26
공명주유소,대구광역시 북구 침산남로 43 (노원동1가),35.88930267,128.5806995,2024-07-26
SK에너지㈜한일주유소,대구광역시 북구 칠곡중앙대로 315 (태전동),35.92382771,128.5465516,2024-07-26
대망주유소,대구광역시 북구 중앙대로 601 (침산동),35.88657752,128.5976346,2024-07-26
케이케이㈜침산주유소,대구광역시 북구 노원로 255 (침산동),35.90126928,128.5877135,2024-07-26
경대석유,대구광역시 북구 경대로17길 26 (복현동),35.8908896,128.6159291,2024-07-26
대구광역시청,대구광역시 북구 연암로 40 (산격동),35.8919509,128.5982258,2024-07-26
팔달41주유소,대구광역시 북구 팔달로 41 (노원동3가),35.89123505,128.5549719,2024-07-26
㈜에이치씨대하에너지 보광주유소,대구광역시 북구 칠곡중앙대로 168 (태전동),35.91104729,128.5487571,2024-07-26
복현셀프주유소,대구광역시 북구 동북로 256 (복현동),35.89439672,128.6184252,2024-07-26
에이치디현대오일뱅크㈜직영 칠곡주유소,대구광역시 북구 칠곡중앙대로 482 (읍내동),35.93855953,128.5499486,2024-07-26
기분좋은SELF주유소,대구광역시 북구 칠곡중앙대로 290 (태전동),35.92155237,128.5471357,2024-07-26
신흥주유소,대구광역시 북구 동북로 65-2 (산격동),35.90260728,128.6006632,2024-07-26
대구주유소,대구광역시 북구 노원로 97 (노원동3가),35.89564016,128.5718829,2024-07-26
한영주유소,대구광역시 북구 공항로 73 (복현동),35.89952137,128.6231197,2024-07-26
대성산업㈜대성주유소,대구광역시 북구 침산로 62 (칠성동2가),35.88203763,128.5900799,2024-07-26
칠곡중앙셀프주유소,대구광역시 북구 칠곡중앙대로 603 (읍내동),35.94940321,128.5520049,2024-07-26
㈜아스트로주유소,대구광역시 북구 팔달로 215 (노원동2가),35.88824677,128.5732084,2024-07-26
㈜진양에너지,대구광역시 북구 노원로 3 (노원동3가),35.89076592,128.5635349,2024-07-26
SK네트웍스㈜강남고속주유소,대구광역시 북구 노원로 216 (침산동),35.90001317,128.5836891,2024-07-26
대일종합에너지주유소 태전점,대구광역시 북구 태전로 14 (태전동),35.92206099,128.5460639,2024-07-26
오페라주유소,대구광역시 북구 중앙대로 580 (침산동),35.88461589,128.5975688,2024-07-26
주식회사 영신에너지,대구광역시 북구 노원로 164 (노원동3가),35.89855303,128.57838,2024-07-26
에코주유소,대구광역시 북구 노원로 190 (침산동),35.89962177,128.5809563,2024-07-26
대보주유소,대구광역시 북구 호국로 721 (학정동),35.95050341,128.5699674,2024-07-26
에이치디현대오일뱅크㈜직영 유통단지주유소,대구광역시 북구 검단로 93 (산격동),35.90579236,128.6180468,2024-07-26
주식회사 영빈산업,대구광역시 북구 검단공단로 107 (검단동),35.91417356,128.6117683,2024-07-26
SK에너지㈜맘모스주유소,대구광역시 북구 동북로 21 (산격동),35.90217468,128.5958948,2024-07-26
대구공공시설관리공단 신천사업소,대구광역시 북구 조야로2길 209 (서변동),35.91148867,128.596484,2024-07-26
다온주유소,대구광역시 북구 산격로 45 (산격동),35.89467325,128.6051017,2024-07-26
동양자동차운전전문학원,대구광역시 북구 매천로2길 58-52  (팔달동),35.8960265,128.5465315,2024-07-26
무지개주유소,대구광역시 북구 연암로 198 (산격동),35.90232929,128.5966089,2024-07-26
에이치디현대오일뱅크㈜직영 대구현대주유소,대구광역시 북구 유통단지로13길 38 (산격동),35.91020834,128.6075446,2024-07-26
영진에너지,대구광역시 북구 복현로34길 23-4 (복현동),35.90435284,128.6212433,2024-07-26
안전석유,대구광역시 북구 매천로2길 49-16 (팔달동),35.89845304,128.5474184,2024-07-26
대성산업㈜복현대성주유소,"대구광역시 북구 검단로 12 (복현동, 외 2필지)",35.89889595,128.6155654,2024-07-26
현대에너지,대구광역시 북구 팔달로7길 72-1 (노원동3가),35.89168995,128.5614721,2024-07-26
케이케이㈜침산저유소,대구광역시 북구 노원로 255 (침산동),35.90126928,128.5877135,2024-07-26
"강남제비스코㈜, 강남화성㈜",대구광역시 북구 유통단지로 99 (산격동),35.90905519,128.6120383,2024-07-26
㈜에이치씨대하에너지,대구광역시 북구 노원로 139-6 (노원동3가),35.89822447,128.57567,2024-07-26
성광석유,대구광역시 북구 검단로 211-2 (검단동),35.91295018,128.6280031,2024-07-26
㈜신화에너지,대구광역시 북구 검단로 222 (검단동),35.91316395,128.628998,2024-07-26
칠성석유,대구광역시 북구 칠성남로26길 40 (칠성동2가),35.87797879,128.5905361,2024-07-26
지에스칼텍스㈜구암주유소,대구광역시 북구 구암로 340 (구암동),35.94062585,128.5703141,2024-07-26
㈜대구화공,대구광역시 북구 3공단로 102-10 (노원동3가),35.89567011,128.56391,2024-07-26
한국에너지,대구광역시 북구 성북로5길 41 (침산동),35.89457224,128.5873756,2024-07-26
침산에너지,대구광역시 북구 고성북로 47-2 (고성동3가),35.88415337,128.5836877,2024-07-26
㈜동천주유소,대구광역시 북구 팔거천동로 197 (동천동),35.94153355,128.5576196,2024-07-26
정다운주유소,대구광역시 북구 구암로 232 (구암동),35.9320605,128.5662966,2024-07-26
㈜씨에스에너지,대구광역시 북구 노원로동39길 27 (침산동),35.90259813,128.5833857,2024-07-26
SK에너지㈜거산주유소,대구광역시 북구 호국로 303 (서변동),35.92897422,128.5984069,2024-07-26
소원주유소,대구광역시 북구 칠곡중앙대로 641 (읍내동),35.95275525,128.5535451,2024-07-26
대구국토관리사무소,대구광역시 북구 학정로1길 54 (태전동),35.91736468,128.5473722,2024-07-26
㈜홈센타,대구광역시 북구 노원로25길 65 (노원동3가),35.90173009,128.5697193,2024-07-26
까치주유소,대구광역시 북구 호국로 322 (서변동),35.93062827,128.5995489,2024-07-26
㈜비에스지,대구광역시 북구 3공단로48길 6 (노원동3가),35.90188797,128.5763088,2024-07-26
구도일주유소 대구,대구광역시 북구 매천로 153 (매천동),35.91087239,128.5420644,2024-07-26
칠곡제일주유소,대구광역시 북구 구리로 161 (국우동),35.94736206,128.5727332,2024-07-26
㈜금강주유소,대구광역시 북구 대학로 45 (산격동),35.89088031,128.6057058,2024-07-26
동서변주유소,대구광역시 북구 호국로 141 (서변동),35.91420072,128.5995646,2024-07-26
칠곡중앙대로 주유소 ,대구광역시 북구 칠곡중앙대로 120 (매천동),35.90629598,128.5477045,2024-07-26
