시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
서창배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 금백로 101-9,충청남도 논산시 강경읍 황산리198-3,36.16214786,127.0120347,041-746-6447,1992.0,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
동흥배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 금백로175번길 35,충청남도 논산시 강경읍 동흥리128-8,36.16638705,127.0146269,041-746-6447,1997.0,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
지산배수펌프장,충청남도,논산시,충청남도 논산시 지산길 48,충청남도 논산시 지산동828,36.20825756,127.1149246,041-746-6449,1997.0,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
낭청배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 계백로 7,충청남도 논산시 강경읍 채산리516-15,36.14790639,127.0063792,041-746-6450,1999.0,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
등화배수펌프장,충청남도,논산시,충청남도 논산시 강변로 309-97,충청남도 논산시 부창동567,36.19984546,127.0704181,041-746-6446,2001.0,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
방축배수펌프장,충청남도,논산시,충청남도 논산시 채운면 계백로499번길 96-66,충청남도 논산시 채운면 화산리 190-5,36.1827244,127.0540151,041-746-6446,2017.0,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
대교배수펌프장,충청남도,논산시,충청남도 논산시 강변로 474-10,충청남도 논산시 대교동210,36.21272904,127.0921975,041-746-6449,2018.0,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
유등배수펌프장,경상북도,청도군,,경상북도 청도군 화양읍 유등리 1713-1,35.6720321,128.6959178236,054-370-2325,2007.0,침수방지,2024-08-09,5190000,경상북도 청도군
춘천배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대해변로209번가길32(우동),부산광역시 해운대구 우동 649-6,35.1591168,129.1573505,051-749-4871,1995.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
송정배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대로 1100(송정동) 부근,부산광역시 해운대구 송정동 138-3 부근,35.18395078,129.2011864,051-749-4871,2012.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
송정게이트1 배수펌프장,부산광역시,해운대구,부산광역시 해운대구 송정강변로 51(송정동) 부근,부산광역시 해운대구 송정동 183-17번지 부근,35.18605628,129.2048672,051-749-4871,2013.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
송정게이트2 배수펌프장,부산광역시,해운대구,부산광역시 해운대구 송정중앙로15번길 120-3 부근,부산광역시 해운대구 송정동 174-15 부근,35.1878893,129.2061014,051-749-4871,2013.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
우동맨홀 배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 197번가길 20-6(우동),부산광역시 해운대구 우동870-2,35.15980135,129.152904,051-749-4871,2013.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
우2동 배수펌프장,부산광역시,해운대구,,부산광역시 해운대구 우동 1185-206번지,35.16954977,129.1390876,051-749-4871,1997.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
재송1배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 353(재송동),부산광역시 해운대구 재송동 1276,35.190134,129.1157834,051-749-4871,1992.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
반여1배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 606,부산광역시 해운대구 반여동 1502-67,35.2114392,129.1218042,051-749-4871,2002.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
