발생년도,경찰서,살인,강도,절도,폭력
2023,서울중부경찰서,2,1,917,1032
2023,서울종로경찰서,5,5,607,892
2023,서울남대문경찰서,1,5,603,575
2023,서울서대문경찰서,5,0,1194,1026
2023,서울혜화경찰서,0,0,562,671
2023,서울용산경찰서,3,3,978,1792
2023,서울성북경찰서,1,0,500,662
2023,서울동대문경찰서,5,4,1280,1522
2023,서울마포경찰서,3,4,1472,1908
2023,서울영등포경찰서,12,10,1854,2232
2023,서울성동경찰서,2,2,893,1007
2023,서울동작경찰서,3,3,1183,1262
2023,서울광진경찰서,2,5,1616,1563
2023,서울서부경찰서,4,2,790,919
2023,서울강북경찰서,7,1,917,1431
2023,서울금천경찰서,4,5,987,1116
2023,서울중랑경찰서,6,2,1402,1745
2023,서울강남경찰서,9,10,1636,2322
2023,서울관악경찰서,16,10,2013,2402
2023,서울강서경찰서,1,6,1794,2195
2023,서울강동경찰서,4,5,1676,1569
2023,서울종암경찰서,0,1,484,622
2023,서울구로경찰서,12,7,1624,1900
2023,서울서초경찰서,7,9,1644,1790
2023,서울양천경찰서,6,2,1404,1494
2023,서울송파경찰서,8,9,2416,2483
2023,서울노원경찰서,7,3,1632,1766
2023,서울방배경찰서,0,0,297,363
2023,서울은평경찰서,3,1,824,797
2023,서울도봉경찰서,7,4,995,825
2023,서울수서경찰서,5,10,844,1249
2023,부산중부경찰서,2,1,658,701
2023,부산동래경찰서,1,0,1320,1250
2023,부산영도경찰서,5,1,466,568
2023,부산동부경찰서,4,5,545,747
2023,부산진경찰서,5,6,2577,2680
2023,부산서부경찰서,3,2,720,498
2023,부산남부경찰서,3,2,1137,1690
2023,부산해운대경찰서,3,4,1561,1423
2023,부산사상경찰서,6,3,950,1031
2023,부산금정경찰서,4,0,880,832
2023,부산사하경찰서,2,0,941,1278
2023,부산연제경찰서,3,2,1163,1402
2023,부산강서경찰서,2,0,477,616
2023,부산북부경찰서,6,0,1012,958
2023,부산기장경찰서,3,1,640,773
2023,대구중부경찰서,1,1,1251,1151
2023,대구동부경찰서,4,3,1504,1773
2023,대구서부경찰서,1,1,866,1085
2023,대구남부경찰서,4,5,656,769
2023,대구북부경찰서,4,2,835,797
2023,대구수성경찰서,4,5,1139,1586
2023,대구달서경찰서,3,1,940,881
2023,대구성서경찰서,2,4,1123,1260
2023,대구달성경찰서,0,1,715,820
2023,대구강북경찰서,0,1,788,880
2023,대구군위경찰서,0,0,0,0
2023,인천중부경찰서,1,3,874,1351
2023,인천미추홀경찰서,7,11,1653,2298
2023,인천남동경찰서,8,13,894,1377
2023,인천부평경찰서,1,14,1089,1291
2023,인천서부경찰서,5,3,1298,2718
2023,인천계양경찰서,3,7,737,1293
2023,인천강화경찰서,2,1,170,337
2023,인천연수경찰서,5,5,1235,1440
2023,인천삼산경찰서,3,3,1110,1567
2023,인천논현경찰서,4,0,507,831
2023,광주동부경찰서,4,2,669,699
2023,광주서부경찰서,2,7,1167,1689
2023,광주북부경찰서,10,6,1743,1644
2023,광주광산경찰서,5,3,1721,1689
2023,광주남부경찰서,3,3,707,776
2023,대전중부경찰서,6,1,1048,1352
2023,대전동부경찰서,5,8,1164,1407
2023,대전서부경찰서,0,2,1113,1063
2023,대전대덕경찰서,4,3,529,799
2023,대전둔산경찰서,2,4,817,1391
2023,대전유성경찰서,4,2,1298,1534
2023,울산남부경찰서,8,2,1021,1743
2023,울산중부경찰서,4,1,589,782
2023,울산울주경찰서,3,2,607,870
2023,울산동부경찰서,3,2,478,770
2023,울산북부경찰서,2,1,557,781
2023,세종북부경찰서,0,0,318,333
2023,세종남부경찰서,3,0,961,677
2023,경기수원중부경찰서,6,6,1530,1547
2023,경기수원남부경찰서,7,3,2042,2804
2023,경기수원서부경찰서,3,7,1394,1668
2023,경기안양동안경찰서,2,2,785,1098
2023,경기안양만안경찰서,5,1,936,1140
2023,경기군포경찰서,3,2,943,923
2023,경기성남수정경찰서,2,6,1238,1364
2023,경기성남중원경찰서,2,3,1040,1309
2023,경기분당경찰서,3,1,1185,1367
2023,경기부천소사경찰서,1,2,977,881
2023,경기부천원미경찰서,3,3,2078,2371
2023,경기부천오정경찰서,2,1,627,777
2023,경기광명경찰서,4,1,971,1180
2023,경기안산단원경찰서,2,5,1652,2280
2023,경기안산상록경찰서,10,1,1008,1570
2023,경기시흥경찰서,4,7,1968,3003
2023,경기평택경찰서,6,7,2936,3688
2023,경기오산경찰서,3,2,988,1179
2023,경기화성서부경찰서,6,10,1472,1744
2023,경기용인동부경찰서,11,4,1989,2335
2023,경기용인서부경찰서,2,1,890,1084
2023,경기광주경찰서,3,0,1012,2016
2023,경기과천경찰서,0,0,271,200
2023,경기의왕경찰서,3,0,238,404
2023,경기하남경찰서,2,1,944,1069
2023,경기이천경찰서,7,2,679,984
2023,경기김포경찰서,5,9,1847,2152
2023,경기안성경찰서,6,2,741,983
2023,경기여주경찰서,2,1,282,479
2023,경기양평경찰서,3,2,277,476
2023,경기화성동탄경찰서,9,3,1367,1934
2023,경기의정부경찰서,3,3,1473,2174
2023,경기고양경찰서,3,1,1430,1715
2023,경기일산동부경찰서,6,9,815,1229
2023,경기일산서부경찰서,4,2,544,821
2023,경기남양주남부경찰서,3,4,906,1290
2023,경기남양주북부경찰서,4,1,699,1071
2023,경기파주경찰서,12,3,1241,2301
2023,경기양주경찰서,1,2,526,899
2023,경기동두천경찰서,1,0,380,555
2023,경기구리경찰서,0,0,537,698
2023,경기포천경찰서,4,3,356,747
2023,경기가평경찰서,2,0,157,275
2023,경기연천경찰서,0,1,112,202
2023,강원강릉경찰서,4,0,752,1083
2023,강원고성경찰서,1,0,107,126
2023,강원동해경찰서,1,0,239,508
2023,강원삼척경찰서,1,1,189,345
2023,강원속초경찰서,2,1,444,824
2023,강원양구경찰서,1,1,62,99
2023,강원영월경찰서,1,0,54,203
2023,강원원주경찰서,3,3,975,1368
2023,강원인제경찰서,1,0,30,106
2023,강원정선경찰서,1,0,229,207
2023,강원철원경찰서,1,1,104,166
2023,강원춘천경찰서,4,3,694,1343
2023,강원태백경찰서,3,0,89,184
2023,강원평창경찰서,0,0,89,144
2023,강원홍천경찰서,1,0,154,239
2023,강원화천경찰서,0,0,57,78
2023,강원횡성경찰서,2,0,96,137
2023,충북괴산경찰서,0,0,104,250
2023,충북단양경찰서,0,0,41,73
2023,충북보은경찰서,1,0,65,108
2023,충북영동경찰서,0,0,85,109
2023,충북옥천경찰서,1,1,104,186
2023,충북음성경찰서,4,0,355,510
2023,충북제천경찰서,1,1,365,444
2023,충북진천경찰서,1,0,243,435
2023,충북청주청원경찰서,2,4,1063,1149
2023,충북청주흥덕경찰서,4,7,1495,1312
2023,충북충주경찰서,6,0,639,749
2023,충북청주상당경찰서,4,2,816,892
2023,충남천안서북경찰서,5,3,1937,2188
2023,충남천안동남경찰서,4,4,1232,1226
2023,충남서산경찰서,6,7,523,856
2023,충남아산경찰서,9,9,1371,1433
2023,충남논산경찰서,2,1,396,482
2023,충남공주경찰서,1,2,277,406
2023,충남보령경찰서,2,1,270,387
2023,충남당진경찰서,4,1,444,740
2023,충남홍성경찰서,1,0,279,317
2023,충남예산경찰서,2,0,224,317
2023,충남부여경찰서,1,0,145,160
2023,충남서천경찰서,3,0,154,191
2023,충남금산경찰서,0,0,102,163
2023,충남청양경찰서,0,0,78,104
2023,충남태안경찰서,2,1,192,354
2023,전북고창경찰서,0,1,123,215
2023,전북군산경찰서,5,2,841,1209
2023,전북김제경찰서,1,0,175,341
2023,전북남원경찰서,2,0,258,322
2023,전북무주경찰서,0,0,55,68
2023,전북부안경찰서,1,1,100,204
2023,전북순창경찰서,0,0,57,45
2023,전북완주경찰서,1,0,152,344
2023,전북익산경찰서,3,4,1076,1276
2023,전북임실경찰서,0,0,46,65
2023,전북장수경찰서,0,0,38,65
2023,전북전주덕진경찰서,6,3,1147,1234
2023,전북전주완산경찰서,6,2,1428,1403
2023,전북정읍경찰서,4,0,520,428
2023,전북진안경찰서,1,0,46,62
2023,전남목포경찰서,5,3,1053,1374
2023,전남여수경찰서,5,2,700,1521
2023,전남순천경찰서,5,3,787,1602
2023,전남나주경찰서,1,0,384,504
2023,전남광양경찰서,2,0,468,757
2023,전남고흥경찰서,3,0,143,233
2023,전남해남경찰서,1,0,172,265
2023,전남무안경찰서,1,0,303,384
2023,전남장흥경찰서,2,0,111,210
2023,전남보성경찰서,1,0,110,136
2023,전남영광경찰서,5,0,166,220
2023,전남화순경찰서,1,1,204,200
2023,전남함평경찰서,1,0,137,116
2023,전남영암경찰서,3,0,139,268
2023,전남장성경찰서,0,0,112,126
2023,전남강진경찰서,0,0,128,165
2023,전남담양경찰서,0,0,96,128
2023,전남곡성경찰서,0,0,85,105
2023,전남완도경찰서,0,2,177,244
2023,전남진도경찰서,1,0,102,182
2023,전남구례경찰서,0,0,67,90
2023,전남신안경찰서,0,0,36,38
2023,경북경주경찰서,7,3,1124,1076
2023,경북포항북부경찰서,3,4,901,991
2023,경북포항남부경찰서,4,1,1296,971
2023,경북구미경찰서,4,7,1739,2131
2023,경북경산경찰서,1,3,1072,1216
2023,경북안동경찰서,1,1,428,581
