연도,도로종류,사고_건,사망_명,부상_명
2017,일반국도,363,19,698
2017,지방도,230,10,451
2017,특별광역시도,590,12,1189
2017,시도,577,11,1125
2017,군도,101,3,169
2017,고속국도,120,22,273
2017,기타,21,0,41
2018,일반국도,249,18,487
2018,지방도,170,11,359
2018,특별광역시도,329,4,710
2018,시도,355,2,698
2018,군도,71,1,115
2018,고속국도,104,16,211
2018,기타,30,1,76
2019,일반국도,498,29,964
2019,지방도,300,18,587
2019,특별광역시도,825,7,1594
2019,시도,876,17,1629
2019,군도,116,8,184
2019,고속국도,147,20,296
2019,기타,125,2,206
2020,일반국도,363,14,652
2020,지방도,257,13,444
2020,특별광역시도,641,8,1205
2020,시도,644,14,1122
2020,군도,111,1,188
2020,고속국도,138,13,326
2020,기타,61,1,95
2021,일반국도,342,22,687
2021,지방도,199,3,353
2021,특별광역시도,522,2,976
2021,시도,453,7,812
2021,군도,88,12,137
2021,고속국도,147,8,295
2021,기타,72,1,118
2022,일반국도,350,14,656
2022,지방도,205,7,377
2022,특별광역시도,514,4,960
2022,시도,470,6,901
2022,군도,91,4,169
2022,고속국도,149,13,348
2022,기타,70,1,127
