연번,기관명,주소명,전화번호,지정관서
1,(사)대한산업안전협회서울지역본부,서울 금천구 디지털로9길 47(한신IT타워 II 202호 (가산동)),02-869-7873,서울청
2,(사)한국안전관리사협회,경기도 화성시  병점3로 12((병점동) 2층 202호),031-292-6261,서울청
3,(주)경신산업안전,서울 도봉구 덕릉로57길 30(13호 (창동)),02-335-3072,서울청
4,(주)대한산업안전문화원,"경기도 안산시 단원구  산단로 325((신길동, 리드 스마트스퀘어 지식산업센터) 1325호)",031-365-5365,서울청
5,(주)대한안전기술연구원,"경기 안산시 단원구 광덕동로 95(602호 (고잔동, 궁전타워))",031-411-8410,서울청
6,(주)산업안전컨설팅,경기 의정부시 경의로 95(4층 (의정부동)),031-876-8782,서울청
7,(주)세이프티컨설팅,인천광역시 미추홀구 소성로 274(4층 (환희빌딩)),032-427-0305,서울청
8,(주)세이프티코리아,"인천 남동구 담방로21번길 55((만수동, 뉴서울아파트상가) 2동15호)",개인번호 노출제한,서울청
9,(주)안전보건기술원,"인천광역시 연수구 앵고개로104번길 5((동춘동, 송도 동일하이빌 파크포레 상가) 1층 6호)",032-710-5536,서울청
10,(주)안전을지키는사람들,서울특별시 영등포구  버드나루로 60((영등포동7가) 305호),02-6954-7558,서울청
11,(주)안전이십사,서울 영등포구 경인로71길 6(2층 2호 (문래동2가)),개인번호 노출제한,서울청
12,(주)에스앤아이코퍼레이션,"서울특별시 마포구 마포대로 155(, 5층 (공덕동, LG마포빌딩))",02-6924-5110,서울청
13,(주)오성안전관리단,경기 수원시 장안구 장안로 111((정자동) 402호),031-242-5890,서울청
14,(주)제일산업안전연구소,"인천광역시 계양구  경명대로 1011((계산동, KT&G) 405호)",032-512-0485,서울청
15,(주)케이디텍,"서울 영등포구  영등포로5길 19((양평동2가, 동아프라임밸리) 901~903호)",02-741-3378,서울청
16,(주)한국산업안전컨설팅,경기 안산시 단원구 삼일로 310(705호 (선부동)),031-413-4717,서울청
17,(주)한국안전관리기술원,인천 남동구 남촌로 67(열망빌딩 2층 (남촌동)),032-715-4300,서울청
18,(주)한국안전환경연구원,경기 수원시 권선구 세권로 177(2층 (권선동)),031-237-2115,서울청
19,강심산업안전(주),"서울특별시 영등포구  선유로 85((양평동1가, 한특빌딩) 4층)",02-2088-8077,서울청
20,산업안전지도사 이재용(계일산업안전),"인천광역시 동구 방축로37번길 30(4동210호(송현동, 인천산업용품유통단지))",032-547-0847,서울청
21,국제안전보건알앤디센터협동조합,"경기도 화성시 동탄대로 646-2((영천동, 메가비즈타워)  A동 8층 803호)",070-8888-2899,서울청
22,네오산업안전주식회사,"서울 금천구 가마산로 96((가산동, 대륭테크노타운8차) 2층 204호)",02-2163-0077,서울청
23,노무법인유앤,서울 마포구 마포대로 86((도화동) 창강빌딩 13층),02-508-3344,서울청
24,노무안전법인예지,서울 도봉구 도봉로 787((도봉동) 3층),031-877-5456,서울청
25,대한산업안전기술원주식회사,"경기도 안산시 단원구  광덕4로 260((고잔동, 윈윈프라자) 302호)",031-483-9221,서울청
26,대한산업안전기술주식회사,경기도 수원시 권선구  당진로 13((당수동) 202호),031-296-4200,서울청
27,대한산업안전본부 서울지사,서울특별시 강동구 구천면로34길 6 예일빌딩(3층),02-471-0784,서울청
28,대한재해예방기술(주),"서울특별시 광진구  자양로 71((자양동, 합동빌딩) 3층)",02-458-2013,서울청
29,드림산업안전센터주식회사,충남 천안시 서북구 두정상가1길 5((두정동) 202호),개인번호 노출제한,서울청
30,산업안전지도사 황찬주(드림안전컨설팅 주식회사),서울특별시 영등포구 국제금융로6길 30(6층 625호),02-6953-8887,서울청
31,마루세이프티(주),경기 수원시 영통구 청명로 69(3층(영통동)),031-206-6883,서울청
32,산업안전지도사 노행곤(미래안전환경(주)),"서울특별시 송파구 백제고분로7길 49((잠실동, ) 313호)",02-393-0952,서울청
33,산업안전지도사 박철홍(진안전컨설팅주식회사),"서울특별시 강남구 밤고개로1길 10(728호 (수서동,수서현대벤쳐빌 ))",02-6925-1924,서울청
34,산업안전지도사 이성택(비에스티안전기술원),"경기도 안산시 단원구 풍전로 37-9(,304동 3층 325호(원곡동, 트리플렉스))",개인번호 노출제한,서울청
35,산업안전지도사 김용진(비전산업안전연구원),경기도 의정부시  청사로 49((금오동) 금강프라자 5층 1호),개인번호 노출제한,서울청
36,사단법인안전보건진흥원,"서울특별시 금천구  범안로 1152((독산동, 독산빌딩3))",02-804-7900,서울청
37,산업안전연구원(주),"서울 구로구 공원로 41(323호 (구로동, 현대파크빌))",02-487-1091,서울청
38,산업안전지도사 김동걸(산업안전지원센터주식회사),"경기 화성시 수노을중앙로 156((새솔동, 폴리프라자2차) 1동508호)",개인번호 노출제한,서울청
39,산업안전환경기술원(주),"경기도 화성시  동탄기흥로 557((영천동, 금강펜테리움아이티타워) 1207호)",031-258-3225,서울청
40,삼성기술안전주식회사,서울특별시 송파구  오금로44가길 32((가락동) 2층),02-522-0806,서울청
41,산업안전지도사 배연직(서안 안전 컨설팅),"서울특별시 마포구 모래내로3길 7(203호(성산동, 상암 카리스 다올림 오피스텔))",02-6357-9635,서울청
42,서울산업안전컨설팅,"서울특별시 동작구 알마타길 28(,4층(대방동, 현성빌딩))",02-825-6874,서울청
43,산업안전지도사 윤용진(아이리맥),"서울특별시 송파구 충민로 10(, 8층 S16-B87호(문정동, 가든파이브툴))",070-8018-9292,서울청
