관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 광산동 666-7,광산구 고봉로 905,2,200만,360도,30일,2018,35.225272,126.735854,2024-06-30
광주광역시 사회재난과,광산구 도덕동 320-15,광산구 삼도로 342,1,200만,360도,30일,2022,35.162851,126.699911,2024-06-30
광주광역시 사회재난과,광산구 도덕동 320-15,광산구 삼도로 342,1,200만,360도,30일,2024,35.162851,126.699911,2024-06-30
광주광역시 사회재난과,광산구 도산동 1128-4,광산구 도산로9번길 58,4,200만,360도,30일,2020,35.127057,126.789353,2024-06-30
광주광역시 사회재난과,광산구 도산동 1282-1,광산구 남동길48번길 25,2,200만,360도,30일,2019,35.130739,126.789865,2024-06-30
광주광역시 사회재난과,광산구 도산동 1282-1,광산구 남동길48번길 25,1,200만,360도,30일,2022,35.130739,126.789865,2024-06-30
광주광역시 사회재난과,광산구 도산동 1282-1,광산구 남동길48번길 25,1,200만,360도,30일,2024,35.130739,126.789865,2024-06-30
광주광역시 사회재난과,광산구 도산동 1283-6,광산구 남동길 42-13,3,200만,360도,30일,2021,35.130713,126.789238,2024-06-30
광주광역시 사회재난과,광산구 도산동 1294-6,광산구 도산로 9,1,200만,360도,30일,2009,35.129063,126.79152,2024-06-30
광주광역시 사회재난과,광산구 도산동 1294-6,광산구 도산로 9,1,200만,360도,30일,2018,35.129063,126.79152,2024-06-30
광주광역시 사회재난과,광산구 도산동 1294-6,광산구 도산로 9,1,200만,360도,30일,2022,35.129063,126.79152,2024-06-30
광주광역시 사회재난과,광산구 도산동 56-5,광산구 송도로212번길 54,2,200만,360도,30일,2022,35.131463,126.798872,2024-06-30
광주광역시 사회재난과,광산구 도산동 779-7,광산구 송도로 168-10,1,200만,360도,30일,2021,35.12935,126.793985,2024-06-30
광주광역시 사회재난과,광산구 도산동 779-7,광산구 송도로 168-10,1,200만,360도,30일,2024,35.12935,126.793985,2024-06-30
광주광역시 사회재난과,광산구 도산동 905-9 ,광산구 신도산길 82,2,200만,360도,30일,2022,35.133135,126.79201,2024-06-30
광주광역시 사회재난과,광산구 도산동 905-9 ,광산구 신도산길 82,2,200만,360도,30일,2024,35.133135,126.79201,2024-06-30
