연번,행정동명,설치장소,적사함수,관리기관(부서),관리자 연락처,데이터 기준일자
1,침산3동,대구 북구청,1,건설과/안전총괄과,053-665-4352,2024-06-04
2,관문동,매천대교하단,1,건설과/안전총괄과,053-665-4352,2024-06-04
3,고성동 ,고성네거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
4,노원12동,원대오거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
5,노원3동,만평네거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
6,노원3동,노원네거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
7,침산1동,오봉네거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
8,침산3동,침산네거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
9,칠성동,남침산네거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
10,침산2동,동침산네거리,1,건설과/안전총괄과,053-665-4352,2024-06-04
11,고성동 ,원대 지하도,1,건설과/안전총괄과,053-665-4352,2024-06-04
12,칠성동,태평 지하도,2,건설과/안전총괄과,053-665-4352,2024-06-04
13,칠성동,통일 지하도,2,건설과/안전총괄과,053-665-4352,2024-06-04
14,칠성동,칠성 지하도,2,건설과/안전총괄과,053-665-4352,2024-06-04
15,칠성동,동인 지하도,2,건설과/안전총괄과,053-665-4352,2024-06-04
16,태전2동,칠곡 지하차도,2,건설과/안전총괄과,053-665-4352,2024-06-04
17,무태조야동,서변 지하차도,2,건설과/안전총괄과,053-665-4352,2024-06-04
18,관문동,매천 지하차도,2,건설과/안전총괄과,053-665-4352,2024-06-04
19,노원3동,팔달교 양안,2,건설과/안전총괄과,053-665-4352,2024-06-04
20,노원3동,노곡교 양안,2,건설과/안전총괄과,053-665-4352,2024-06-04
21,침산1동,조야교 양안,2,건설과/안전총괄과,053-665-4352,2024-06-04
22,산격2동,무태교 양안,2,건설과/안전총괄과,053-665-4352,2024-06-04
23,산격2동,산격대교 양안,2,건설과/안전총괄과,053-665-4352,2024-06-04
24,침산1동,침산교 좌우측,2,건설과/안전총괄과,053-665-4352,2024-06-04
25,침산3동,성북교 좌우측,2,건설과/안전총괄과,053-665-4352,2024-06-04
26,침산2동,도청교 좌우측,2,건설과/안전총괄과,053-665-4352,2024-06-04
27,침산2동,경대교 좌우측,2,건설과/안전총괄과,053-665-4352,2024-06-04
28,칠성동,칠성교 좌우측,2,건설과/안전총괄과,053-665-4352,2024-06-04
29,칠성동,푸른다리 옆,1,건설과/안전총괄과,053-665-4352,2024-06-04
30,대현2동,칠성교 진입로,1,건설과/안전총괄과,053-665-4352,2024-06-04
31,대현2동,우성빌라 앞,1,건설과/안전총괄과,053-665-4352,2024-06-04
32,대현2동,경대교 방지턱앞,1,건설과/안전총괄과,053-665-4352,2024-06-04
33,산격4동,경대교 진입로,1,건설과/안전총괄과,053-665-4352,2024-06-04
34,산격1동,성북교 출입구,1,건설과/안전총괄과,053-665-4352,2024-06-04
35,산격1동,산격주공아파트 앞,1,건설과/안전총괄과,053-665-4352,2024-06-04
36,산격2동,대창수산 옆,1,건설과/안전총괄과,053-665-4352,2024-06-04
37,산격2동,산격대교 우측,1,건설과/안전총괄과,053-665-4352,2024-06-04
38,산격2동,산격대교 우측,1,건설과/안전총괄과,053-665-4352,2024-06-04
39,무태조야동,산격대교 좌측,1,건설과/안전총괄과,053-665-4352,2024-06-04
40,산격2동,침산교 ↔ 복현오거리,4,건설과/안전총괄과,053-665-4352,2024-06-04
