연번,업종,업소명,전화번호,소재지도로명주소,위도,경도,데이터기준일자
1,고압가스충전,㈜한신가스,053-354-6601,대구광역시 북구 노원로47길 3 (침산동),35.9016080626,128.5848730186,2024-07-01
2,고압가스충전,명성종합가스,053-357-1133,대구광역시 북구 3공단로27길 27 (노원동3가),35.9001811251,128.5656194024,2024-07-01
3,고압가스충전,에어젠,053-424-1312,대구광역시 북구 검단북로2길 18(산격동),35.9125474273,128.6089228502,2024-07-01
4,고압가스충전,대성에너지(주) 관음 수소충전소,053-606-1312,대구광역시 북구 관음로 127(관음동),35.9429068348,128.5415652579,2024-07-01
5,고압가스충전,대구강북소방서(무태119안전센터),053-383-0119,대구광역시 북구 호국로43길 21,35.9209290885,128.5968953992,2024-07-01
6,고압가스충전,대구강북소방서(구암119안전센터),053-607-5930,대구광역시 북구 구암서로 71,35.9428374062,128.5655196467,2024-07-01
7,고압가스충전,대구북부소방서(칠성119안전센터),053-350-0119,대구광역시 북구 칠성남로 112,35.8780015545,128.59231389,2024-07-01
8,고압가스충전,대구강북소방서(동천119안전센터),053-325-0119,대구광역시 북구 구암로 155,35.9319171587,128.5578055213,2024-07-01
9,고압가스충전,대구북부소방서(노원119안전센터),053-350-4754,대구광역시 북구 노원로 42(노원동3가),35.89215018,128.5673912049,2024-07-01
10,고압가스충전,대구북부소방서(산격119안전센터),053-350-5790,대구광역시 북구 유통단지로8길 88,35.906114471,128.6142611388,2024-07-01
11,고압가스 제조(냉동),(재)한국로봇산업진흥원,053-210-9600,대구광역시 북구 노원로 77 (노원동3가),35.894891704,128.5703656105,2024-07-01
12,고압가스 제조(냉동),KT 북대구지사,053-358-0800,대구광역시 북구 고성로 141(고성동3가),35.8818697718,128.58145232,2024-07-01
13,고압가스 제조(냉동),경북냉동,053-357-7358,대구광역시 북구 팔달북로11길 17(노원동3가),35.8913418901,128.5585684117,2024-07-01
14,고압가스 제조(냉동),경북대학교 반도체 융합기술연구원,053-950-6826,"대구광역시 북구 대학로80,203호(산격동, IT대학 3호관)",35.8890974884,128.6143223363,2024-07-01
15,고압가스 제조(냉동),경북대학교(공동실험실습관),053-950-7101,대구광역시 북구 대학로80(산격동),35.8890974884,128.6143223363,2024-07-01
16,고압가스 제조(냉동),근로복지공단대구산재병원,053-715-7718,대구광역시 북구 학정로 515(학정동),35.9508260685,128.564015033,2024-07-01
17,고압가스 제조(냉동),대경냉동,053-357-4214,대구광역시 북구 팔달북로2길 21(노원동3가),35.8931072315,128.5658066773,2024-07-01
18,고압가스 제조(냉동),(재)대구테크노파크혁신디바이스센터,053 -721 -6421,대구광역시 북구 유통단지로14길 17 (산격동),35.9061796792,128.6117417956,2024-07-01
19,고압가스 제조(냉동),대구보건대학교,053-320-1248,대구광역시 북구 영송로 15(태전동),35.9268445137,128.5440276515,2024-07-01
20,고압가스 제조(냉동),대구실내빙상장,053-357-6021,대구광역시 북구 고성로 191 (고성동3가),35.8830193454,128.5861543004,2024-07-01
21,고압가스 제조(냉동),대구종합유통단지 섬유제품관,053-601-1500,대구광역시 북구 유통단지로 60(산격동),35.9062792349,128.6096611065,2024-07-01
22,고압가스 제조(냉동),동아냉동,053-352-8822,대구광역시 북구 노원로17길 6(노원동3가),35.8954315262,128.571210002,2024-07-01
23,고압가스 제조(냉동),롯데역사㈜ 대구점,053-660-1641,대구광역시 북구 태평로 161(칠성동2가),35.8758849492,128.5961292084,2024-07-01
24,고압가스 제조(냉동),세진냉장,053-358-3755,대구광역시 북구 노원로 215 (침산동),35.9007776032,128.583627715,2024-07-01
25,고압가스 제조(냉동),신흥산업㈜,053-380-2100,대구광역시 북구 검단북로11길 11(검단동),35.9159642353,128.6104837943,2024-07-01
26,고압가스 제조(냉동),㈜ 보광산업,053-384-0882,대구광역시 북구 유통단지로3길 42(산격동),35.9083446425,128.6045717482,2024-07-01
27,고압가스 제조(냉동),㈜대구은행 제2본점,053-740-6861,대구광역시 북구 옥산로 111(칠성동2가),35.8844530812,128.5882187524,2024-07-01
28,고압가스 제조(냉동),㈜대구신화수산,053-313-1400,대구광역시 북구 매천로 63(매천동),35.9026181727,128.5400700936,2024-07-01
29,고압가스 제조(냉동),㈜엑스코,053 -601 -5044,대구광역시 북구 유통단지로 110 (산격동),35.908148,128.614759,2024-07-01
30,고압가스 제조(냉동),㈜엑스코,053 -601 -5044,대구광역시 북구 엑스코로 10(산격동),35.9070695926,128.6130738605,2024-07-01
31,고압가스 제조(냉동),㈜코스트코 코리아(대구점),053-380-1111,대구광역시 북구 검단로 97(산격동),35.9063710684,128.61810014,2024-07-01
32,고압가스 제조(냉동),㈜인터불고엑스코,053-384-3400,대구광역시 북구 유통단지로80(산격동),35.9069985378,128.6112855463,2024-07-01
33,고압가스 제조(냉동),㈜홈센타,053-341-0712,대구광역시 북구 노원로25길 65 (노원동3가),35.9017300941,128.5697193142,2024-07-01
34,고압가스 제조(냉동),칠곡경북대학교병원,053-200-2573,대구광역시 북구 호국로 807(학정동),35.9561460236,128.5652788201,2024-07-01
35,고압가스 제조(냉동),한국전력공사대구지사,053-350-2212,대구광역시 북구 원대로 110(침산동),35.8871765779,128.5831501639,2024-07-01
36,고압가스 제조(냉동),대구종합유통단지전자관사업협동조합,053-604-2005,대구광역시 북구 중앙대로 543 (칠성동2가),35.8814815453,128.5957655963,2024-07-01
37,특정설비 제조,㈜삼창이엔지,053-354-4900,대구광역시 북구 침산로 285 (침산동) ,35.9015187727,128.5884791947,2024-07-01
38,특정설비 제조,㈜미래에너지,053-965-8442,대구광역시 북구 검단동로 45(검단동),35.9151915684,128.6239177874,2024-07-01
39, 냉동기 제조,㈜삼창이엔지,053-354-4900,대구광역시 북구 침산로 285 (침산동) ,35.9015187727,128.5884791947,2024-07-01
40, 냉동기 제조,㈜덕산코트랜,053-380-2400,대구광역시 북구 검단북로 74  (검단동),35.914604558,128.6145391093,2024-07-01
41, 냉동기 제조,㈜아진이에스알,053-421-9990,대구광역시 북구 검단로27길 61 (검단동),35.9126138539,128.617478456,2024-07-01
42, 냉동기 제조,㈜미래에너지,053-965-8442,대구광역시 북구 검단동로 45(검단동),35.9151915684,128.6239177874,2024-07-01
