관리기관명,소재지주소,설치목적구분,카메라대수,관리기관전화번호,위도,경도,데이터기준일자
세종특별자치시,세종특별자치시 반곡동 49-6,생활방범,3,044-300-2454,36.499157,127.310975,2024-05-31
세종특별자치시,세종특별자치시 반곡로 76,생활방범,3,044-300-2454,36.498341,127.315166,2024-05-31
세종특별자치시,세종특별자치시 소담동 538,생활방범,3,044-300-2454,36.486394,127.29865,2024-05-31
세종특별자치시,세종특별자치시 소담동 532,생활방범,3,044-300-2454,36.487767,127.299715,2024-05-31
세종특별자치시,세종특별자치시 소담동 591,생활방범,3,044-300-2454,36.483793,127.301971,2024-05-31
세종특별자치시,세종특별자치시 보람동 776,생활방범,3,044-300-2454,36.480778,127.297724,2024-05-31
세종특별자치시,세종특별자치시 보람동 714,생활방범,3,044-300-2454,36.483466,127.29503,2024-05-31
세종특별자치시,세종특별자치시 보람동 771,생활방범,3,044-300-2454,36.478852,127.293973,2024-05-31
세종특별자치시,세종특별자치시 보람동 736,생활방범,3,044-300-2454,36.475355,127.285499,2024-05-31
세종특별자치시,세종특별자치시 대평동 703,생활방범,3,044-300-2454,36.473425,127.282913,2024-05-31
세종특별자치시,세종특별자치시 나성동 298-10,생활방범,3,044-300-2454,36.489219,127.265325,2024-05-31
세종특별자치시,세종특별자치시 나성동 823,생활방범,3,044-300-2454,36.488325,127.26002,2024-05-31
세종특별자치시,세종특별자치시 새롬로 19,생활방범,3,044-300-2454,36.48613,127.254084,2024-05-31
세종특별자치시,세종특별자치시 새롬동 559,생활방범,3,044-300-2454,36.489917,127.252503,2024-05-31
세종특별자치시,세종특별자치시 다정동 739,생활방범,3,044-300-2454,36.498342,127.236961,2024-05-31
세종특별자치시,세종특별자치시 어진동 519,생활방범,3,044-300-2454,36.499803,127.254685,2024-05-31
세종특별자치시,세종특별자치시 어진동 676,생활방범,3,044-300-2454,36.497884,127.254038,2024-05-31
세종특별자치시,세종특별자치시 고운동 2084,생활방범,3,044-300-2454,36.514023,127.240666,2024-05-31
세종특별자치시,세종특별자치시 만남로 151,생활방범,3,044-300-2454,36.510773,127.236275,2024-05-31
세종특별자치시,세종특별자치시 고운동 2160,생활방범,3,044-300-2454,36.509237,127.238595,2024-05-31
세종특별자치시,세종특별자치시 나성동 251-3,생활방범,4,044-300-2454,36.486753,127.265238,2024-05-31
세종특별자치시,세종특별자치시 어울누리로 30,생활방범,4,044-300-2454,36.486699,127.265046,2024-05-31
세종특별자치시,세종특별자치시 나성동 235-11,생활방범,4,044-300-2454,36.485487,127.262997,2024-05-31
세종특별자치시,세종특별자치시 나성동 823,생활방범,4,044-300-2454,36.485294,127.26164,2024-05-31
세종특별자치시,세종특별자치시 소담동 510-17,생활방범,4,044-300-2454,36.487164,127.295842,2024-05-31
세종특별자치시,세종특별자치시 소담동 435-1,생활방범,4,044-300-2454,36.486727,127.295059,2024-05-31
세종특별자치시,세종특별자치시 보람동 314-47,생활방범,4,044-300-2454,36.476941,127.278924,2024-05-31
세종특별자치시,세종특별자치시 보람동 314-31,생활방범,4,044-300-2454,36.476518,127.278205,2024-05-31
세종특별자치시,세종특별자치시 반곡동 201-4,생활방범,3,044-300-2454,36.480955,127.316444,2024-05-31
