순번,본부명,소방서,주소,전화번호,FAX
1,서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7408,02-556-2119
2,서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39 (성내동),02-6981-7600,02-6981-7717
3,서울소방재난본부,강북소방서,서울특별시 강북구 한천로 911 (번동),02-6946-0100,02-6946-0128
4,서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550 (등촌동),02-6981-5000,02-2187-8243
5,서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97 (봉천동),02-6981-8200,02-877-4119
6,서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480 (구의동),02-6981-6600,02-6981-6718
7,서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408 (고척동),02-2617-0119,02-2619-0121
8,서울소방재난본부,금천소방서,서울특별시 금천구 시흥대로 342(독산동),02-6981-6479,02-2187-8380
9,서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6800,02-979-6119
10,서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8073,02-3493-1119
11,서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34 (장안동),02-6942-1200,02-2187-8180
12,서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7770,02-848-2111
13,서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76 (신수동),02-6981-7800,02-716-1192
14,서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182 (연희동),02-6981-5400,02-6981-5519
15,서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67 (반포동),02-6981-5811,02-592-9090
16,서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1600,02-2622-1719
17,서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7200,02-925-0119
18,서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5200,02-430-8119
19,서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180 (목동),02-6981-8600,02-2651-6119
20,서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7000,02-6981-7110
21,서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1400,02-792-5117
22,서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962 (진관동),02-6981-6000,02-382-1149
23,서울소방재난본부,종로소방서,서울특별시 종로구 율곡로 78(운니동),02-733-0119,02-739-0119
24,서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183 (신내동),02-6981-8800,02-3421-3911
25,서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-6981-0119,02-2252-1516
26,부산소방재난본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5001,051-760-5069
27,부산소방재난본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4701,051-760-4719
28,부산소방재난본부,기장소방서,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5100,051-760-5119
29,부산소방재난본부,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4808,051-760-4819
30,부산소방재난본부,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4301,051-760-4329
31,부산소방재난본부,부산진소방서,부산광역시 부산진구 서전로 43(전포동),051-760-4201,051-760-4229
32,부산소방재난본부,북부소방서, 부산광역시 북구 금곡대로 680(금곡동),051-760-5201,051-760-5219
33,부산소방재난본부,사상소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4401,051-760-4419
34,부산소방재난본부,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4501,051-760-4529
35,부산소방재난본부,중부소방서,부산광역시 중구 중앙대로 110(중앙동4가),051-760-4101,051-760-4119
36,부산소방재난본부,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4901,051-760-4919
37,부산소방재난본부,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4601,051-760-6681
38,대구소방안전본부,강북소방서,대구광역시 북구 구암서로 71,053-607-5801,053-607-5819
39,대구소방안전본부,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4601,053-592-2119
40,대구소방안전본부,달서소방서,대구광역시 달서구 학산로 75,053-607-2801,053-635-0532
41,대구소방안전본부,달성소방서,대구광역시 달성군 현풍읍 비슬로 480,053-602-4801,053-602-4820
42,대구소방안전본부,동부소방서,대구광역시 동구 동대구로 507,053-601-4301,053-742-6119
43,대구소방안전본부,북부소방서,대구광역시 북구 칠성남로 112,053-350-4701,053-350-4719
44,대구소방안전본부,서부소방서,대구광역시 서구 달서천로 186,053-320-4401,053-357-1803
45,대구소방안전본부,수성소방서,대구광역시 수성구 청호로 87,053-607-3701,053-607-3729
46,대구소방안전본부,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4500,053-256-6119
47,광주소방안전본부,강화소방서,인천광역시 강화군 불은면 중앙로 505,032-930-5801,032-930-5842
48,광주소방안전본부,검단소방서,인천광역시 서구 원당대로736,032-590-2700,032-590-2718
49,광주소방안전본부,계양소방서,인천광역시 계양구 장제로774,032-650-5601,032-555-8116
50,광주소방안전본부,공단소방서,인천광역시 남동구 남동서로 208,032-723-5502,032-814-1191
51,광주소방안전본부,남동소방서,인천광역시 남동구 인주대로 714,032-870-5200,032-870-5216
52,광주소방안전본부,미추홀소방서,인천광역시 미추홀구 인하로 190,032-870-3200,032-870-3285
53,광주소방안전본부,부평소방서,인천광역시 부평구 부평대로 324,032-723-5301,032-361-0119
54,광주소방안전본부,서부소방서,인천광역시 서구 서곶로 326,032-723-5401,032-562-1137
55,광주소방안전본부,송도소방서,인천광역시 연수구 첨단대로60번길 15,032-810-6600,032-810-6613
56,광주소방안전본부,영종소방서,인천광역시 중구 제2터미널대로 268,032-727-6101,032-727-6137
57,광주소방안전본부,중부소방서,인천광역시 중구 인중로 204,032-870-5101,032-870-5116
58,인천소방본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8801,062-613-8819
59,인천소방본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8601,062-613-8619
60,인천소방본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8401,062-613-8419
61,인천소방본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8701,062-613-8719
62,인천소방본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8501,062-613-8519
63,대전소방본부,동부소방서,대전광역시 동구 계족로 300,042-270-1300,042-270-1360
64,대전소방본부,둔산소방서,대전광역시 서구 갈마중로 15,042-270-1400,042-270-1460
65,대전소방본부,대덕소방서,대전광역시 대덕구 계족로 682,042-270-1500,042-270-1560
66,대전소방본부,유성소방서,대전광역시 유성구 대덕대로 516,042-270-1600,042-270-1660
67,대전소방본부,서부소방서,대전광역시 서구 복수서로 67,042-270-1700,042-270-1760
68,울산소방본부,남부소방서,울산광역시 삼산중로 149,052-210-4700,052-229-7964
69,울산소방본부,남울주소방서,울산광역시 울주군 덕신로 232,052-241-6600,052-229-7967
70,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6300,052-229-7965
71,울산소방본부,북부소방서,울산광역시 북구 화동로 178,052-229-8000,052-229-7966
72,울산소방본부,서울주소방서,울산광역시 울주군 도호길 72-37,052-241-2480,052-229-7968
73,울산소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4401,052-229-7963
74,세종소방본부,세종소방서,세종특별자치시 절재로 301(어진동),044-300-8401,044-864-2119
75,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8301,044-868-2919
76,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12,031-8012-9215,031-280-8515
77,경기재난안전본부,수원남부소방서,경기도 수원시 권선구 동수원로 286,031-639-8100,031-280-8877
78,경기재난안전본부,성남소방서,경기도 성남시 중원구 마지로 64,031-720-0100,031-280-8533
79,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3100,031-280-8544
80,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115,032-650-4119,031-280-8576
81,경기재난안전본부,안양소방서,경기도 안양시 동안구 관평로212번길 32 (관양동),031-470-0102,031-280-8592
82,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407 (고잔동),031-470-7100,031-280-8603
83,경기재난안전본부,용인소방서,경기도 용인시 처인구 명지로 45,031-8021-0100,031-280-8618
84,경기재난안전본부,용인서부소방서,경기도 용인시 기흥구 용구대로2145번길 15,031-6190-3100,031-280-8871
85,경기재난안전본부,평택소방서,경기도 평택시 중앙로 273(비전동),031-8053-6100,
86,경기재난안전본부,송탄소방서,경기도 평택시 경기대로 1627(신장동),031-685-8100,031-280-8668
87,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3100,031-280-8679
88,경기재난안전본부,시흥소방서,경기도 시흥시 정왕신길로 206,031-310-0100,031-280-8688
89,경기재난안전본부,군포소방서,경기도 군포시 고산로 429,031-479-8100,031-280-8697
90,경기재난안전본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6100,031-280-8845
91,경기재난안전본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5100,
92,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4100,031-280-8734
93,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2100,031-280-8759
94,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4100,031-280-8769
95,경기재난안전본부,하남소방서,경기도 하남시 대청로 76 (신장동),031-799-4502,
96,경기재난안전본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0100,031-280-8858
97,경기재난안전본부,오산소방서,경기도 오산시 문헌공로 30,031-8059-7103,031-280-8787
98,경기재난안전본부,여주소방서,경기도 여주시 우암로 110,031-887-7100,031-280-8794
99,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047 ,031-770-0100,031-280-8802
100,경기재난안전본부,과천소방서,경기도 과천시 통영로 12,02-331-4100,031-230-8818
101,경기북부소방재난본부,가평소방서,경기도 가평군 가평읍 가화로 36번길,031-580-0102,031-280-8866
102,경기북부소방재난본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0100,031-280-8554
103,경기북부소방재난본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6100,031-280-8727
104,경기북부소방재난본부,남양주소방서,경기도 남양주시 평내로 25,031-590-0102,031-280-8646
105,경기북부소방재난본부,동두천소방서,경기도 동두천시 지행로 6,031-830-5100,031-280-8510
106,경기북부소방재난본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8100,031-280-8833
107,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0100,031-830-0219
108,경기북부소방재난본부,의정부소방서,경기도 의정부시 금오로23번길 22-40,031-849-7100,031-280-8636
109,경기북부소방재난본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0102,031-280-8564
110,경기북부소방재난본부,파주소방서,경기도 파주시 통일로 1564,031-956-9100,031-956-9219
111,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538 ,031-538-5100,031-280-8747
112,강원소방본부,강릉소방서,강원특별자치도 강릉시 선수촌로 64-28,033-643-3119,033-610-8209
113,강원소방본부,고성소방서,강원특별자치도 고성군 간성읍 수성로 37-11,033-680-7212,033-680-7209
114,강원소방본부,동해소방서,강원특별자치도 동해시 천곡로 120,033-533-2119,033-530-8209
115,강원소방본부,삼척소방서,강원특별자치도 삼척시 봉황로 101,033-570-8212,033-570-8209
116,강원소방본부,속초소방서,강원특별자치도 속초시 미시령로 3226,033-630-2212,033-630-2209
