순번,행정구역,업소명,소재지,전화번호,관리구분
1,강원 강릉시,KIS정보통신(주)강릉(인천방향)충전소,강원특별자치도 강릉시 성산면 영동고속도로 231-1 ,033-647-7112,자동차충전
2,강원 강릉시,KIS정보통신(주)강릉(강릉방향)충전소,강원특별자치도 강릉시 성산면 영동고속도로 232-1 ,033-648-9559,자동차충전
3,강원 강릉시,주문진충전소,강원특별자치도 강릉시 연곡면 연주로 156 ,033-661-5577,자동차충전
4,강원 강릉시,서창산업(주)옥계(속초방향)충전소,강원특별자치도 강릉시 옥계면 동해고속도로 322 ,033-534-2100,자동차충전
5,강원 강릉시,신일충전소,강원특별자치도 강릉시 경강로 1885 (홍제동) ,033-645-8244,자동차충전
6,강원 강릉시,송은LPG충전소,강원특별자치도 강릉시 사천면 동해대로 3712 ,033-644-4425,자동차충전
7,강원 강릉시,(합)동아가스충전소,강원특별자치도 강릉시 강변로 548 (입암동) ,033-652-9911,자동차충전
8,강원 강릉시,오죽헌충전소,강원특별자치도 강릉시 율곡로 3209 (죽헌동) ,033-655-9912,자동차충전
9,강원 강릉시,하슬라충전소,강원특별자치도 강릉시 강동면 동해대로 1885 ,033-655-5600,자동차충전
10,강원 강릉시,연곡LP가스충전소,강원특별자치도 강릉시 연곡면 동해대로 4069 ,064-388-8835,자동차충전
11,강원 강릉시,SK동해충전소,강원특별자치도 강릉시 율곡로 3054 (교동) ,033-646-4921,용기+자동차+13kg용기
12,강원 강릉시,동방충전소,강원특별자치도 강릉시 율곡로 2574 (청량동) ,033-645-1060,자동차충전
13,강원 강릉시,대성산업(주)강릉충전소,강원특별자치도 강릉시 성덕포남로149번길 1 (포남동) ,033-642-7757,용기+자동차+13kg용기
14,강원 강릉시,(주)강릉개인택시충전소,강원특별자치도 강릉시 강변로 636-5 (두산동) ,033-651-9800,자동차충전
15,강원 강릉시,동방엘티에스,강원특별자치도 강릉시 연곡면 동해대로 4076 ,033-644-9361,용기+자동차+탱크+13kg용기
16,강원 고성군,고성가스충전소,강원특별자치도 고성군 죽왕면 동해대로 6604 ,033-682-6900,자동차충전
17,강원 고성군,(주)대일가스고성지점,강원특별자치도 고성군 간성읍 진부령로 2803 ,033-681-5457,자동차충전
18,강원 동해시,공단가스충전소,강원특별자치도 동해시 공단2로 15-9 (구호동) ,033-522-5328,자동차충전
19,강원 동해시,대일에너지(주),강원특별자치도 동해시 동해대로 5271 (천곡동) ,033-532-8021,용기+자동차+탱크+13kg용기
20,강원 동해시,영동가스충전소,강원특별자치도 동해시 동해대로 5934 (초구동) ,,자동차+탱크+13kg용기
21,강원 동해시,대영충전소,강원특별자치도 동해시 발한로 531 (초구동) ,033-534-6652,자동차충전
22,강원 동해시,대경가스충전소,강원특별자치도 동해시 동해대로 5165 (효가동) ,033-522-6237,자동차충전
23,강원 동해시,동해LPG충전소,강원특별자치도 동해시 해안로 45 (용정동) ,033-533-8455,자동차충전
24,강원 동해시,(주)대청산업개발,강원특별자치도 동해시 동해대로 6427 (망상동) ,033-534-6648,자동차충전
25,강원 동해시,삼영엘피지충전소,강원특별자치도 동해시 해안로 17 (용정동) ,033-533-0465,자동차충전
26,강원 삼척시,에스케이삼척충전소,강원특별자치도 삼척시 마달길 4 (마달동) ,033-574-1351,용기+자동차+13kg용기
27,강원 삼척시,태극가스충전소,강원특별자치도 삼척시 도계읍 강원남부로 1800 ,033-541-2463,자동차충전
28,강원 삼척시,삼척농협가스충전소,강원특별자치도 삼척시 동해대로 4298 (갈천동) ,033-576-0178,자동차충전
29,강원 삼척시,원더플충전소,강원특별자치도 삼척시 동해대로 3852 (오분동) ,033-575-5189,자동차충전
30,강원 삼척시,삼척엘피지충전소,강원특별자치도 삼척시 오십천로 91 (등봉동) ,033-573-6600,자동차충전
31,강원 속초시,속초가스충전소(주),강원특별자치도 속초시 미시령로 3239 (교동) ,033-635-5747,용기+자동차+탱크+13kg용기
32,강원 속초시,(주)원경,강원특별자치도 속초시 동해대로 3900,033-633-2854,용기+자동차+13kg용기
33,강원 속초시,대명엘피지충전소,강원특별자치도 속초시 미시령로 3197 (노학동) ,033-636-9680,자동차충전
34,강원 속초시,(주)속초개인택시가스충전소,강원특별자치도 속초시 동해대로 4521 (장사동) ,033-638-3003,자동차충전
35,강원 속초시,영동가스충전소,강원특별자치도 속초시 장성천길 10 (장사동) ,033-635-5913,용기+탱크
36,강원 속초시,영동에너지,강원특별자치도 속초시 동해대로 3859 (대포동) ,033-635-6114,자동차충전
37,강원 양구군,(주)배꼽에너지,강원특별자치도 양구군 국토정중앙면 춘양로 2888 ,033-481-7288,자동차충전
38,강원 양구군,양구가스충전소,강원특별자치도 양구군 남면 정중앙로 182,033-482-8877,자동차충전
39,강원 양양군,해당화가스충전소(주유소),강원특별자치도 양양군 현남면 동해대로 964 ,033-671-7033,자동차충전
40,강원 양양군,신우에너지(주)영진가스충전소,강원특별자치도 양양군 손양면 동해대로 2041 ,033-672-0752,자동차충전
41,강원 양양군,(주)원경양양가스충전소,강원특별자치도 양양군 양양읍 안산1길 26 ,033-672-4171,자동차충전
42,강원 양양군,미래에너지,강원특별자치도 양양군 강현면 동해대로 3367 ,033-673-2161,자동차충전
43,강원 영월군,태경에프앤지(주)동강주유소,강원특별자치도 영월군 남면 강원남로 641,033-372-0801,자동차충전
44,강원 영월군,하송충전소,강원특별자치도 영월군 영월읍 청령포로 12-6,033-374-3966,자동차충전
45,강원 영월군,영월LPG충전소,강원특별자치도 영월군 북면 영월로 1172 ,033-374-7042,용기+자동차+탱크+13kg용기
46,강원 원주시,원주역충전소,강원특별자치도 원주시 판부면 남원로 259 ,033-766-8600,자동차+탱크
47,강원 원주시,대보건설(주)원주(부산방향)충전소,강원특별자치도 원주시 호저면 마근거리길 120,033-731-0736,자동차충전
48,강원 원주시,(주)유성티엔에스 치악(춘천방향)충전소,강원특별자치도 원주시 신림면 다리실2길 32,033-762-0349,자동차충전
49,강원 원주시,떠오름충전소,강원특별자치도 원주시 소초면 치악로 2918,033-731-0233,자동차충전
50,강원 원주시,(자)정우에너지,강원특별자치도 원주시 북원로 2826 (태장동) ,033-734-2676,용기+자동차+13kg용기
51,강원 원주시,주식회사정지뜰충전소,강원특별자치도 원주시 강변로 783,033-747-7052,자동차충전
52,강원 원주시,대흥LPG충전소,강원특별자치도 원주시 원문로 328,033-747-2255,자동차충전
53,강원 원주시,(주)성림이앤에스,강원특별자치도 원주시 북원로 2302,033-742-1114,용기+자동차+13kg용기
54,강원 원주시,㈜성림가스 북원충전소,강원특별자치도 원주시 서원대로 497 (단구동) ,033-761-6618,용기+자동차+13kg용기
55,강원 원주시,문막(하)엘피지충전소,강원특별자치도 원주시 문막읍 원문로 1234,033-734-0764,자동차충전
