연번,분류,제품명,수거일,원산지,세슘검출량(Bq_kg),요오드검출량(Bq_kg),적부판정
1,수산물,고등어,2023-01-05,국내산,불검출,불검출,적
2,수산물,갈치,2023-01-05,국내산,불검출,불검출,적
3,수산물,조기,2023-01-05,국내산,불검출,불검출,적
4,수산물,아귀,2023-01-05,국내산,불검출,불검출,적
5,수산물,장어,2023-01-05,국내산,불검출,불검출,적
6,수산물,가리비,2023-01-05,일본,불검출,불검출,적
7,수산물,웅피,2023-01-05,일본,불검출,불검출,적
8,수산물,광어,2023-01-05,국내산,불검출,불검출,적
9,수산물,돔,2023-01-05,국내산,불검출,불검출,적
10,수산물,농어,2023-01-05,국내산,불검출,불검출,적
11,수산물,부세,2023-01-05,중국,불검출,불검출,적
12,수산물,고등어,2023-01-05,노르웨이,불검출,불검출,적
13,수산물,고등어,2023-02-16,국내산,불검출,불검출,적
14,수산물,조기,2023-02-16,국내산,불검출,불검출,적
15,수산물,가리비,2023-02-16,일본,불검출,불검출,적
16,수산물,생태,2023-02-16,일본,불검출,불검출,적
17,수산물,부서,2023-02-16,중국,불검출,불검출,적
18,수산물,갈치,2023-02-16,국내산,불검출,불검출,적
19,수산물,간재미,2023-02-16,국내산,불검출,불검출,적
20,수산물,장어,2023-02-16,국내산,불검출,불검출,적
21,수산물,키조개,2023-02-16,국내산,불검출,불검출,적
22,수산물,전복,2023-02-16,국내산,불검출,불검출,적
23,수산물,참돔,2023-02-16,국내산,불검출,불검출,적
24,수산물,쭈꾸미,2023-02-16,국내산,불검출,불검출,적
25,수산물,동태,2023-02-16,러시아,불검출,불검출,적
26,가공식품,새우깡,2023-03-08,국내산,불검출,불검출,적
27,가공식품,옛날국수 소면,2023-03-08,국내산,불검출,불검출,적
28,가공식품,핫케익믹스,2023-03-08,국내산,불검출,불검출,적
29,가공식품,얼큰한너구리,2023-03-08,국내산,불검출,불검출,적
30,가공식품,삼양라면 오리지널,2023-03-08,국내산,불검출,불검출,적
31,가공식품,부침가루,2023-03-08,국내산,불검출,불검출,적
32,가공식품,오뚜기카레 약간매운맛,2023-03-08,국내산,불검출,불검출,적
33,가공식품,전복버섯죽,2023-03-08,국내산,불검출,불검출,적
34,가공식품,오뚜기밥 발아흑미,2023-03-08,국내산,불검출,불검출,적
35,가공식품,사골곰탕,2023-03-08,국내산,불검출,불검출,적
36,가공식품,별미누룽지,2023-03-08,국내산,불검출,불검출,적
37,가공식품,찹쌀호떡믹스,2023-03-08,국내산,불검출,불검출,적
38,가공식품,콘푸라이트,2023-03-08,국내산,불검출,불검출,적
39,가공식품,찰밀가루,2023-03-08,국내산,불검출,불검출,적
40,가공식품,시리얼 천마차,2023-03-08,국내산,불검출,불검출,적
41,농산물,미나리,2023-03-10,국내산,불검출,불검출,적
42,농산물,쌈배추,2023-03-10,국내산,불검출,불검출,적
43,농산물,봄동,2023-03-10,국내산,불검출,불검출,적
44,농산물,청경채,2023-03-10,국내산,불검출,불검출,적
45,농산물,열무,2023-03-10,국내산,불검출,불검출,적
46,수산물,아귀,2023-03-14,국내산,불검출,불검출,적
47,수산물,민어,2023-03-14,국내산,불검출,불검출,적
48,수산물,가리비,2023-03-14,일본,불검출,불검출,적
49,수산물,고등어,2023-03-14,국내산,불검출,불검출,적
50,수산물,돔,2023-03-14,국내산,불검출,불검출,적
51,수산물,쭈꾸미,2023-03-14,국내산,불검출,불검출,적
