연번,업소명,소재지,업종,2023년 노로바이러스 검사결과
1,서희푸드,광산구 사암로 92번길 11-17,식품제조가공업,불검출
2,호남제빙,광산구 소촌로 9-10,식품제조가공업,불검출
3,매일유업(주)광주공장,광산구 어등대로 511,식품제조가공업,불검출
4,한두레농산(주),광산구 왕버버들로 207,식품제조가공업,불검출
5,커피랩,광산구 임방울대로 580-1,식품제조가공업,불검출
6,광주소년원,광산구 임곡로 273-3,집단급식소,불검출
7,㈜참두레,광산구 평동산단 6번로 가동,식품제조가공업,불검출
8,참두레식품,광산구 평동산단 6번로 102-16,식품제조가공업,불검출
9,명은노인전문요양원,광산구 삼본로 14-13,집단급식소,불검출
10,로렌시아의 집,광산구 금동학동길 10-144,집단급식소,불검출
11,매월흑염소가든,서구 회재유통길 19-24,일반음식점,불검출
12,매월농원,서구 진평길 62,일반음식점,불검출
13,㈜물마루,서구 월드컵4강로 112번길 7,식품제조가공업,불검출
14,다사랑병원,서구 풍서우로 224,집단급식소,불검출
15,이디아커피광주대캠퍼스점,남구 효덕로 277,일반음식점,불검출
16,봉선골오리의집,남구 제석로 52,일반음식점,불검출
17,가야농원,동구 천변좌로 682,식품접객업,불검출
18,계곡산장,동구 선교로 208,일반음식점,불검출
19,광신대학교구내식당,북구 양산택지소로 36,집단급식소,불검출
20,푸른들,북구 지산마을길 46-39,집단급식소,불검출
